"Epoch","base","base+","cutout","mixup","cutmix"
"1","0.194","0.1916","0.1434","0.1375","0.1666"
"2","0.3307","0.2725","0.2216","0.2254","0.265"
"3","0.4019","0.366","0.3384","0.2975","0.326"
"4","0.4573","0.4169","0.3613","0.3608","0.4125"
"5","0.4802","0.4418","0.3388","0.3894","0.4038"
"6","0.4783","0.4668","0.2985","0.4187","0.4444"
"7","0.4927","0.4765","0.4091","0.4406","0.4729"
"8","0.4839","0.4942","0.4759","0.4546","0.4791"
"9","0.5431","0.5222","0.457","0.464","0.4827"
"10","0.5297","0.502","0.4334","0.4667","0.5105"
"11","0.5355","0.5326","0.4929","0.4531","0.4488"
"12","0.5264","0.5305","0.4585","0.4797","0.4846"
"13","0.5058","0.5118","0.4732","0.4821","0.5168"
"14","0.5258","0.533","0.467","0.5244","0.4939"
"15","0.5522","0.5578","0.4861","0.4231","0.5456"
"16","0.5062","0.5328","0.4801","0.5104","0.5326"
"17","0.5441","0.53","0.5193","0.4633","0.5329"
"18","0.5327","0.5076","0.4851","0.4869","0.51"
"19","0.5512","0.4989","0.4755","0.5095","0.4822"
"20","0.5616","0.5502","0.5209","0.487","0.5198"
"21","0.5588","0.5495","0.5233","0.515","0.5393"
"22","0.5611","0.5805","0.4883","0.5174","0.5329"
"23","0.5577","0.5538","0.483","0.5161","0.5334"
"24","0.5756","0.5296","0.529","0.5437","0.5485"
"25","0.5539","0.5576","0.527","0.517","0.5501"
"26","0.5621","0.5103","0.5047","0.4996","0.5447"
"27","0.5612","0.5558","0.5503","0.4998","0.5288"
"28","0.5885","0.5351","0.5488","0.4729","0.5576"
"29","0.552","0.5773","0.5102","0.4859","0.5858"
"30","0.559","0.5447","0.5529","0.5249","0.5317"
"31","0.5647","0.5622","0.5407","0.5253","0.5579"
"32","0.5643","0.5813","0.52","0.5155","0.566"
"33","0.5706","0.5726","0.4689","0.4844","0.5884"
"34","0.5154","0.5617","0.4873","0.521","0.5705"
"35","0.5901","0.5582","0.5543","0.467","0.5566"
"36","0.5745","0.5333","0.4878","0.5124","0.5247"
"37","0.5596","0.5541","0.5079","0.5169","0.5574"
"38","0.5561","0.5791","0.5305","0.4918","0.5691"
"39","0.576","0.4667","0.5289","0.5323","0.5527"
"40","0.5497","0.5427","0.5369","0.4903","0.5639"
"41","0.5878","0.57","0.5719","0.5001","0.5085"
"42","0.5402","0.5576","0.5615","0.5004","0.5631"
"43","0.5632","0.592","0.5034","0.526","0.5613"
"44","0.558","0.5315","0.5321","0.528","0.5326"
"45","0.5642","0.5648","0.4813","0.5269","0.5765"
"46","0.5721","0.5513","0.5692","0.548","0.5373"
"47","0.5138","0.5698","0.5725","0.5562","0.5804"
"48","0.5677","0.524","0.5416","0.5179","0.5816"
"49","0.5507","0.5228","0.5128","0.528","0.5879"
"50","0.5757","0.5665","0.5621","0.5385","0.5642"
"51","0.5636","0.5537","0.5477","0.5393","0.5463"
"52","0.5441","0.5603","0.5461","0.5284","0.559"
"53","0.5631","0.5538","0.5273","0.5227","0.5703"
"54","0.5716","0.5493","0.5368","0.5475","0.5819"
"55","0.5729","0.5578","0.5188","0.4929","0.5877"
"56","0.5744","0.5396","0.5276","0.4991","0.5745"
"57","0.5955","0.5755","0.5431","0.5544","0.5436"
"58","0.5716","0.5792","0.5402","0.5266","0.5832"
"59","0.5862","0.599","0.5505","0.5404","0.5742"
"60","0.5852","0.5641","0.5324","0.5393","0.5953"
"61","0.7156","0.7181","0.694","0.675","0.717"
"62","0.7104","0.7198","0.7029","0.6866","0.7223"
"63","0.7012","0.7174","0.6993","0.6812","0.7131"
"64","0.71","0.7096","0.7035","0.6978","0.729"
"65","0.7003","0.7132","0.7068","0.68","0.7186"
"66","0.7028","0.7172","0.6968","0.6824","0.7214"
"67","0.7011","0.7127","0.7039","0.6925","0.7162"
"68","0.6966","0.7017","0.7019","0.6883","0.706"
"69","0.7022","0.7098","0.6914","0.6757","0.7161"
"70","0.7005","0.7072","0.7003","0.678","0.6931"
"71","0.6964","0.6996","0.6896","0.676","0.708"
"72","0.6878","0.7003","0.6922","0.6933","0.6997"
"73","0.6491","0.6971","0.6875","0.6873","0.703"
"74","0.6392","0.6874","0.6788","0.6708","0.6898"
"75","0.6486","0.6998","0.6905","0.683","0.6703"
"76","0.6569","0.6936","0.6981","0.6877","0.6952"
"77","0.6472","0.6924","0.7007","0.6794","0.6929"
"78","0.6552","0.6875","0.7022","0.6749","0.6931"
"79","0.6527","0.6959","0.6932","0.6909","0.6957"
"80","0.6382","0.6909","0.6831","0.6746","0.6934"
"81","0.6315","0.7041","0.6961","0.6671","0.6933"
"82","0.6587","0.6906","0.6788","0.6827","0.693"
"83","0.6626","0.6994","0.6894","0.6816","0.6763"
"84","0.6544","0.6899","0.6971","0.6855","0.6827"
"85","0.6424","0.6748","0.6795","0.6603","0.6927"
"86","0.6509","0.68","0.6918","0.6731","0.693"
"87","0.6515","0.69","0.6937","0.6748","0.6906"
"88","0.6474","0.6977","0.6878","0.6829","0.6815"
"89","0.646","0.6934","0.686","0.6787","0.6934"
"90","0.6488","0.6949","0.6971","0.679","0.6896"
"91","0.6349","0.682","0.6909","0.6929","0.6779"
"92","0.6452","0.6876","0.6964","0.6741","0.6882"
"93","0.6465","0.6838","0.6861","0.6705","0.6857"
"94","0.6378","0.6915","0.7045","0.683","0.6825"
"95","0.6484","0.6967","0.6909","0.6773","0.7015"
"96","0.6556","0.6767","0.6862","0.6681","0.6821"
"97","0.647","0.6933","0.6963","0.6672","0.6955"
"98","0.6465","0.6874","0.6707","0.6809","0.6913"
"99","0.6386","0.6835","0.6931","0.6702","0.6989"
"100","0.6459","0.6811","0.6952","0.6892","0.6868"
"101","0.6385","0.6764","0.7004","0.6871","0.6977"
"102","0.6532","0.6854","0.6874","0.6804","0.6924"
"103","0.6333","0.6881","0.6883","0.67","0.6822"
"104","0.6387","0.7","0.7033","0.685","0.7043"
"105","0.6508","0.6816","0.6923","0.6928","0.6876"
"106","0.6528","0.6833","0.6998","0.6919","0.6987"
"107","0.6371","0.6764","0.6824","0.6837","0.6927"
"108","0.6437","0.6854","0.7005","0.674","0.6972"
"109","0.6341","0.6828","0.685","0.6869","0.6836"
"110","0.6294","0.6805","0.6863","0.6837","0.6923"
"111","0.6247","0.6943","0.695","0.6803","0.7034"
"112","0.6361","0.6967","0.6887","0.6823","0.6957"
"113","0.6465","0.6884","0.6908","0.6733","0.6838"
"114","0.6479","0.6894","0.6877","0.6832","0.6898"
"115","0.6448","0.6735","0.6941","0.6903","0.6965"
"116","0.6278","0.6812","0.6779","0.6789","0.6867"
"117","0.6469","0.686","0.6826","0.6891","0.7093"
