"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.1916","0.1821","0.1788","0.1879","0.1842"
"2","0.2725","0.295","0.294","0.2627","0.3096"
"3","0.366","0.3888","0.3871","0.3807","0.3609"
"4","0.4169","0.4199","0.398","0.4133","0.4122"
"5","0.4418","0.4563","0.469","0.4255","0.4522"
"6","0.4668","0.4608","0.4085","0.4336","0.417"
"7","0.4765","0.4945","0.4886","0.5065","0.5084"
"8","0.4942","0.4984","0.5015","0.5243","0.5012"
"9","0.5222","0.5311","0.5025","0.503","0.4883"
"10","0.502","0.521","0.4853","0.5468","0.534"
"11","0.5326","0.5351","0.528","0.5049","0.5253"
"12","0.5305","0.5299","0.5523","0.4973","0.5184"
"13","0.5118","0.5253","0.5148","0.5342","0.5045"
"14","0.533","0.5151","0.54","0.5323","0.5093"
"15","0.5578","0.5201","0.5339","0.521","0.4824"
"16","0.5328","0.5219","0.5373","0.4933","0.5085"
"17","0.53","0.53","0.5503","0.5438","0.5596"
"18","0.5076","0.5389","0.5608","0.5583","0.534"
"19","0.4989","0.5439","0.5336","0.5232","0.5335"
"20","0.5502","0.5626","0.5406","0.5403","0.5586"
"21","0.5495","0.5818","0.5676","0.4496","0.5708"
"22","0.5805","0.5329","0.5093","0.5398","0.559"
"23","0.5538","0.5572","0.5552","0.5453","0.5246"
"24","0.5296","0.456","0.5292","0.555","0.5523"
"25","0.5576","0.5431","0.554","0.4925","0.5495"
"26","0.5103","0.5641","0.5669","0.5861","0.5477"
"27","0.5558","0.5586","0.5653","0.5264","0.5769"
"28","0.5351","0.5502","0.5641","0.5792","0.5633"
"29","0.5773","0.5614","0.5538","0.5656","0.5636"
"30","0.5447","0.5769","0.5794","0.5525","0.5498"
"31","0.5622","0.568","0.5666","0.5687","0.5755"
"32","0.5813","0.561","0.5513","0.545","0.5413"
"33","0.5726","0.5513","0.5548","0.5608","0.5516"
"34","0.5617","0.5524","0.5433","0.5701","0.5759"
"35","0.5582","0.5282","0.5409","0.5625","0.5881"
"36","0.5333","0.5495","0.5731","0.5618","0.5952"
"37","0.5541","0.5636","0.5625","0.5646","0.573"
"38","0.5791","0.5582","0.5516","0.5504","0.5524"
"39","0.4667","0.5435","0.551","0.5754","0.5568"
"40","0.5427","0.5062","0.5501","0.5678","0.5667"
"41","0.57","0.5721","0.5821","0.5854","0.5696"
"42","0.5576","0.5719","0.5603","0.5771","0.5535"
"43","0.592","0.5834","0.5742","0.5702","0.5427"
"44","0.5315","0.5403","0.583","0.5542","0.5765"
"45","0.5648","0.5445","0.5579","0.5513","0.5898"
"46","0.5513","0.5554","0.5786","0.5946","0.5611"
"47","0.5698","0.5472","0.5132","0.5562","0.5729"
"48","0.524","0.5558","0.5491","0.5861","0.5591"
"49","0.5228","0.5483","0.5514","0.558","0.5678"
"50","0.5665","0.5708","0.566","0.5872","0.5473"
"51","0.5537","0.5903","0.5936","0.5531","0.5575"
"52","0.5603","0.5079","0.5361","0.5785","0.5514"
"53","0.5538","0.5349","0.559","0.6093","0.532"
"54","0.5493","0.5418","0.5189","0.5864","0.5972"
"55","0.5578","0.5672","0.5401","0.5826","0.5721"
"56","0.5396","0.5593","0.5794","0.5934","0.5343"
"57","0.5755","0.5769","0.5758","0.5578","0.5378"
"58","0.5792","0.5825","0.5196","0.5657","0.5591"
"59","0.599","0.5928","0.5925","0.5692","0.5888"
"60","0.5641","0.5719","0.5916","0.5798","0.5774"
"61","0.7181","0.7231","0.7161","0.7135","0.7236"
"62","0.7198","0.7217","0.7223","0.7177","0.7253"
"63","0.7174","0.7274","0.7217","0.7262","0.731"
"64","0.7096","0.7288","0.7175","0.7191","0.7276"
"65","0.7132","0.7184","0.7155","0.7122","0.7233"
"66","0.7172","0.7206","0.7189","0.7123","0.7191"
"67","0.7127","0.7178","0.7056","0.7118","0.7167"
"68","0.7017","0.7221","0.707","0.7104","0.7209"
"69","0.7098","0.7015","0.7082","0.7177","0.7094"
"70","0.7072","0.7035","0.705","0.6976","0.7003"
"71","0.6996","0.6943","0.6899","0.7015","0.7045"
"72","0.7003","0.7013","0.6981","0.6886","0.705"
"73","0.6971","0.6993","0.7015","0.7024","0.7063"
"74","0.6874","0.6932","0.6933","0.6897","0.6954"
"75","0.6998","0.6914","0.696","0.6906","0.7011"
"76","0.6936","0.7014","0.6929","0.6973","0.676"
"77","0.6924","0.695","0.6934","0.6831","0.6911"
"78","0.6875","0.6719","0.6805","0.6903","0.6977"
"79","0.6959","0.6946","0.6899","0.695","0.7008"
"80","0.6909","0.695","0.688","0.6954","0.695"
"81","0.7041","0.6883","0.6803","0.6836","0.7023"
"82","0.6906","0.706","0.6955","0.6893","0.6977"
"83","0.6994","0.6924","0.6897","0.6825","0.6941"
"84","0.6899","0.6898","0.6858","0.6955","0.6916"
"85","0.6748","0.6917","0.6944","0.6894","0.6844"
"86","0.68","0.684","0.695","0.6823","0.6843"
"87","0.69","0.6857","0.6684","0.6867","0.6924"
"88","0.6977","0.689","0.6926","0.6814","0.6936"
"89","0.6934","0.6851","0.6928","0.6782","0.6889"
"90","0.6949","0.6785","0.6807","0.7013","0.6979"
"91","0.682","0.6889","0.6899","0.6912","0.6855"
"92","0.6876","0.6928","0.6876","0.6958","0.6901"
"93","0.6838","0.6868","0.6833","0.6899","0.6991"
"94","0.6915","0.6805","0.68","0.693","0.6939"
"95","0.6967","0.6941","0.6912","0.6867","0.6763"
"96","0.6767","0.6727","0.6768","0.6868","0.6945"
"97","0.6933","0.6712","0.6806","0.698","0.7048"
"98","0.6874","0.6809","0.66","0.6758","0.6921"
"99","0.6835","0.7008","0.6866","0.685","0.7028"
"100","0.6811","0.6704","0.6842","0.6827","0.6898"
"101","0.6764","0.6879","0.6763","0.6895","0.6951"
"102","0.6854","0.6679","0.675","0.682","0.6794"
"103","0.6881","0.6882","0.68","0.7011","0.684"
"104","0.7","0.6929","0.6728","0.6943","0.6982"
"105","0.6816","0.6886","0.6851","0.6938","0.6972"
"106","0.6833","0.6593","0.6714","0.6936","0.6829"
"107","0.6764","0.6903","0.6709","0.6884","0.6854"
"108","0.6854","0.6914","0.6796","0.6823","0.6895"
"109","0.6828","0.6939","0.6797","0.6808","0.6854"
"110","0.6805","0.6861","0.6862","0.6958","0.6978"
"111","0.6943","0.681","0.696","0.7008","0.6876"
"112","0.6967","0.6817","0.6869","0.7024","0.6965"
"113","0.6884","0.698","0.6746","0.6972","0.6946"
"114","0.6894","0.6972","0.6767","0.6863","0.6972"
"115","0.6735","0.6775","0.6821","0.6641","0.6966"
"116","0.6812","0.6913","0.6792","0.6834","0.6785"
"117","0.686","0.6888","0.6882","0.6955","0.6815"
"118","0.6893","0.6886","0.6876","0.6869","0.6853"
"119","0.6875","0.6931","0.6811","0.6951","0.6932"
"120","0.6879","0.6865","0.6959","0.6959","0.6931"
"121","0.7556","0.754","0.751","0.7593","0.7556"
"122","0.7593","0.7527","0.752","0.759","0.7559"
"123","0.7626","0.7581","0.7518","0.7596","0.7585"
"124","0.7584","0.7569","0.753","0.7602","0.764"
"125","0.7616","0.7552","0.7509","0.7618","0.7622"
"126","0.7579","0.7565","0.7519","0.759","0.763"
"127","0.7611","0.7558","0.7547","0.761","0.7634"
"128","0.7583","0.7542","0.7552","0.7617","0.7622"
"129","0.7589","0.7568","0.758","0.7601","0.7631"
"130","0.761","0.7574","0.7552","0.7605","0.7633"
"131","0.7586","0.759","0.7538","0.7576","0.7599"
"132","0.7599","0.7549","0.7527","0.7618","0.7604"
"133","0.7588","0.7537","0.7513","0.7612","0.7615"
"134","0.7579","0.7538","0.7561","0.7617","0.761"
"135","0.758","0.7531","0.7509","0.7569","0.7611"
"136","0.7594","0.7568","0.7532","0.7616","0.7584"
"137","0.7603","0.7544","0.7557","0.761","0.762"
"138","0.7571","0.7543","0.7554","0.7581","0.7629"
"139","0.7569","0.7518","0.7551","0.7563","0.7627"
"140","0.7569","0.7524","0.7506","0.7575","0.7629"
"141","0.7577","0.7521","0.7491","0.7576","0.7595"
"142","0.7547","0.7529","0.7477","0.7579","0.7619"
"143","0.7588","0.7556","0.7522","0.7578","0.7597"
"144","0.757","0.7542","0.7489","0.7602","0.7606"
"145","0.7598","0.7522","0.7498","0.7556","0.7619"
"146","0.7566","0.7541","0.7525","0.7577","0.7612"
"147","0.7556","0.7529","0.7532","0.7524","0.7639"
"148","0.7567","0.7559","0.7495","0.7548","0.7612"
"149","0.7568","0.7507","0.7467","0.7564","0.7584"
"150","0.7542","0.7541","0.7505","0.7566","0.7607"
"151","0.7553","0.7505","0.7481","0.7571","0.76"
"152","0.7558","0.7531","0.7527","0.7548","0.7585"
"153","0.7541","0.7503","0.7484","0.7584","0.7587"
"154","0.7566","0.7497","0.7472","0.7558","0.7553"
"155","0.7577","0.7492","0.7478","0.7567","0.757"
"156","0.7517","0.7539","0.7501","0.757","0.7563"
"157","0.7535","0.7489","0.7498","0.7552","0.7581"
"158","0.756","0.7491","0.7502","0.7571","0.7585"
"159","0.7571","0.7511","0.75","0.755","0.7553"
"160","0.7583","0.7521","0.749","0.7525","0.7573"
"161","0.7616","0.7569","0.7549","0.757","0.7629"
"162","0.762","0.7558","0.7546","0.757","0.7632"
"163","0.7607","0.7561","0.7547","0.759","0.7635"
"164","0.7624","0.7569","0.7549","0.7607","0.7633"
"165","0.7609","0.7562","0.7547","0.7612","0.7648"
"166","0.764","0.756","0.7557","0.7608","0.7641"
"167","0.7615","0.7564","0.7539","0.7628","0.7639"
"168","0.764","0.7578","0.7547","0.7633","0.7636"
"169","0.7614","0.7562","0.7565","0.7645","0.7657"
"170","0.7607","0.7554","0.7547","0.7616","0.7664"
"171","0.7589","0.7573","0.7525","0.7621","0.765"
"172","0.7618","0.7579","0.7553","0.7617","0.7659"
"173","0.7598","0.7588","0.7561","0.7635","0.7651"
"174","0.7601","0.7581","0.7552","0.7634","0.7634"
"175","0.7613","0.7585","0.7563","0.7627","0.7658"
"176","0.762","0.7598","0.7563","0.762","0.7649"
"177","0.7612","0.7597","0.7549","0.764","0.7654"
"178","0.7623","0.7556","0.7543","0.7653","0.7636"
"179","0.7599","0.7532","0.7545","0.7629","0.7654"
"180","0.7629","0.7545","0.7568","0.7635","0.7627"
"181","0.7608","0.755","0.7559","0.7637","0.763"
"182","0.7603","0.7586","0.755","0.7611","0.7664"
"183","0.7589","0.7572","0.757","0.7628","0.7642"
"184","0.7598","0.7568","0.7538","0.7645","0.7642"
"185","0.7599","0.7574","0.7541","0.763","0.7649"
"186","0.7619","0.755","0.7545","0.7646","0.7664"
"187","0.7609","0.7572","0.7554","0.7643","0.764"
"188","0.76","0.7555","0.7545","0.7617","0.7645"
"189","0.7605","0.7558","0.7557","0.7604","0.765"
"190","0.7618","0.7563","0.7531","0.761","0.7641"
"191","0.7617","0.757","0.7559","0.7625","0.7647"
"192","0.7626","0.7576","0.7551","0.7627","0.7643"
"193","0.762","0.7572","0.7538","0.7627","0.764"
"194","0.7608","0.7575","0.7546","0.7646","0.7664"
"195","0.7595","0.7558","0.7546","0.7637","0.7678"
"196","0.7614","0.7543","0.7537","0.7639","0.7656"
"197","0.7608","0.7556","0.7564","0.7644","0.7646"
"198","0.7618","0.7563","0.7558","0.7616","0.7657"
"199","0.7618","0.7554","0.7554","0.7627","0.7638"
"200","0.7589","0.7561","0.7538","0.7618","0.7666"
