"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.12","0.12","0.12","0.12","0.12"
"2","0.1707","0.1707","0.1707","0.1707","0.1707"
"3","0.2866","0.2866","0.2866","0.2866","0.2866"
"4","0.3363","0.3363","0.3363","0.3363","0.3363"
"5","0.3354","0.3354","0.3354","0.3354","0.3354"
"6","0.3876","0.3876","0.3876","0.3876","0.3876"
"7","0.4132","0.4132","0.4132","0.4132","0.4132"
"8","0.4033","0.4033","0.4033","0.4033","0.4033"
"9","0.4372","0.4372","0.4372","0.4372","0.4372"
"10","0.4359","0.4359","0.4359","0.4359","0.4359"
"11","0.4405","0.4405","0.4405","0.4405","0.4405"
"12","0.3934","0.3934","0.3934","0.3934","0.3934"
"13","0.4098","0.4098","0.4098","0.4098","0.4098"
"14","0.4436","0.4436","0.4436","0.4436","0.4436"
"15","0.4948","0.4948","0.4948","0.4948","0.4948"
"16","0.4428","0.4428","0.4428","0.4428","0.4428"
"17","0.4993","0.4993","0.4993","0.4993","0.4993"
"18","0.4699","0.4699","0.4699","0.4699","0.4699"
"19","0.4431","0.4431","0.4431","0.4431","0.4431"
"20","0.4869","0.4869","0.4869","0.4869","0.4869"
"21","0.5129","0.5129","0.5129","0.5129","0.5129"
"22","0.4685","0.4685","0.4685","0.4685","0.4685"
"23","0.4827","0.4827","0.4827","0.4827","0.4827"
"24","0.4835","0.4835","0.4835","0.4835","0.4835"
"25","0.508","0.508","0.508","0.508","0.508"
"26","0.4775","0.4775","0.4775","0.4775","0.4775"
"27","0.4778","0.4778","0.4778","0.4778","0.4778"
"28","0.4996","0.4996","0.4996","0.4996","0.4996"
"29","0.5111","0.5111","0.5111","0.5111","0.5111"
"30","0.442","0.442","0.442","0.442","0.442"
"31","0.4817","0.4817","0.4817","0.4817","0.4817"
"32","0.5289","0.5289","0.5289","0.5289","0.5289"
"33","0.4832","0.4832","0.4832","0.4832","0.4832"
"34","0.5412","0.5412","0.5412","0.5412","0.5412"
"35","0.4805","0.4805","0.4805","0.4805","0.4805"
"36","0.5408","0.5408","0.5408","0.5408","0.5408"
"37","0.502","0.502","0.502","0.502","0.502"
"38","0.5297","0.5297","0.5297","0.5297","0.5297"
"39","0.5371","0.5371","0.5371","0.5371","0.5371"
"40","0.5266","0.5266","0.5266","0.5266","0.5266"
"41","0.517","0.517","0.517","0.517","0.517"
"42","0.4623","0.4623","0.4623","0.4623","0.4623"
"43","0.5094","0.5094","0.5094","0.5094","0.5094"
"44","0.5259","0.5259","0.5259","0.5259","0.5259"
"45","0.4634","0.4634","0.4634","0.4634","0.4634"
"46","0.5291","0.5291","0.5291","0.5291","0.5291"
"47","0.5137","0.5137","0.5137","0.5137","0.5137"
"48","0.4996","0.4996","0.4996","0.4996","0.4996"
"49","0.5012","0.5012","0.5012","0.5012","0.5012"
"50","0.487","0.487","0.487","0.487","0.487"
"51","0.528","0.528","0.528","0.528","0.528"
"52","0.5388","0.5388","0.5388","0.5388","0.5388"
"53","0.4881","0.4881","0.4881","0.4881","0.4881"
"54","0.5081","0.5081","0.5081","0.5081","0.5081"
"55","0.4678","0.4678","0.4678","0.4678","0.4678"
"56","0.5338","0.5338","0.5338","0.5338","0.5338"
"57","0.5137","0.5137","0.5137","0.5137","0.5137"
"58","0.5051","0.5051","0.5051","0.5051","0.5051"
"59","0.5024","0.5024","0.5024","0.5024","0.5024"
"60","0.4841","0.4841","0.4841","0.4841","0.4841"
"61","0.6771","0.6771","0.6771","0.6771","0.6771"
"62","0.6819","0.6819","0.6819","0.6819","0.6819"
"63","0.6939","0.6939","0.6939","0.6939","0.6939"
"64","0.686","0.686","0.686","0.686","0.686"
"65","0.6842","0.6842","0.6842","0.6842","0.6842"
"66","0.6888","0.6888","0.6888","0.6888","0.6888"
"67","0.6816","0.6816","0.6816","0.6816","0.6816"
"68","0.6771","0.6771","0.6771","0.6771","0.6771"
"69","0.6963","0.6963","0.6963","0.6963","0.6963"
"70","0.6778","0.6778","0.6778","0.6778","0.6778"
"71","0.6852","0.6852","0.6852","0.6852","0.6852"
"72","0.685","0.685","0.685","0.685","0.685"
"73","0.6639","0.6639","0.6639","0.6639","0.6639"
"74","0.6768","0.6768","0.6768","0.6768","0.6768"
"75","0.6814","0.6814","0.6814","0.6814","0.6814"
"76","0.6836","0.6836","0.6836","0.6836","0.6836"
"77","0.6753","0.6753","0.6753","0.6753","0.6753"
"78","0.6737","0.6737","0.6737","0.6737","0.6737"
"79","0.6696","0.6696","0.6696","0.6696","0.6696"
"80","0.6549","0.6549","0.6549","0.6549","0.6549"
"81","0.659","0.659","0.659","0.659","0.659"
"82","0.6865","0.6865","0.6865","0.6865","0.6865"
"83","0.6942","0.6942","0.6942","0.6942","0.6942"
"84","0.6803","0.6803","0.6803","0.6803","0.6803"
"85","0.684","0.684","0.684","0.684","0.684"
"86","0.6823","0.6823","0.6823","0.6823","0.6823"
"87","0.6742","0.6742","0.6742","0.6742","0.6742"
"88","0.682","0.682","0.682","0.682","0.682"
