"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.1375","0.1494","0.1435","0.1431","0.1357"
"2","0.2254","0.2296","0.2296","0.2267","0.2123"
"3","0.2975","0.2932","0.3096","0.278","0.2931"
"4","0.3608","0.3634","0.3333","0.3711","0.3432"
"5","0.3894","0.3931","0.4175","0.3657","0.3774"
"6","0.4187","0.4103","0.431","0.4229","0.3833"
"7","0.4406","0.4541","0.4363","0.4711","0.4429"
"8","0.4546","0.455","0.4287","0.4449","0.4505"
"9","0.464","0.468","0.4395","0.4589","0.4481"
"10","0.4667","0.4768","0.4313","0.4279","0.4701"
"11","0.4531","0.4715","0.4636","0.4933","0.4643"
"12","0.4797","0.4812","0.5013","0.4849","0.4973"
"13","0.4821","0.4912","0.4927","0.5028","0.442"
"14","0.5244","0.5109","0.4968","0.5085","0.468"
"15","0.4231","0.4599","0.5115","0.4713","0.4526"
"16","0.5104","0.4789","0.4414","0.4971","0.4992"
"17","0.4633","0.5029","0.4994","0.5057","0.4998"
"18","0.4869","0.5126","0.4902","0.4705","0.517"
"19","0.5095","0.4931","0.4957","0.4802","0.5208"
"20","0.487","0.4919","0.5028","0.5026","0.5128"
"21","0.515","0.5415","0.5265","0.5029","0.5091"
"22","0.5174","0.5324","0.5549","0.5261","0.5059"
"23","0.5161","0.5342","0.5123","0.5203","0.5141"
"24","0.5437","0.5459","0.4832","0.5169","0.5213"
"25","0.517","0.5505","0.5237","0.4708","0.5046"
"26","0.4996","0.5509","0.4735","0.5083","0.4797"
"27","0.4998","0.496","0.4981","0.4982","0.4877"
"28","0.4729","0.5316","0.5342","0.5043","0.5156"
"29","0.4859","0.5194","0.5212","0.4889","0.5267"
"30","0.5249","0.4999","0.5006","0.5266","0.519"
"31","0.5253","0.5125","0.5178","0.4919","0.5263"
"32","0.5155","0.5378","0.5335","0.5192","0.4942"
"33","0.4844","0.4983","0.4696","0.5251","0.4873"
"34","0.521","0.5217","0.4838","0.5264","0.5171"
"35","0.467","0.5328","0.5383","0.5233","0.5189"
"36","0.5124","0.5416","0.5291","0.4926","0.522"
"37","0.5169","0.5322","0.5451","0.561","0.554"
"38","0.4918","0.5354","0.5129","0.5418","0.4943"
"39","0.5323","0.523","0.5259","0.5347","0.5008"
"40","0.4903","0.5195","0.537","0.5344","0.4997"
"41","0.5001","0.5374","0.5342","0.5177","0.508"
"42","0.5004","0.5152","0.5245","0.4816","0.5339"
"43","0.526","0.5414","0.557","0.5263","0.4558"
"44","0.528","0.518","0.5491","0.5565","0.5455"
"45","0.5269","0.5217","0.566","0.5531","0.5304"
"46","0.548","0.541","0.531","0.5037","0.5481"
"47","0.5562","0.5344","0.5486","0.56","0.5399"
"48","0.5179","0.5309","0.5437","0.5355","0.5522"
"49","0.528","0.5681","0.5168","0.5037","0.5316"
"50","0.5385","0.5681","0.5186","0.5426","0.4683"
"51","0.5393","0.547","0.5111","0.5141","0.5356"
"52","0.5284","0.5335","0.5691","0.53","0.585"
"53","0.5227","0.5084","0.5226","0.5235","0.5122"
"54","0.5475","0.5527","0.5504","0.544","0.5588"
"55","0.4929","0.5715","0.5354","0.5495","0.4796"
"56","0.4991","0.5398","0.5326","0.5271","0.551"
"57","0.5544","0.5624","0.5532","0.5672","0.5178"
"58","0.5266","0.4894","0.5059","0.4965","0.5045"
"59","0.5404","0.5166","0.5381","0.5424","0.5353"
"60","0.5393","0.5244","0.476","0.5389","0.5263"
"61","0.675","0.6853","0.6773","0.6838","0.6761"
"62","0.6866","0.6792","0.6827","0.6912","0.6829"
