"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.0922","0.1041","0.1096","0.1025","0.1233"
"2","0.1189","0.1085","0.1365","0.1096","0.1393"
"3","0.1378","0.135","0.1459","0.1473","0.1683"
"4","0.1572","0.153","0.1623","0.1438","0.1609"
"5","0.1301","0.1493","0.1743","0.1511","0.1585"
"6","0.146","0.1496","0.1516","0.1653","0.1651"
"7","0.1671","0.1477","0.157","0.1619","0.1726"
"8","0.1681","0.1656","0.161","0.1732","0.1746"
"9","0.1728","0.1633","0.1627","0.1537","0.1701"
"10","0.1661","0.1487","0.1788","0.1529","0.1746"
"11","0.1803","0.1818","0.1755","0.171","0.1739"
"12","0.1767","0.1655","0.1609","0.1663","0.1582"
"13","0.1717","0.1611","0.1698","0.1765","0.1852"
"14","0.1729","0.1503","0.174","0.1581","0.1821"
"15","0.1625","0.1649","0.1804","0.1562","0.1801"
"16","0.1823","0.1735","0.1826","0.1826","0.1846"
"17","0.178","0.1674","0.1968","0.1787","0.1805"
"18","0.1779","0.1911","0.1937","0.1599","0.1766"
"19","0.179","0.1542","0.1842","0.1719","0.1709"
"20","0.1792","0.1832","0.1856","0.1838","0.1855"
"21","0.1839","0.1676","0.1928","0.1522","0.1784"
"22","0.1799","0.1858","0.1706","0.1795","0.1852"
"23","0.1747","0.1883","0.1905","0.1829","0.196"
"24","0.1785","0.1856","0.1935","0.1651","0.1952"
"25","0.1777","0.1827","0.1849","0.1961","0.1862"
"26","0.1429","0.18","0.1718","0.1922","0.1975"
"27","0.1792","0.1784","0.1936","0.1844","0.1853"
"28","0.1752","0.1759","0.1531","0.1801","0.1861"
"29","0.1703","0.1784","0.1873","0.1786","0.1786"
"30","0.1846","0.1784","0.1908","0.1864","0.1741"
"31","0.1772","0.1906","0.1957","0.1916","0.1822"
"32","0.1866","0.185","0.1878","0.159","0.1762"
"33","0.1761","0.1701","0.1905","0.1768","0.1917"
"34","0.1691","0.1778","0.1906","0.1914","0.1839"
"35","0.1858","0.1796","0.1716","0.1782","0.1791"
"36","0.1849","0.1865","0.1954","0.1791","0.1971"
"37","0.1756","0.1733","0.1886","0.1873","0.1842"
"38","0.1991","0.1775","0.201","0.1976","0.1926"
"39","0.1949","0.1905","0.2013","0.1818","0.1912"
"40","0.1852","0.1801","0.1859","0.1988","0.1908"
"41","0.1751","0.1623","0.187","0.186","0.1847"
"42","0.1772","0.1782","0.1978","0.1682","0.2023"
"43","0.1851","0.1739","0.2069","0.203","0.1985"
"44","0.1793","0.1877","0.1879","0.2014","0.1793"
"45","0.1924","0.1748","0.199","0.2007","0.191"
"46","0.1925","0.1772","0.1734","0.1652","0.1857"
"47","0.1902","0.1833","0.1873","0.1819","0.1898"
"48","0.1737","0.1871","0.1817","0.1872","0.1944"
"49","0.1783","0.163","0.1738","0.1794","0.1855"
"50","0.1744","0.1795","0.1904","0.1879","0.1978"
"51","0.1749","0.1781","0.1996","0.1893","0.189"
"52","0.1837","0.1801","0.197","0.1951","0.1781"
"53","0.1864","0.1847","0.1946","0.1928","0.1937"
"54","0.1906","0.1804","0.1938","0.1873","0.199"
"55","0.1853","0.1551","0.1957","0.1967","0.1919"
"56","0.1832","0.1829","0.1877","0.1925","0.1708"
"57","0.1786","0.169","0.1949","0.1902","0.1905"
"58","0.1609","0.1643","0.1729","0.1852","0.2002"
"59","0.1851","0.1885","0.2035","0.205","0.1814"
"60","0.1869","0.1773","0.1978","0.2006","0.2"
"61","0.2744","0.2637","0.2745","0.2765","0.2759"
"62","0.2783","0.2718","0.2826","0.2806","0.2855"
"63","0.2888","0.2787","0.2901","0.2933","0.2946"
"64","0.2786","0.2737","0.2853","0.2845","0.2919"
"65","0.2816","0.2836","0.2848","0.2915","0.2903"
"66","0.2761","0.2806","0.2852","0.2884","0.2877"
"67","0.2796","0.2864","0.2865","0.2913","0.2913"
