"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.057","0.057","0.057","0.057","0.057"
"2","0.1","0.1","0.1","0.1","0.1"
"3","0.1106","0.1106","0.1106","0.1106","0.1106"
"4","0.1125","0.1125","0.1125","0.1125","0.1125"
"5","0.1273","0.1273","0.1273","0.1273","0.1273"
"6","0.1353","0.1353","0.1353","0.1353","0.1353"
"7","0.1387","0.1387","0.1387","0.1387","0.1387"
"8","0.1412","0.1412","0.1412","0.1412","0.1412"
"9","0.1448","0.1448","0.1448","0.1448","0.1448"
"10","0.1477","0.1477","0.1477","0.1477","0.1477"
"11","0.146","0.146","0.146","0.146","0.146"
"12","0.1568","0.1568","0.1568","0.1568","0.1568"
"13","0.1637","0.1637","0.1637","0.1637","0.1637"
"14","0.1677","0.1677","0.1677","0.1677","0.1677"
"15","0.1643","0.1643","0.1643","0.1643","0.1643"
"16","0.1628","0.1628","0.1628","0.1628","0.1628"
"17","0.1584","0.1584","0.1584","0.1584","0.1584"
"18","0.1748","0.1748","0.1748","0.1748","0.1748"
"19","0.1654","0.1654","0.1654","0.1654","0.1654"
"20","0.168","0.168","0.168","0.168","0.168"
"21","0.1419","0.1419","0.1419","0.1419","0.1419"
"22","0.1683","0.1683","0.1683","0.1683","0.1683"
"23","0.1663","0.1663","0.1663","0.1663","0.1663"
"24","0.1812","0.1812","0.1812","0.1812","0.1812"
"25","0.1916","0.1916","0.1916","0.1916","0.1916"
"26","0.1823","0.1823","0.1823","0.1823","0.1823"
"27","0.1701","0.1701","0.1701","0.1701","0.1701"
"28","0.1654","0.1654","0.1654","0.1654","0.1654"
"29","0.159","0.159","0.159","0.159","0.159"
"30","0.1795","0.1795","0.1795","0.1795","0.1795"
"31","0.1635","0.1635","0.1635","0.1635","0.1635"
"32","0.1711","0.1711","0.1711","0.1711","0.1711"
"33","0.1821","0.1821","0.1821","0.1821","0.1821"
"34","0.1786","0.1786","0.1786","0.1786","0.1786"
"35","0.1729","0.1729","0.1729","0.1729","0.1729"
"36","0.1773","0.1773","0.1773","0.1773","0.1773"
