"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.0786","0.0875","0.0778","0.0835","0.0803"
"2","0.1063","0.1162","0.0999","0.1127","0.1084"
"3","0.1158","0.127","0.1088","0.1152","0.123"
"4","0.1205","0.1318","0.1292","0.1357","0.1267"
"5","0.1323","0.1328","0.1267","0.1313","0.1249"
"6","0.1424","0.1317","0.1465","0.1322","0.1267"
"7","0.1484","0.1383","0.1357","0.1358","0.1284"
"8","0.1351","0.1353","0.1354","0.1492","0.1349"
"9","0.155","0.1457","0.1454","0.1592","0.1453"
"10","0.1315","0.1355","0.1496","0.1419","0.1431"
"11","0.1165","0.153","0.1433","0.1458","0.1401"
"12","0.1565","0.1434","0.136","0.1549","0.1546"
"13","0.1459","0.1461","0.1317","0.141","0.1452"
"14","0.1474","0.1398","0.1341","0.1603","0.15"
"15","0.1595","0.1526","0.1519","0.1547","0.1399"
"16","0.136","0.1353","0.1555","0.159","0.1574"
"17","0.1594","0.1537","0.1426","0.1564","0.1538"
"18","0.1352","0.1635","0.1581","0.1551","0.1529"
"19","0.1493","0.1641","0.1521","0.154","0.1391"
"20","0.1428","0.1507","0.153","0.1693","0.1374"
"21","0.1405","0.1392","0.1232","0.1611","0.1445"
"22","0.1561","0.1508","0.1584","0.1594","0.1427"
"23","0.1583","0.168","0.1521","0.1596","0.1576"
"24","0.137","0.1432","0.1519","0.1584","0.1482"
"25","0.1605","0.1546","0.1593","0.1485","0.1416"
"26","0.1501","0.1485","0.1485","0.1476","0.1584"
"27","0.1593","0.1597","0.1416","0.1654","0.1619"
"28","0.1498","0.1556","0.1304","0.1609","0.1582"
"29","0.1353","0.1632","0.1305","0.1468","0.1586"
"30","0.1479","0.1621","0.1525","0.1534","0.1573"
"31","0.1712","0.1573","0.137","0.141","0.1634"
"32","0.148","0.1775","0.1578","0.1554","0.1508"
"33","0.1594","0.1707","0.1597","0.1508","0.165"
"34","0.1496","0.1651","0.1559","0.1533","0.1573"
"35","0.1629","0.1472","0.153","0.1592","0.1462"
"36","0.1549","0.1594","0.1428","0.1589","0.1633"
"37","0.1542","0.1556","0.1601","0.1627","0.1475"
"38","0.1612","0.1562","0.1614","0.1559","0.1393"
"39","0.1672","0.1681","0.1412","0.1446","0.1607"
"40","0.1606","0.1587","0.1427","0.1575","0.1539"
"41","0.1666","0.1671","0.1624","0.1572","0.151"
"42","0.1458","0.1519","0.1464","0.1372","0.1576"
"43","0.1628","0.1527","0.1609","0.1358","0.1598"
"44","0.1679","0.1547","0.1268","0.1629","0.1461"
"45","0.1497","0.1564","0.1413","0.1671","0.1554"
"46","0.1708","0.1619","0.1619","0.1445","0.1611"
"47","0.1462","0.1669","0.14","0.1671","0.1634"
"48","0.1579","0.1526","0.1581","0.1633","0.1664"
"49","0.156","0.1381","0.153","0.1581","0.1465"
"50","0.1579","0.1601","0.1353","0.1417","0.1326"
"51","0.1584","0.1481","0.1421","0.157","0.1631"
"52","0.152","0.1388","0.1381","0.1559","0.1589"
"53","0.1565","0.122","0.1514","0.1466","0.1571"
"54","0.1539","0.1434","0.1468","0.1593","0.1661"
"55","0.1482","0.1527","0.1477","0.1382","0.1684"
"56","0.174","0.155","0.1662","0.1556","0.1552"
"57","0.1595","0.135","0.1427","0.1543","0.1658"
"58","0.1711","0.1608","0.1629","0.1664","0.1495"
"59","0.165","0.1566","0.1654","0.1628","0.1637"
"60","0.1723","0.1535","0.1571","0.1667","0.1646"
"61","0.231","0.2297","0.2305","0.2306","0.236"
"62","0.2541","0.2452","0.2397","0.2424","0.2419"
"63","0.2587","0.2561","0.2498","0.2476","0.2483"
"64","0.255","0.2539","0.2543","0.2572","0.2528"
"65","0.2615","0.259","0.2526","0.2655","0.2489"
"66","0.2693","0.2633","0.257","0.2696","0.2553"
"67","0.2673","0.278","0.259","0.2584","0.2712"
"68","0.2616","0.2646","0.2611","0.268","0.2663"
"69","0.2733","0.267","0.2567","0.2723","0.2701"
"70","0.2812","0.2819","0.2695","0.2641","0.2631"
"71","0.2733","0.275","0.2647","0.2762","0.2653"
"72","0.2817","0.2773","0.2653","0.285","0.2792"
"73","0.2833","0.2814","0.2439","0.2777","0.2639"
"74","0.2829","0.2685","0.2861","0.2852","0.2772"
"75","0.2903","0.2837","0.2677","0.2795","0.2651"
"76","0.2914","0.2903","0.2706","0.2773","0.2812"
"77","0.2751","0.2766","0.2727","0.271","0.2712"
"78","0.2863","0.2843","0.2835","0.2872","0.2912"
"79","0.2852","0.2944","0.2836","0.2956","0.2851"
"80","0.282","0.2746","0.2747","0.2863","0.2819"
"81","0.282","0.2888","0.2753","0.2836","0.2759"
"82","0.2933","0.3004","0.2835","0.2921","0.2878"
"83","0.2862","0.2863","0.273","0.2828","0.2744"
"84","0.2714","0.287","0.2707","0.2837","0.2773"
"85","0.2928","0.298","0.2899","0.2931","0.2872"
"86","0.2932","0.2792","0.2849","0.2887","0.2903"
"87","0.2922","0.2872","0.2937","0.2705","0.3014"
"88","0.2905","0.2925","0.2759","0.2927","0.2837"
"89","0.2973","0.2865","0.2793","0.2802","0.2742"
