"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.0886","0.08","0.0955","0.0799","0.0826"
"2","0.113","0.1073","0.1248","0.1111","0.1069"
"3","0.1548","0.1336","0.1407","0.1489","0.1385"
"4","0.162","0.1653","0.1585","0.1553","0.1615"
"5","0.1596","0.156","0.1664","0.1427","0.1603"
"6","0.1648","0.1722","0.1735","0.1827","0.1615"
"7","0.1645","0.1609","0.1646","0.1674","0.1642"
"8","0.1919","0.1704","0.159","0.1689","0.1687"
"9","0.187","0.1834","0.1667","0.1778","0.1856"
"10","0.1698","0.1654","0.1975","0.1482","0.1852"
"11","0.1762","0.1807","0.1772","0.1761","0.1772"
"12","0.1899","0.1913","0.187","0.1829","0.1781"
"13","0.1628","0.1781","0.1852","0.1771","0.1839"
"14","0.1808","0.1667","0.1991","0.1801","0.1784"
"15","0.1648","0.1831","0.2","0.1857","0.1697"
"16","0.1896","0.1773","0.1843","0.1814","0.1625"
"17","0.1917","0.2003","0.2076","0.1912","0.1964"
"18","0.166","0.1951","0.1745","0.1945","0.1793"
"19","0.2067","0.1697","0.1951","0.2041","0.1928"
"20","0.1872","0.1956","0.1797","0.1837","0.1716"
"21","0.1915","0.1782","0.1969","0.185","0.1837"
"22","0.1915","0.1905","0.2008","0.1911","0.1979"
"23","0.1928","0.2114","0.1923","0.2003","0.1946"
"24","0.1669","0.207","0.184","0.1859","0.1958"
"25","0.2061","0.2129","0.2162","0.1909","0.1858"
"26","0.1922","0.1938","0.1799","0.1882","0.166"
"27","0.194","0.2207","0.2087","0.208","0.2001"
"28","0.1761","0.2008","0.2007","0.1967","0.1853"
"29","0.1846","0.1897","0.2024","0.2126","0.1578"
"30","0.1766","0.1924","0.1951","0.194","0.1869"
"31","0.2008","0.2004","0.2044","0.1895","0.1889"
"32","0.2043","0.1835","0.1965","0.1717","0.2074"
"33","0.1951","0.1816","0.1751","0.1881","0.1872"
"34","0.1898","0.2083","0.2091","0.2066","0.2037"
"35","0.2008","0.2036","0.2044","0.2038","0.1964"
"36","0.1991","0.1717","0.1996","0.2009","0.2057"
"37","0.1778","0.1934","0.1982","0.2093","0.1964"
"38","0.2118","0.2053","0.1856","0.2047","0.2065"
"39","0.202","0.2057","0.1935","0.1889","0.2015"
"40","0.2002","0.2043","0.2092","0.1921","0.1904"
"41","0.205","0.2036","0.212","0.2077","0.2016"
"42","0.1932","0.2018","0.2092","0.1908","0.1965"
"43","0.2007","0.2222","0.1962","0.2023","0.2069"
"44","0.2001","0.1896","0.1826","0.1927","0.1939"
"45","0.2116","0.1963","0.1835","0.1814","0.1888"
"46","0.2088","0.1992","0.1983","0.1917","0.2052"
"47","0.1793","0.1768","0.1909","0.1995","0.1928"
"48","0.1944","0.1994","0.2044","0.1971","0.2016"
"49","0.2184","0.1855","0.2039","0.2143","0.197"
"50","0.2153","0.2137","0.206","0.2272","0.2049"
"51","0.1924","0.1974","0.2099","0.2076","0.2026"
"52","0.2067","0.2048","0.1767","0.2045","0.2033"
"53","0.2236","0.2035","0.2183","0.2042","0.2002"
"54","0.1892","0.1985","0.209","0.2022","0.1997"
"55","0.2044","0.2052","0.2004","0.1998","0.1942"
"56","0.192","0.1941","0.1887","0.1756","0.1851"
"57","0.2007","0.1911","0.2159","0.1624","0.1992"
"58","0.2083","0.2018","0.2094","0.2083","0.2123"
"59","0.1877","0.1974","0.1974","0.2114","0.2007"
"60","0.2195","0.2002","0.2132","0.1702","0.1988"
"61","0.2768","0.2838","0.2866","0.2853","0.2771"
"62","0.2987","0.3","0.2952","0.3004","0.2853"
"63","0.3021","0.3061","0.3064","0.3088","0.2928"
"64","0.2974","0.3078","0.2833","0.3011","0.2978"
"65","0.3006","0.3016","0.3025","0.3116","0.3015"
"66","0.3087","0.3184","0.3111","0.315","0.2945"
"67","0.309","0.3173","0.3118","0.3124","0.3131"
"68","0.313","0.3234","0.31","0.3104","0.3011"
"69","0.3215","0.3235","0.3079","0.3158","0.3166"
"70","0.3212","0.318","0.3201","0.3163","0.3168"
"71","0.3176","0.312","0.323","0.3161","0.3245"
"72","0.3098","0.3213","0.3114","0.3131","0.316"
"73","0.328","0.3284","0.3212","0.3291","0.3167"
"74","0.3248","0.3301","0.3164","0.3111","0.3284"
"75","0.3236","0.3287","0.325","0.3278","0.3242"
"76","0.3343","0.3369","0.3147","0.3217","0.3301"
"77","0.3243","0.3327","0.3115","0.3305","0.3344"
