"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.0164","0.016","0.0214","0.0217","0.0285"
"2","0.0416","0.0309","0.0561","0.055","0.0518"
"3","0.0634","0.063","0.1199","0.109","0.1054"
"4","0.1275","0.1241","0.1231","0.1428","0.1722"
"5","0.1412","0.1791","0.226","0.1984","0.2252"
"6","0.2208","0.191","0.2253","0.2437","0.2519"
"7","0.2695","0.2419","0.2731","0.2861","0.2754"
"8","0.3026","0.2883","0.2981","0.2992","0.3266"
"9","0.3142","0.3342","0.3273","0.3075","0.3195"
"10","0.329","0.3724","0.3429","0.2831","0.3329"
"11","0.3419","0.3188","0.3728","0.3326","0.407"
"12","0.3619","0.3398","0.4074","0.3929","0.3378"
"13","0.4018","0.3664","0.4026","0.4221","0.4228"
"14","0.389","0.386","0.4438","0.4281","0.4359"
"15","0.4435","0.4422","0.4484","0.4326","0.4351"
"16","0.4237","0.4331","0.4154","0.4078","0.441"
"17","0.4343","0.4503","0.4303","0.4532","0.4443"
"18","0.4289","0.421","0.4776","0.4634","0.4563"
"19","0.4317","0.4371","0.461","0.4772","0.469"
"20","0.442","0.4667","0.4367","0.4481","0.4309"
"21","0.4607","0.4212","0.477","0.4791","0.4655"
"22","0.4429","0.4557","0.4875","0.4637","0.4674"
"23","0.4489","0.4514","0.4931","0.4692","0.4618"
"24","0.4811","0.4955","0.4996","0.4849","0.4753"
"25","0.4443","0.4603","0.4831","0.4912","0.4899"
"26","0.4758","0.4844","0.4638","0.4689","0.5037"
"27","0.4796","0.4709","0.443","0.4878","0.4795"
"28","0.4916","0.4679","0.4857","0.4887","0.4807"
"29","0.4884","0.5056","0.5073","0.5212","0.4752"
"30","0.4668","0.4999","0.4505","0.4492","0.4761"
"31","0.4907","0.4402","0.4619","0.4606","0.4777"
"32","0.4678","0.4539","0.4993","0.4616","0.4715"
"33","0.5157","0.495","0.4875","0.5149","0.4853"
"34","0.4766","0.5","0.4843","0.4993","0.5349"
"35","0.5064","0.4342","0.4963","0.4927","0.4962"
"36","0.4972","0.5131","0.4681","0.4491","0.5163"
"37","0.4658","0.4955","0.4796","0.4976","0.4888"
"38","0.45","0.4846","0.5103","0.4684","0.4712"
"39","0.495","0.5212","0.5081","0.4834","0.4827"
"40","0.4764","0.4866","0.4496","0.5038","0.4832"
"41","0.4957","0.4981","0.4824","0.4957","0.4924"
"42","0.4927","0.4809","0.5122","0.5083","0.4879"
"43","0.5044","0.4763","0.5241","0.5162","0.4464"
"44","0.482","0.4661","0.4987","0.4605","0.5079"
"45","0.5184","0.5034","0.4929","0.5216","0.5003"
"46","0.5214","0.5054","0.4966","0.4798","0.5013"
"47","0.524","0.5004","0.5186","0.5269","0.4862"
"48","0.5044","0.4669","0.508","0.4964","0.5297"
"49","0.4934","0.4317","0.5179","0.501","0.5111"
"50","0.5332","0.505","0.4723","0.4952","0.5097"
"51","0.4374","0.5023","0.5307","0.5228","0.4678"
"52","0.5135","0.5249","0.5535","0.4899","0.5024"
"53","0.4722","0.5053","0.5056","0.5108","0.4652"
"54","0.5028","0.5159","0.4897","0.5161","0.4892"
"55","0.5045","0.4949","0.5173","0.4983","0.53"
"56","0.4689","0.5108","0.5225","0.4503","0.5147"
"57","0.5126","0.4666","0.5216","0.5026","0.5151"
"58","0.5158","0.474","0.5099","0.5238","0.5078"
"59","0.4718","0.4642","0.4804","0.51","0.5057"
"60","0.5059","0.5231","0.5049","0.4822","0.4754"
"61","0.6465","0.6429","0.6544","0.6518","0.6579"
"62","0.6519","0.6465","0.6554","0.6556","0.6612"
"63","0.659","0.6565","0.6543","0.6473","0.6545"
"64","0.6621","0.6585","0.6564","0.6591","0.6568"
"65","0.6645","0.663","0.6569","0.6618","0.6628"
"66","0.6461","0.6632","0.6495","0.6436","0.6551"
"67","0.6491","0.6536","0.649","0.6563","0.6494"
"68","0.6465","0.6536","0.6513","0.6597","0.6603"
"69","0.6091","0.6259","0.652","0.6492","0.6478"
"70","0.6409","0.631","0.6452","0.6314","0.6469"
"71","0.6383","0.6364","0.6236","0.6339","0.6398"
"72","0.6365","0.6382","0.6434","0.6248","0.627"
"73","0.6446","0.6406","0.6368","0.6326","0.6426"
"74","0.6555","0.634","0.6244","0.6463","0.6462"
"75","0.6418","0.6491","0.6324","0.6281","0.6396"
"76","0.6175","0.6318","0.6288","0.625","0.6157"
"77","0.6294","0.6266","0.6355","0.6172","0.627"
"78","0.6223","0.6351","0.6354","0.6386","0.6343"
"79","0.6328","0.6369","0.6339","0.6371","0.6285"
"80","0.6377","0.6367","0.6426","0.6366","0.6052"
"81","0.633","0.6325","0.628","0.6236","0.6154"
"82","0.6308","0.6142","0.6331","0.6397","0.6249"
"83","0.6292","0.6257","0.6283","0.629","0.647"
"84","0.6344","0.624","0.6306","0.6268","0.6325"
"85","0.6371","0.638","0.6259","0.6328","0.6387"
"86","0.6156","0.6313","0.6052","0.6256","0.6357"
"87","0.6286","0.6366","0.6383","0.6252","0.6288"
"88","0.6378","0.621","0.623","0.6254","0.6301"
"89","0.6279","0.617","0.6303","0.6268","0.6312"
"90","0.6338","0.6438","0.6182","0.6371","0.6319"
"91","0.617","0.6393","0.6323","0.6238","0.5964"
"92","0.6025","0.6124","0.6214","0.6303","0.6317"
"93","0.6259","0.6185","0.616","0.6287","0.631"
"94","0.6336","0.6245","0.6207","0.6322","0.6256"
"95","0.6216","0.6291","0.6211","0.6281","0.6151"
"96","0.6232","0.617","0.6268","0.6287","0.621"
"97","0.6136","0.619","0.6288","0.6211","0.6424"
"98","0.6239","0.6376","0.6353","0.6274","0.6291"
"99","0.6209","0.6189","0.6206","0.6213","0.629"
"100","0.6304","0.64","0.6185","0.6125","0.6344"
"101","0.6285","0.6139","0.6246","0.62","0.6255"
"102","0.6234","0.6261","0.6214","0.6389","0.6257"
"103","0.6167","0.6197","0.6212","0.6232","0.6235"
"104","0.603","0.6183","0.6233","0.6347","0.6317"
"105","0.6227","0.6326","0.6199","0.6246","0.6316"
"106","0.6333","0.6273","0.6264","0.6274","0.6254"
"107","0.6154","0.6132","0.6194","0.6236","0.6051"
"108","0.6179","0.6206","0.6318","0.6322","0.623"
"109","0.6165","0.6182","0.6135","0.6282","0.6306"
"110","0.6231","0.6195","0.6196","0.6344","0.6171"
"111","0.6099","0.6236","0.5949","0.6087","0.6145"
"112","0.6333","0.5976","0.6337","0.6266","0.6244"
"113","0.634","0.6173","0.6019","0.62","0.6217"
"114","0.6167","0.6248","0.6362","0.6186","0.6217"
"115","0.6108","0.6288","0.6188","0.6245","0.6124"
"116","0.6182","0.6224","0.6172","0.6222","0.6139"
"117","0.6227","0.627","0.6253","0.6346","0.6317"
"118","0.6189","0.6217","0.6192","0.6343","0.6188"
"119","0.6219","0.6304","0.623","0.6029","0.627"
"120","0.6237","0.6135","0.6191","0.6386","0.6252"
"121","0.6838","0.6852","0.6827","0.6853","0.683"
"122","0.6889","0.6833","0.6846","0.6903","0.6858"
"123","0.6874","0.6861","0.6869","0.692","0.6881"
"124","0.6885","0.6918","0.6877","0.6931","0.6878"
"125","0.6902","0.6877","0.6874","0.6932","0.6909"
"126","0.6906","0.6888","0.6913","0.6879","0.6903"
"127","0.6911","0.6849","0.689","0.6894","0.6933"
"128","0.6943","0.6908","0.694","0.6903","0.6932"
"129","0.691","0.6907","0.6929","0.6917","0.6905"
"130","0.6936","0.6908","0.69","0.6925","0.69"
"131","0.6922","0.6909","0.6893","0.6917","0.6906"
"132","0.6895","0.6921","0.6912","0.6901","0.6914"
"133","0.6895","0.6904","0.6906","0.6901","0.6919"
"134","0.6907","0.6907","0.6931","0.693","0.6925"
"135","0.6956","0.6894","0.692","0.6912","0.6914"
"136","0.6914","0.6891","0.6901","0.693","0.6907"
"137","0.6906","0.6926","0.6913","0.6928","0.6893"
"138","0.6907","0.6919","0.6924","0.6908","0.6885"
"139","0.6949","0.6928","0.6872","0.6928","0.6864"
