"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.0149","0.0148","0.0135","0.0134","0.0139"
"2","0.0291","0.0202","0.0184","0.0192","0.0194"
"3","0.0448","0.0395","0.0378","0.0346","0.0386"
"4","0.0802","0.0807","0.064","0.0731","0.0751"
"5","0.1476","0.1226","0.1137","0.1221","0.1222"
"6","0.1772","0.1908","0.1548","0.1699","0.1791"
"7","0.209","0.2093","0.1905","0.2082","0.1736"
"8","0.2513","0.2661","0.2362","0.2381","0.2384"
"9","0.2983","0.2728","0.2872","0.2655","0.2864"
"10","0.3013","0.3115","0.3198","0.3357","0.3071"
"11","0.3287","0.3507","0.3505","0.3394","0.3623"
"12","0.3534","0.3862","0.3786","0.4015","0.3939"
"13","0.4126","0.3561","0.3561","0.405","0.3961"
"14","0.4075","0.4143","0.3756","0.3953","0.4094"
"15","0.3717","0.3768","0.3874","0.4054","0.4039"
"16","0.4211","0.4235","0.3616","0.4108","0.4381"
"17","0.4504","0.4226","0.4451","0.4385","0.4091"
"18","0.4419","0.4165","0.4116","0.4123","0.4336"
"19","0.4364","0.407","0.4387","0.4187","0.4265"
"20","0.4335","0.4358","0.4043","0.4184","0.4153"
"21","0.4787","0.4678","0.4661","0.4854","0.4864"
"22","0.4774","0.4593","0.4712","0.4783","0.4588"
"23","0.4781","0.4735","0.4377","0.4776","0.4718"
"24","0.4145","0.4238","0.4419","0.416","0.4465"
"25","0.4969","0.46","0.4795","0.5153","0.4585"
"26","0.4759","0.4849","0.4179","0.4057","0.4542"
"27","0.4954","0.4849","0.4945","0.4914","0.4639"
"28","0.4876","0.475","0.4882","0.4938","0.4852"
"29","0.4753","0.4942","0.4826","0.5077","0.4936"
"30","0.4587","0.472","0.469","0.4746","0.4503"
"31","0.4834","0.4708","0.4821","0.488","0.4851"
"32","0.463","0.4806","0.4795","0.4665","0.4773"
"33","0.4962","0.5001","0.5108","0.4987","0.52"
"34","0.4988","0.4984","0.5118","0.4789","0.5395"
"35","0.4624","0.4744","0.4823","0.485","0.4901"
"36","0.4959","0.4766","0.5049","0.5126","0.5057"
"37","0.4477","0.4513","0.5008","0.48","0.4754"
"38","0.4993","0.5006","0.4946","0.5109","0.4923"
"39","0.5274","0.4853","0.4584","0.5131","0.4914"
"40","0.5093","0.4943","0.5015","0.5068","0.4781"
"41","0.5013","0.5169","0.5291","0.5116","0.5336"
"42","0.5275","0.5061","0.469","0.5174","0.492"
"43","0.5189","0.5357","0.5159","0.5383","0.5312"
"44","0.4966","0.5231","0.5199","0.4836","0.5118"
"45","0.4892","0.5119","0.4946","0.5236","0.5163"
"46","0.5057","0.5023","0.4978","0.5285","0.5282"
"47","0.5062","0.5065","0.491","0.4921","0.4932"
"48","0.5186","0.5008","0.5266","0.4863","0.5329"
"49","0.4692","0.4589","0.4653","0.4762","0.5064"
"50","0.5043","0.5342","0.5217","0.525","0.5015"
"51","0.5216","0.5054","0.4829","0.4776","0.5169"
"52","0.5145","0.5266","0.4995","0.51","0.5079"
"53","0.4339","0.4887","0.509","0.5011","0.4747"
"54","0.5205","0.514","0.5329","0.5361","0.5134"
"55","0.5219","0.5148","0.534","0.4943","0.5257"
"56","0.5085","0.5035","0.4804","0.4754","0.4883"
"57","0.5122","0.519","0.5171","0.5158","0.5123"
"58","0.5066","0.4986","0.5076","0.5334","0.5073"
"59","0.4807","0.4736","0.4841","0.4815","0.4938"
"60","0.5238","0.5059","0.5244","0.51","0.4849"
"61","0.6405","0.6345","0.6374","0.6468","0.6483"
"62","0.6547","0.6345","0.6322","0.6471","0.6447"
"63","0.6627","0.6551","0.6491","0.6511","0.656"
"64","0.6483","0.6407","0.6556","0.6538","0.6561"
"65","0.6596","0.6475","0.6531","0.6533","0.6598"
"66","0.6781","0.665","0.6408","0.6684","0.6691"
"67","0.6555","0.6444","0.6479","0.6646","0.6342"
"68","0.6444","0.6524","0.6511","0.628","0.6493"
"69","0.6571","0.6532","0.6406","0.6293","0.6553"
"70","0.6422","0.6536","0.6518","0.6558","0.6391"
"71","0.641","0.6428","0.624","0.6231","0.635"
"72","0.6517","0.6519","0.6446","0.6563","0.6381"
"73","0.644","0.6579","0.6338","0.6397","0.6351"
"74","0.6446","0.6437","0.6258","0.6352","0.6431"
"75","0.6566","0.6527","0.6447","0.6412","0.6539"
"76","0.6361","0.6374","0.6306","0.6368","0.6279"
"77","0.6466","0.6452","0.6261","0.651","0.644"
"78","0.6243","0.6185","0.6167","0.6299","0.6354"
"79","0.6324","0.6477","0.6554","0.649","0.6463"
"80","0.6367","0.6352","0.6554","0.6388","0.6485"
"81","0.6374","0.6496","0.635","0.646","0.6536"
"82","0.6318","0.6351","0.6325","0.6302","0.6434"
"83","0.6513","0.625","0.6313","0.6352","0.643"
"84","0.643","0.6423","0.645","0.6332","0.6353"
"85","0.6287","0.6427","0.6369","0.6352","0.6316"
"86","0.648","0.6391","0.6506","0.6195","0.6214"
"87","0.6523","0.6504","0.6495","0.6491","0.6467"
"88","0.6292","0.6522","0.6408","0.6122","0.659"
"89","0.6306","0.6426","0.6358","0.6351","0.6425"
"90","0.6452","0.6213","0.6372","0.6385","0.6453"
"91","0.642","0.6401","0.6295","0.6443","0.6374"
"92","0.6235","0.6217","0.6223","0.6332","0.6453"
"93","0.6436","0.6568","0.622","0.6405","0.6246"
"94","0.6484","0.6504","0.6475","0.6216","0.6417"
"95","0.6248","0.6328","0.6413","0.6368","0.6376"
"96","0.6417","0.6415","0.6401","0.6495","0.6324"
"97","0.626","0.6373","0.6493","0.6218","0.6391"
"98","0.6467","0.6344","0.6484","0.6286","0.6444"
"99","0.6446","0.6359","0.64","0.6486","0.6477"
"100","0.6418","0.6414","0.636","0.6428","0.6343"
"101","0.6364","0.6226","0.6389","0.6509","0.6483"
"102","0.6446","0.6533","0.641","0.6487","0.6307"
"103","0.6416","0.6364","0.6036","0.639","0.6382"
"104","0.6418","0.6335","0.6378","0.6636","0.6306"
"105","0.637","0.6296","0.6253","0.6292","0.6477"
"106","0.6505","0.6482","0.6233","0.6364","0.631"
"107","0.6407","0.6303","0.645","0.6352","0.6481"
"108","0.6433","0.6444","0.6564","0.6518","0.6506"
"109","0.6459","0.637","0.632","0.6385","0.6252"
"110","0.6413","0.6567","0.6418","0.6493","0.6342"
"111","0.6411","0.6361","0.6336","0.6561","0.6345"
"112","0.647","0.6279","0.6373","0.6394","0.6578"
"113","0.6588","0.6615","0.666","0.6427","0.6427"
"114","0.6455","0.6459","0.6538","0.6254","0.6415"
"115","0.6492","0.6416","0.6349","0.6415","0.635"
"116","0.6412","0.6553","0.637","0.6551","0.632"
"117","0.635","0.6381","0.6347","0.6508","0.6366"
"118","0.6377","0.6302","0.6367","0.615","0.6433"
"119","0.6394","0.6362","0.6318","0.6286","0.6338"
"120","0.6262","0.6438","0.6554","0.6256","0.6422"
"121","0.7001","0.6899","0.7008","0.7005","0.6949"
"122","0.6991","0.697","0.7009","0.6986","0.6954"
"123","0.703","0.702","0.7021","0.7026","0.7012"
"124","0.7077","0.6918","0.7043","0.7051","0.6934"
"125","0.6977","0.6976","0.6997","0.7089","0.7066"
"126","0.7024","0.6958","0.6982","0.7014","0.6991"
"127","0.7018","0.6968","0.7069","0.7044","0.7039"
"128","0.7084","0.7156","0.7045","0.7065","0.7099"
"129","0.7068","0.7088","0.7022","0.7043","0.702"
"130","0.7072","0.7069","0.7021","0.7092","0.7115"
"131","0.7062","0.7033","0.709","0.7041","0.7074"
"132","0.6971","0.6981","0.693","0.7012","0.7122"
"133","0.7099","0.7112","0.6993","0.7041","0.7046"
"134","0.7042","0.7038","0.7077","0.6908","0.6998"
"135","0.7103","0.703","0.7047","0.703","0.7075"
"136","0.7076","0.7041","0.6941","0.7057","0.7036"
"137","0.7142","0.708","0.7036","0.6985","0.7005"
"138","0.7064","0.712","0.7029","0.7042","0.7049"
"139","0.7076","0.7127","0.703","0.7034","0.7069"
"140","0.7103","0.7018","0.7015","0.7101","0.704"
"141","0.7046","0.7028","0.701","0.7119","0.7133"
"142","0.6992","0.7082","0.7072","0.6995","0.7167"
"143","0.7122","0.7105","0.6994","0.7071","0.71"
"144","0.7101","0.6902","0.707","0.7049","0.7098"
"145","0.7081","0.695","0.7061","0.7084","0.7101"
"146","0.6951","0.7003","0.7036","0.7013","0.7044"
"147","0.7032","0.7097","0.6995","0.7043","0.7108"
"148","0.7014","0.702","0.6977","0.7062","0.7112"
"149","0.7117","0.6976","0.7021","0.711","0.7052"
"150","0.7094","0.7034","0.7078","0.7072","0.6936"
"151","0.7099","0.7039","0.713","0.7144","0.7093"
"152","0.7154","0.7054","0.7037","0.7073","0.6982"
"153","0.7073","0.7075","0.7035","0.7058","0.7065"
"154","0.7077","0.6987","0.7003","0.6981","0.7077"
"155","0.7057","0.696","0.7053","0.7026","0.7011"
"156","0.7046","0.6992","0.6949","0.6943","0.7023"
"157","0.7097","0.701","0.6958","0.7056","0.6895"
"158","0.7019","0.6985","0.7031","0.7025","0.7036"
"159","0.7097","0.7095","0.6978","0.7","0.7035"
