"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.5685","0.5888","0.5723","0.5909","0.5967"
"2","0.7276","0.737","0.6711","0.6511","0.7229"
"3","0.7359","0.7699","0.7965","0.7494","0.7799"
"4","0.7921","0.8037","0.806","0.7979","0.8017"
"5","0.776","0.7951","0.788","0.7829","0.795"
"6","0.8054","0.7427","0.8063","0.8085","0.7226"
"7","0.8205","0.8237","0.8217","0.8207","0.7763"
"8","0.7974","0.7847","0.7538","0.7992","0.7459"
"9","0.8063","0.8156","0.8123","0.7825","0.8169"
"10","0.7791","0.7644","0.7847","0.809","0.7948"
"11","0.7864","0.8148","0.7861","0.8027","0.777"
"12","0.8133","0.8346","0.8302","0.8167","0.808"
"13","0.8179","0.7516","0.7888","0.7949","0.7928"
"14","0.7934","0.8121","0.8311","0.8222","0.8228"
"15","0.8362","0.813","0.8173","0.7707","0.824"
"16","0.8123","0.8118","0.8309","0.8266","0.8221"
"17","0.8363","0.8352","0.8246","0.8205","0.8417"
"18","0.8285","0.8292","0.8082","0.8329","0.8389"
"19","0.7951","0.8228","0.8134","0.8255","0.8124"
"20","0.8039","0.7922","0.8419","0.8301","0.7775"
"21","0.807","0.8237","0.7481","0.8388","0.7985"
"22","0.8086","0.8092","0.8189","0.8115","0.8151"
"23","0.8468","0.8434","0.8167","0.8142","0.7975"
"24","0.8161","0.8033","0.8296","0.8302","0.8194"
"25","0.8188","0.7879","0.8375","0.8164","0.8194"
"26","0.8075","0.7989","0.7457","0.7987","0.8203"
"27","0.8134","0.7866","0.8029","0.8322","0.8236"
"28","0.8497","0.8497","0.8472","0.8181","0.8293"
"29","0.7724","0.8034","0.8055","0.7835","0.8054"
"30","0.8294","0.8248","0.7976","0.8488","0.8218"
"31","0.8348","0.8472","0.8364","0.8315","0.8413"
"32","0.7949","0.8119","0.8346","0.8147","0.7898"
"33","0.7908","0.8357","0.8266","0.8181","0.8105"
"34","0.8344","0.7738","0.803","0.8264","0.8329"
"35","0.826","0.8023","0.8148","0.8221","0.8285"
"36","0.8228","0.8309","0.8245","0.8086","0.8458"
"37","0.8153","0.8411","0.8309","0.8126","0.7974"
"38","0.8459","0.7888","0.8283","0.8118","0.8294"
"39","0.8339","0.84","0.8318","0.8391","0.7829"
"40","0.8394","0.8398","0.8232","0.8359","0.8358"
"41","0.8029","0.8365","0.8308","0.8353","0.8416"
"42","0.8551","0.8266","0.8191","0.8215","0.803"
"43","0.8344","0.7778","0.8268","0.8355","0.8085"
"44","0.8106","0.8284","0.8063","0.8468","0.8336"
"45","0.8441","0.8056","0.7987","0.8042","0.8084"
"46","0.8112","0.8323","0.8134","0.8421","0.8349"
"47","0.8397","0.7813","0.8205","0.8132","0.8418"
"48","0.824","0.8404","0.8461","0.8319","0.8452"
"49","0.8121","0.8189","0.7894","0.8154","0.8252"
"50","0.8131","0.8024","0.8389","0.8236","0.8494"
"51","0.8456","0.8345","0.8321","0.8313","0.821"
"52","0.8214","0.8305","0.8482","0.8359","0.7859"
"53","0.8394","0.8425","0.8127","0.8317","0.776"
"54","0.8305","0.8363","0.821","0.8155","0.7653"
"55","0.8309","0.7956","0.85","0.827","0.8104"
"56","0.8311","0.8337","0.8397","0.8135","0.8158"
"57","0.7947","0.8255","0.8217","0.8132","0.8099"
"58","0.7752","0.7876","0.8015","0.8408","0.8374"
"59","0.8367","0.8285","0.8163","0.8064","0.8071"
"60","0.7961","0.8381","0.8041","0.8426","0.8402"
"61","0.91","0.9111","0.9094","0.9082","0.9117"
"62","0.9082","0.9086","0.9092","0.9065","0.9084"
"63","0.9103","0.91","0.9089","0.9079","0.9119"
"64","0.9099","0.9081","0.909","0.9086","0.9111"
"65","0.908","0.9068","0.908","0.9075","0.909"
"66","0.9096","0.9112","0.9118","0.9063","0.9108"
"67","0.9066","0.9089","0.9094","0.9078","0.9066"
"68","0.9097","0.9112","0.9097","0.9074","0.9076"
"69","0.9023","0.911","0.911","0.9039","0.9094"
"70","0.8926","0.9109","0.8987","0.8974","0.9074"
"71","0.8853","0.9071","0.8807","0.8798","0.8792"
"72","0.8891","0.879","0.8833","0.8862","0.883"
"73","0.8752","0.8657","0.8837","0.8772","0.873"
"74","0.8818","0.8883","0.8878","0.8876","0.8801"
"75","0.8734","0.8862","0.8929","0.8775","0.8803"
"76","0.8844","0.8489","0.8868","0.8716","0.8824"
"77","0.8736","0.8869","0.8798","0.8858","0.8735"
"78","0.8869","0.8846","0.8736","0.8766","0.8726"
"79","0.8796","0.8722","0.8713","0.8777","0.8793"
"80","0.8804","0.8788","0.8725","0.8699","0.8752"
"81","0.8787","0.8585","0.8612","0.8761","0.8704"
"82","0.8758","0.8703","0.8645","0.8671","0.8759"
"83","0.8717","0.885","0.8843","0.873","0.8739"
"84","0.8678","0.8803","0.8781","0.8774","0.8751"
"85","0.879","0.8787","0.89","0.878","0.8811"
"86","0.8692","0.8757","0.8532","0.8756","0.8675"
"87","0.8714","0.8831","0.8761","0.8801","0.8622"
"88","0.8745","0.8767","0.8738","0.8721","0.8837"
"89","0.8703","0.8717","0.8836","0.8789","0.8767"
"90","0.8717","0.8738","0.8804","0.8744","0.8714"
"91","0.8586","0.874","0.8713","0.8681","0.8721"
"92","0.8769","0.8616","0.8633","0.8785","0.8741"
"93","0.8751","0.8768","0.8822","0.8758","0.8744"
"94","0.8685","0.8785","0.8825","0.851","0.8706"
"95","0.8767","0.8716","0.8652","0.8688","0.8809"
"96","0.8781","0.8847","0.8892","0.882","0.8715"
"97","0.8773","0.8817","0.8801","0.8512","0.8775"
"98","0.8731","0.8896","0.8805","0.8738","0.8675"
"99","0.8738","0.8734","0.8814","0.8619","0.8786"
"100","0.8719","0.8834","0.8693","0.8764","0.8811"
"101","0.8827","0.883","0.8707","0.8773","0.8722"
"102","0.8721","0.8796","0.8629","0.8656","0.8707"
"103","0.8782","0.883","0.8743","0.8882","0.8745"
"104","0.8783","0.8714","0.8833","0.8868","0.8774"
"105","0.8657","0.8717","0.8717","0.8672","0.8689"
"106","0.8826","0.8832","0.8794","0.8789","0.8696"
"107","0.8769","0.8637","0.8751","0.8738","0.8668"
"108","0.8762","0.8806","0.8715","0.8693","0.8755"
"109","0.8652","0.8842","0.8881","0.8825","0.8761"
"110","0.8812","0.883","0.8695","0.8732","0.8781"
"111","0.8665","0.8771","0.879","0.88","0.873"
"112","0.8772","0.8682","0.8783","0.8764","0.8704"
"113","0.863","0.8805","0.8806","0.8802","0.8671"
"114","0.8784","0.8821","0.8625","0.8871","0.873"
"115","0.8696","0.8637","0.8769","0.8799","0.8821"
"116","0.8784","0.8644","0.8762","0.8784","0.8754"
"117","0.8634","0.864","0.8724","0.8531","0.8643"
"118","0.8816","0.8644","0.8825","0.8626","0.8799"
"119","0.8871","0.8726","0.8719","0.8601","0.8741"
"120","0.8811","0.884","0.86","0.8699","0.8716"
"121","0.9079","0.9093","0.9102","0.9083","0.9076"
"122","0.9124","0.9106","0.9134","0.9089","0.9109"
"123","0.9103","0.9129","0.913","0.9096","0.9122"
"124","0.9116","0.9119","0.9131","0.9099","0.9112"
"125","0.9124","0.912","0.9136","0.9101","0.9129"
"126","0.9124","0.9119","0.9139","0.9115","0.9113"
"127","0.9128","0.912","0.9133","0.9104","0.9125"
"128","0.9129","0.9121","0.9137","0.911","0.9123"
"129","0.9124","0.9127","0.9149","0.9101","0.9108"
"130","0.9121","0.913","0.9138","0.9114","0.9118"
"131","0.9117","0.9137","0.9144","0.911","0.9137"
"132","0.9125","0.9136","0.9146","0.9101","0.9131"
"133","0.9127","0.9138","0.9155","0.9105","0.9135"
"134","0.9131","0.9137","0.9141","0.9111","0.9135"
"135","0.913","0.9146","0.9152","0.9114","0.9125"
"136","0.912","0.9142","0.915","0.911","0.9131"
"137","0.9122","0.9139","0.9151","0.9118","0.9118"
"138","0.9114","0.9142","0.9154","0.9101","0.9122"
"139","0.9132","0.9132","0.9154","0.9111","0.9134"
"140","0.9117","0.9149","0.9153","0.9119","0.9134"
"141","0.9121","0.9162","0.9143","0.9122","0.9127"
"142","0.9115","0.9144","0.915","0.9113","0.914"
"143","0.9124","0.9151","0.9138","0.9119","0.9135"
"144","0.9128","0.9154","0.9143","0.911","0.9122"
"145","0.9121","0.9163","0.9151","0.9106","0.9137"
"146","0.9135","0.9144","0.9143","0.9103","0.9129"
"147","0.9122","0.9163","0.9141","0.9114","0.9132"
"148","0.9126","0.9143","0.916","0.9107","0.9133"
"149","0.9117","0.9154","0.9141","0.9114","0.9133"
"150","0.9136","0.9148","0.9146","0.9109","0.9139"
"151","0.9127","0.9159","0.9145","0.9109","0.9129"
"152","0.9124","0.9152","0.9149","0.9111","0.9135"
"153","0.9127","0.9135","0.9143","0.9108","0.9131"
"154","0.9116","0.9138","0.9152","0.9115","0.913"
"155","0.9116","0.9138","0.9149","0.9116","0.9134"
"156","0.9116","0.9132","0.9152","0.9104","0.9135"
"157","0.9132","0.9144","0.9149","0.9112","0.9138"
"158","0.9114","0.9137","0.9153","0.9113","0.9143"
"159","0.9115","0.9151","0.9142","0.9112","0.9132"
"160","0.9105","0.9145","0.9154","0.9105","0.9142"
"161","0.9111","0.9135","0.9149","0.9106","0.914"
"162","0.9121","0.9142","0.9136","0.9104","0.9142"
"163","0.9104","0.9133","0.915","0.9116","0.9128"
"164","0.9117","0.9153","0.9145","0.9113","0.9139"
"165","0.9115","0.9133","0.9136","0.9103","0.9117"
"166","0.9114","0.9136","0.9148","0.9115","0.9145"
"167","0.9118","0.9146","0.9144","0.9107","0.9129"
"168","0.9112","0.9136","0.9155","0.9103","0.9128"
"169","0.9109","0.9132","0.9139","0.9116","0.9118"
"170","0.911","0.9141","0.9153","0.911","0.9143"
"171","0.9117","0.9139","0.9148","0.9102","0.9127"
"172","0.9114","0.9147","0.9156","0.9113","0.9143"
"173","0.9127","0.9141","0.9151","0.9112","0.9133"
"174","0.9115","0.9154","0.9147","0.9111","0.9138"
"175","0.9111","0.9131","0.9152","0.9114","0.9131"
"176","0.9103","0.9141","0.9144","0.9105","0.9134"
"177","0.9115","0.9134","0.9145","0.9112","0.9135"
"178","0.9116","0.9131","0.9143","0.9105","0.9131"
"179","0.9109","0.9153","0.9149","0.9104","0.9131"
"180","0.9117","0.9143","0.9152","0.911","0.9141"
"181","0.9122","0.9152","0.9141","0.9107","0.9146"
"182","0.9119","0.9149","0.9144","0.9102","0.9137"
"183","0.9104","0.9135","0.9151","0.9112","0.9131"
"184","0.9109","0.9146","0.9137","0.9104","0.9137"
"185","0.911","0.915","0.9151","0.9106","0.9134"
"186","0.9116","0.9147","0.9151","0.911","0.9134"
"187","0.911","0.9134","0.9137","0.9113","0.9124"
"188","0.9113","0.9151","0.9137","0.9112","0.913"
"189","0.9102","0.9136","0.9139","0.911","0.9119"
"190","0.9121","0.9134","0.9149","0.9106","0.9132"
"191","0.9116","0.9147","0.9145","0.9105","0.9138"
"192","0.9119","0.9142","0.9145","0.9104","0.912"
"193","0.9123","0.913","0.9146","0.9104","0.9137"
"194","0.9127","0.9147","0.9135","0.9098","0.9136"
"195","0.9113","0.9144","0.9132","0.9121","0.9121"
"196","0.912","0.9138","0.9141","0.911","0.9136"
"197","0.9126","0.9133","0.9129","0.911","0.9125"
"198","0.9112","0.9146","0.9136","0.9104","0.9136"
"199","0.9111","0.915","0.914","0.9113","0.9131"
"200","0.9114","0.9143","0.9128","0.9106","0.9125"
