"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.4764","0.5633","0.4869","0.4617","0.5245"
"2","0.6225","0.5759","0.6175","0.5846","0.5009"
"3","0.6746","0.675","0.6633","0.7007","0.7276"
"4","0.6858","0.6795","0.7383","0.7223","0.7153"
"5","0.703","0.7538","0.6619","0.7348","0.7371"
"6","0.7599","0.7773","0.729","0.782","0.7341"
"7","0.7986","0.7827","0.7763","0.7584","0.7481"
"8","0.7708","0.7138","0.729","0.765","0.7499"
"9","0.8007","0.7781","0.765","0.7905","0.7571"
"10","0.7828","0.7729","0.7163","0.7887","0.8002"
"11","0.8132","0.8118","0.7628","0.7829","0.7994"
"12","0.7563","0.8156","0.7947","0.7866","0.7587"
"13","0.7578","0.7565","0.7545","0.7797","0.7848"
"14","0.7963","0.809","0.8066","0.7937","0.7949"
"15","0.7984","0.7986","0.7851","0.7496","0.77"
"16","0.796","0.7903","0.7886","0.7685","0.8023"
"17","0.7279","0.7207","0.7511","0.7551","0.7889"
"18","0.8065","0.7859","0.7977","0.8198","0.7538"
"19","0.8306","0.7742","0.8145","0.8181","0.7694"
"20","0.8068","0.784","0.7987","0.8349","0.8101"
"21","0.8248","0.7737","0.7992","0.8258","0.8249"
"22","0.7984","0.809","0.8076","0.8338","0.762"
"23","0.8282","0.8159","0.8357","0.8056","0.7657"
"24","0.7808","0.7661","0.8117","0.8268","0.803"
"25","0.7936","0.8169","0.8276","0.8358","0.8403"
"26","0.8187","0.8094","0.7963","0.7899","0.7927"
"27","0.7987","0.7994","0.7868","0.672","0.7038"
"28","0.7632","0.8214","0.8004","0.8209","0.8164"
"29","0.8058","0.8488","0.8286","0.8385","0.8118"
"30","0.8059","0.7487","0.816","0.8121","0.7471"
"31","0.8234","0.7952","0.8204","0.7716","0.8003"
"32","0.7255","0.7982","0.7554","0.7715","0.7874"
"33","0.7589","0.7986","0.8425","0.7494","0.8065"
"34","0.8054","0.8175","0.8265","0.7437","0.8212"
"35","0.8288","0.8325","0.8056","0.8083","0.8223"
"36","0.8012","0.8313","0.8002","0.7917","0.7401"
"37","0.7856","0.7829","0.7706","0.7977","0.8269"
"38","0.8492","0.7851","0.7928","0.8098","0.795"
"39","0.7558","0.8015","0.8183","0.7985","0.8216"
"40","0.7828","0.8166","0.8155","0.8373","0.797"
"41","0.7916","0.8063","0.8076","0.8014","0.8266"
"42","0.7928","0.7682","0.8316","0.7709","0.7916"
"43","0.8213","0.7944","0.8373","0.835","0.8422"
"44","0.7926","0.8202","0.8259","0.8096","0.836"
"45","0.8169","0.8445","0.826","0.7632","0.8452"
"46","0.8153","0.7739","0.8176","0.8143","0.7914"
"47","0.8205","0.8204","0.8235","0.8326","0.8066"
"48","0.823","0.7731","0.8244","0.8256","0.7652"
"49","0.7566","0.8427","0.8122","0.7839","0.8108"
"50","0.8433","0.8184","0.7525","0.8228","0.8429"
"51","0.7744","0.8213","0.8356","0.8245","0.8252"
"52","0.8107","0.8023","0.8165","0.8134","0.8231"
"53","0.8128","0.8374","0.7806","0.8093","0.7991"
"54","0.8204","0.7346","0.8157","0.8254","0.805"
"55","0.7767","0.8375","0.8321","0.8296","0.8101"
"56","0.7901","0.8264","0.837","0.8043","0.8484"
"57","0.7911","0.828","0.8023","0.7577","0.8329"
"58","0.7972","0.775","0.8137","0.8356","0.8164"
"59","0.8111","0.8151","0.8041","0.8394","0.824"
"60","0.791","0.804","0.7484","0.8013","0.8253"
"61","0.9097","0.91","0.9158","0.9143","0.9123"
"62","0.9168","0.9093","0.917","0.9159","0.917"
"63","0.9217","0.9177","0.9145","0.9133","0.9199"
"64","0.9187","0.9157","0.9176","0.9148","0.9197"
"65","0.9136","0.9183","0.9181","0.9131","0.9178"
"66","0.916","0.9159","0.9192","0.9212","0.9129"
"67","0.9197","0.9239","0.9188","0.9014","0.912"
"68","0.9098","0.9197","0.9122","0.9124","0.9192"
"69","0.9114","0.9069","0.9089","0.9141","0.9107"
"70","0.9118","0.9188","0.9116","0.9095","0.9133"
"71","0.91","0.919","0.9064","0.9036","0.9139"
"72","0.9196","0.9131","0.9133","0.9105","0.9112"
"73","0.9102","0.9069","0.9013","0.9072","0.8932"
"74","0.9028","0.9063","0.9076","0.9106","0.9168"
"75","0.9059","0.9059","0.9072","0.9101","0.9132"
"76","0.9103","0.9044","0.9051","0.9003","0.9015"
"77","0.9029","0.9009","0.9092","0.9043","0.9139"
"78","0.9042","0.9103","0.9092","0.9157","0.9148"
