"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.3526","0.3796","0.3583","0.2904","0.3198"
"2","0.4393","0.4546","0.3111","0.3124","0.4391"
"3","0.4414","0.4524","0.4379","0.3877","0.458"
"4","0.473","0.4551","0.4517","0.402","0.4643"
"5","0.431","0.4596","0.4241","0.3663","0.4422"
"6","0.4912","0.5058","0.474","0.4431","0.4265"
"7","0.5026","0.5151","0.4588","0.4548","0.497"
"8","0.4872","0.4867","0.443","0.4649","0.4874"
"9","0.4877","0.4781","0.4821","0.4447","0.4412"
"10","0.487","0.4254","0.3773","0.495","0.5113"
"11","0.5106","0.5121","0.4674","0.4817","0.4258"
"12","0.4681","0.5113","0.484","0.5067","0.5206"
"13","0.4767","0.5081","0.5013","0.5126","0.4885"
"14","0.5116","0.5274","0.359","0.5136","0.4823"
"15","0.5353","0.5088","0.4943","0.5176","0.5137"
"16","0.5239","0.535","0.4845","0.4766","0.4846"
"17","0.5041","0.4935","0.4474","0.5123","0.4954"
"18","0.5128","0.4986","0.4962","0.4775","0.5051"
"19","0.5223","0.5049","0.4843","0.4903","0.4502"
"20","0.4909","0.5221","0.4785","0.5095","0.4952"
"21","0.5184","0.542","0.5008","0.5109","0.5255"
"22","0.5212","0.5076","0.5202","0.5279","0.5184"
"23","0.5208","0.5035","0.5108","0.4999","0.4887"
"24","0.5454","0.4968","0.4982","0.497","0.5082"
"25","0.4407","0.5256","0.4892","0.489","0.494"
"26","0.5263","0.526","0.5168","0.5248","0.5238"
"27","0.5237","0.5192","0.5148","0.5096","0.5103"
"28","0.5151","0.53","0.5059","0.5049","0.5124"
"29","0.5194","0.5086","0.5079","0.507","0.3937"
"30","0.5374","0.5316","0.494","0.5022","0.4933"
"31","0.5199","0.5387","0.5118","0.511","0.4866"
"32","0.5424","0.4889","0.5018","0.5038","0.4963"
"33","0.481","0.5557","0.4912","0.5221","0.495"
"34","0.5251","0.5274","0.5106","0.4907","0.5086"
"35","0.5146","0.5309","0.5167","0.5069","0.5178"
"36","0.5235","0.5481","0.4631","0.5175","0.5147"
"37","0.5289","0.5349","0.4882","0.5314","0.5216"
"38","0.5279","0.5445","0.5386","0.5238","0.5302"
"39","0.5514","0.5301","0.5349","0.5269","0.515"
"40","0.5191","0.4975","0.4877","0.5316","0.5105"
"41","0.5515","0.5295","0.5143","0.5281","0.4966"
"42","0.5207","0.5222","0.5153","0.4838","0.4367"
"43","0.5365","0.5384","0.5244","0.506","0.5221"
"44","0.5292","0.5328","0.5403","0.5492","0.5366"
"45","0.5206","0.5382","0.5175","0.4876","0.5232"
"46","0.5536","0.5192","0.5497","0.5156","0.5227"
"47","0.4993","0.5137","0.5403","0.4911","0.4767"
"48","0.5464","0.5444","0.5117","0.5303","0.522"
"49","0.5198","0.5236","0.5309","0.448","0.5012"
"50","0.5285","0.5362","0.5443","0.5202","0.4845"
"51","0.5339","0.5494","0.4777","0.5163","0.5002"
"52","0.5251","0.527","0.5362","0.5238","0.5207"
"53","0.5459","0.5232","0.5264","0.4965","0.4851"
"54","0.509","0.5303","0.5023","0.5076","0.5091"
"55","0.5112","0.5281","0.5327","0.5137","0.5203"
"56","0.5219","0.5268","0.5311","0.4755","0.4836"
"57","0.5591","0.5303","0.537","0.48","0.5339"
"58","0.5307","0.5443","0.5332","0.5321","0.5186"
"59","0.5071","0.5493","0.5048","0.5306","0.4886"
"60","0.5488","0.5256","0.5332","0.5313","0.5409"
"61","0.6335","0.6314","0.6315","0.6057","0.6186"
"62","0.6355","0.6545","0.6533","0.6068","0.6196"
"63","0.6474","0.6539","0.6441","0.6239","0.6275"
"64","0.6561","0.6582","0.6595","0.6288","0.635"
"65","0.6523","0.6576","0.6681","0.6232","0.6378"
"66","0.6697","0.668","0.667","0.6411","0.6515"
"67","0.6597","0.6728","0.6668","0.6413","0.6307"
"68","0.6677","0.6766","0.6683","0.6515","0.6386"
"69","0.6678","0.6783","0.6653","0.6484","0.6562"
"70","0.6687","0.6655","0.67","0.6259","0.655"
"71","0.6686","0.6764","0.6816","0.6316","0.6667"
"72","0.6674","0.6662","0.6559","0.6422","0.645"
