"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.3842","0.4325","0.4225","0.4086","0.4287"
"2","0.4783","0.5242","0.5227","0.5409","0.5304"
"3","0.5493","0.6365","0.5199","0.6365","0.6101"
"4","0.5908","0.6361","0.6133","0.6569","0.646"
"5","0.6578","0.6894","0.6858","0.7231","0.6771"
"6","0.7141","0.749","0.7608","0.7331","0.6915"
"7","0.7416","0.7717","0.7573","0.756","0.7114"
"8","0.7527","0.7533","0.7398","0.7935","0.7769"
"9","0.7797","0.7816","0.7723","0.8081","0.7816"
"10","0.7794","0.8116","0.7992","0.7491","0.8009"
"11","0.7429","0.7673","0.7675","0.7805","0.7489"
"12","0.8034","0.7884","0.8139","0.7867","0.7873"
"13","0.7884","0.8211","0.8321","0.8125","0.7911"
"14","0.8329","0.8237","0.8363","0.82","0.8183"
"15","0.7912","0.7875","0.7792","0.7337","0.7919"
"16","0.7953","0.844","0.821","0.8381","0.8295"
"17","0.8104","0.8066","0.8027","0.8312","0.8201"
"18","0.8189","0.8208","0.8132","0.8211","0.7626"
"19","0.8144","0.8336","0.8448","0.8342","0.8009"
"20","0.8321","0.8372","0.8442","0.8293","0.833"
"21","0.7529","0.7783","0.7782","0.7925","0.8208"
"22","0.8358","0.8198","0.8441","0.8338","0.8465"
"23","0.822","0.8416","0.7708","0.8144","0.847"
"24","0.833","0.8169","0.8313","0.8242","0.843"
"25","0.8176","0.8352","0.8484","0.8355","0.8041"
"26","0.8179","0.7947","0.8152","0.8125","0.8188"
"27","0.8371","0.8149","0.8229","0.8318","0.831"
"28","0.8044","0.8252","0.7986","0.8463","0.8167"
"29","0.8329","0.8195","0.8234","0.754","0.8451"
"30","0.8017","0.7648","0.8381","0.8081","0.788"
"31","0.8236","0.8407","0.8327","0.8399","0.8309"
"32","0.8459","0.8239","0.833","0.8625","0.8076"
"33","0.8397","0.8211","0.8533","0.8425","0.8279"
"34","0.8333","0.8352","0.8128","0.8059","0.836"
"35","0.8331","0.8504","0.8383","0.7835","0.8631"
"36","0.8069","0.8648","0.8327","0.8526","0.8314"
"37","0.8189","0.7938","0.8598","0.7835","0.7825"
"38","0.7942","0.8105","0.8511","0.8409","0.827"
"39","0.8218","0.8407","0.8443","0.844","0.7878"
"40","0.8242","0.8507","0.8298","0.8302","0.8456"
"41","0.8506","0.8567","0.8425","0.8455","0.8604"
"42","0.8359","0.8454","0.8422","0.822","0.8449"
"43","0.8308","0.8167","0.8285","0.8443","0.7994"
"44","0.8611","0.8397","0.858","0.8558","0.8185"
"45","0.8541","0.8632","0.8601","0.8376","0.8494"
"46","0.8325","0.8566","0.8508","0.7881","0.8467"
"47","0.8457","0.819","0.851","0.8436","0.7857"
"48","0.8518","0.8683","0.8698","0.8472","0.8408"
"49","0.7987","0.8169","0.8145","0.8421","0.8618"
"50","0.8197","0.8299","0.8043","0.8245","0.8137"
"51","0.8323","0.8384","0.8603","0.8063","0.8644"
"52","0.814","0.8232","0.8207","0.8555","0.8383"
"53","0.8616","0.8033","0.839","0.8247","0.8535"
"54","0.8538","0.8515","0.8473","0.8503","0.8358"
"55","0.8267","0.8526","0.8298","0.8535","0.8409"
"56","0.855","0.8477","0.8474","0.8568","0.8189"
"57","0.8486","0.8293","0.8399","0.8061","0.8191"
"58","0.8032","0.863","0.8612","0.8589","0.8564"
"59","0.8591","0.8712","0.8479","0.8485","0.8205"
"60","0.8478","0.8211","0.8024","0.847","0.8508"
"61","0.9207","0.9251","0.9262","0.9229","0.926"
"62","0.9202","0.9285","0.926","0.9227","0.9277"
"63","0.9285","0.9295","0.928","0.9275","0.9306"
"64","0.921","0.9251","0.9232","0.9232","0.9232"
"65","0.9208","0.9284","0.9285","0.9271","0.9266"
"66","0.9219","0.9239","0.92","0.9309","0.9253"
"67","0.9217","0.9264","0.9257","0.9185","0.9232"
"68","0.9211","0.9253","0.9236","0.9255","0.9242"
"69","0.9197","0.9221","0.9189","0.9303","0.925"
"70","0.9111","0.9179","0.9176","0.9185","0.9199"
"71","0.9086","0.9131","0.9211","0.9166","0.9204"
"72","0.9076","0.9152","0.915","0.9186","0.9091"
"73","0.906","0.9135","0.9117","0.9118","0.918"
"74","0.9144","0.9206","0.9009","0.9113","0.9098"
"75","0.9115","0.9164","0.9151","0.9116","0.917"
"76","0.9028","0.9135","0.9124","0.9084","0.9198"
"77","0.9048","0.9122","0.917","0.9075","0.9172"
"78","0.9066","0.9067","0.9184","0.9004","0.9072"
"79","0.9146","0.9076","0.9151","0.9089","0.9133"
"80","0.9145","0.9127","0.9055","0.9193","0.9111"
"81","0.907","0.9026","0.9128","0.9106","0.9152"
"82","0.9116","0.9032","0.9022","0.9061","0.9169"
"83","0.9016","0.907","0.9105","0.9167","0.915"
"84","0.894","0.9037","0.9096","0.9152","0.9147"
"85","0.9104","0.9173","0.9164","0.9065","0.9144"
"86","0.9109","0.9178","0.9044","0.9141","0.9021"
"87","0.9123","0.9118","0.9128","0.911","0.9177"
"88","0.912","0.9104","0.9192","0.9014","0.9229"
"89","0.9102","0.8912","0.9039","0.9133","0.9071"
"90","0.9114","0.9171","0.9073","0.9115","0.9161"
"91","0.8996","0.9027","0.9129","0.9132","0.9104"
"92","0.9081","0.9104","0.9126","0.9157","0.8977"
"93","0.9082","0.9089","0.9089","0.9081","0.9091"
"94","0.9124","0.9097","0.9026","0.9159","0.9135"
"95","0.9183","0.9094","0.9109","0.9133","0.9117"
"96","0.9037","0.9056","0.9103","0.9034","0.9164"
"97","0.907","0.908","0.9025","0.9052","0.9165"
"98","0.9072","0.8944","0.9143","0.9031","0.9121"
"99","0.9121","0.9122","0.9088","0.9114","0.911"
"100","0.9088","0.9062","0.914","0.9037","0.9115"
"101","0.9061","0.91","0.9122","0.9087","0.8966"
"102","0.9131","0.9154","0.9173","0.9004","0.9054"
"103","0.8927","0.9135","0.9107","0.9111","0.9063"
"104","0.8922","0.91","0.9096","0.9168","0.9004"
"105","0.9136","0.9114","0.9118","0.9135","0.9133"
"106","0.913","0.9119","0.9091","0.913","0.9157"
"107","0.9051","0.9185","0.9152","0.9044","0.9156"
"108","0.9182","0.9078","0.9035","0.9074","0.9076"
"109","0.913","0.916","0.9148","0.9206","0.9101"
"110","0.912","0.9048","0.919","0.9147","0.9158"
"111","0.9049","0.9066","0.9006","0.9072","0.9108"
"112","0.9076","0.9109","0.9102","0.9039","0.9131"
"113","0.9087","0.9136","0.9166","0.915","0.9109"
"114","0.911","0.906","0.9133","0.9156","0.9086"
"115","0.9083","0.8895","0.9216","0.913","0.9152"
"116","0.9117","0.9135","0.9001","0.9066","0.9018"
"117","0.9081","0.9146","0.9198","0.9141","0.9138"
"118","0.9127","0.9154","0.9188","0.9141","0.911"
"119","0.9099","0.9077","0.9025","0.9083","0.9116"
"120","0.9118","0.915","0.9139","0.9173","0.9091"
"121","0.9407","0.9408","0.9397","0.9412","0.9419"
"122","0.9424","0.9411","0.9402","0.9421","0.9427"
"123","0.944","0.944","0.9403","0.9436","0.9428"
"124","0.9447","0.9446","0.9424","0.9443","0.9462"
"125","0.9448","0.9434","0.9436","0.9454","0.9466"
"126","0.9461","0.9435","0.9449","0.9455","0.9473"
"127","0.9468","0.9446","0.9463","0.9461","0.9458"
"128","0.9453","0.9446","0.947","0.9456","0.9456"
"129","0.9464","0.9431","0.9472","0.9459","0.9485"
"130","0.9479","0.9456","0.9471","0.946","0.9476"
"131","0.9479","0.9462","0.9467","0.9469","0.9469"
"132","0.9481","0.9446","0.9475","0.9481","0.9476"
"133","0.9464","0.9458","0.9477","0.9463","0.9472"
"134","0.9481","0.946","0.9486","0.9465","0.9483"
"135","0.949","0.9462","0.9471","0.9474","0.9476"
"136","0.9487","0.9453","0.9483","0.9466","0.9489"
"137","0.9493","0.9464","0.9477","0.9466","0.9489"
"138","0.9502","0.9459","0.9475","0.9462","0.9474"
"139","0.9493","0.9477","0.9487","0.9477","0.9483"
"140","0.9494","0.9486","0.9492","0.9463","0.9484"
"141","0.9491","0.9475","0.9478","0.9467","0.9494"
"142","0.9497","0.9482","0.9487","0.9463","0.9485"
"143","0.9501","0.9465","0.9479","0.9479","0.9497"
"144","0.9475","0.9463","0.9481","0.9474","0.95"
"145","0.9499","0.9456","0.9479","0.9474","0.9501"
"146","0.9485","0.9461","0.9494","0.9481","0.9505"
"147","0.95","0.9466","0.9484","0.9478","0.9494"
"148","0.9486","0.9469","0.9487","0.9466","0.9488"
"149","0.9489","0.9476","0.9491","0.9461","0.9493"
"150","0.9467","0.948","0.9487","0.9482","0.9496"
"151","0.9489","0.9478","0.949","0.9474","0.9479"
"152","0.9486","0.9468","0.9486","0.9468","0.9491"
"153","0.949","0.9467","0.9498","0.9471","0.9483"
"154","0.9479","0.9481","0.9488","0.9486","0.9483"
"155","0.9483","0.9471","0.9492","0.9476","0.95"
"156","0.948","0.9459","0.9483","0.9468","0.949"
"157","0.9485","0.9466","0.9501","0.945","0.9495"
"158","0.9466","0.9464","0.9495","0.9494","0.9476"
"159","0.9494","0.9473","0.9491","0.9488","0.949"
"160","0.949","0.9463","0.9472","0.95","0.9491"
"161","0.9499","0.9478","0.9499","0.95","0.9493"
"162","0.9496","0.9482","0.9502","0.9506","0.9488"
"163","0.9506","0.9483","0.9499","0.95","0.95"
"164","0.9503","0.9483","0.9494","0.9498","0.9492"
"165","0.9502","0.9474","0.9488","0.9492","0.9501"
"166","0.9495","0.9482","0.9493","0.9496","0.9504"
"167","0.9495","0.9482","0.9488","0.9487","0.9498"
"168","0.9502","0.9493","0.9494","0.9502","0.9507"
