"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.4998","0.4859","0.4771","0.4889","0.4967"
"2","0.5731","0.5987","0.6067","0.5945","0.5698"
"3","0.6478","0.6617","0.673","0.6698","0.6441"
"4","0.7275","0.7379","0.6922","0.6662","0.7312"
"5","0.7575","0.7718","0.7434","0.7221","0.764"
"6","0.7659","0.789","0.7508","0.781","0.792"
"7","0.773","0.7988","0.7659","0.7852","0.7847"
"8","0.7522","0.7381","0.7425","0.789","0.7836"
"9","0.7679","0.8109","0.791","0.7904","0.8128"
"10","0.7736","0.7987","0.7827","0.758","0.7697"
"11","0.8041","0.811","0.7815","0.7908","0.746"
"12","0.8086","0.7923","0.7881","0.8033","0.7861"
"13","0.7724","0.8001","0.7752","0.7865","0.7775"
"14","0.8033","0.8059","0.8015","0.7844","0.8062"
"15","0.7975","0.8074","0.7726","0.8","0.796"
"16","0.7998","0.7979","0.7725","0.8101","0.7849"
"17","0.7931","0.7311","0.76","0.7444","0.7982"
"18","0.7935","0.8048","0.7869","0.7856","0.7908"
"19","0.813","0.8095","0.7976","0.8042","0.7904"
"20","0.7841","0.7867","0.7911","0.8123","0.7921"
"21","0.7921","0.791","0.7914","0.798","0.7754"
"22","0.7975","0.8108","0.7661","0.7862","0.8089"
"23","0.7966","0.7614","0.7555","0.7866","0.8081"
"24","0.8087","0.813","0.8019","0.7953","0.7837"
"25","0.7909","0.7615","0.78","0.7596","0.8038"
"26","0.8021","0.7965","0.8071","0.7965","0.8007"
"27","0.7846","0.7947","0.795","0.7954","0.7959"
"28","0.7646","0.8189","0.7931","0.7943","0.7862"
"29","0.7825","0.8097","0.8024","0.7898","0.8132"
"30","0.807","0.7996","0.7927","0.7972","0.8026"
"31","0.7759","0.7834","0.7772","0.8118","0.7498"
"32","0.8047","0.8131","0.7935","0.7904","0.7801"
"33","0.8071","0.7992","0.7902","0.8167","0.8047"
"34","0.813","0.8044","0.8072","0.7953","0.7754"
"35","0.8076","0.8057","0.808","0.8058","0.7664"
"36","0.8069","0.8123","0.785","0.7678","0.8027"
"37","0.8021","0.7847","0.8051","0.8033","0.7903"
"38","0.8062","0.7908","0.7946","0.7249","0.7778"
"39","0.7995","0.8117","0.8009","0.7925","0.8095"
"40","0.7743","0.7788","0.7587","0.7819","0.7704"
"41","0.8084","0.8138","0.7809","0.809","0.7878"
"42","0.8093","0.7698","0.7998","0.8194","0.809"
"43","0.8218","0.8155","0.8033","0.806","0.8034"
"44","0.7454","0.8219","0.784","0.8087","0.7847"
"45","0.7982","0.8088","0.8053","0.8115","0.8227"
"46","0.7799","0.7697","0.7312","0.7776","0.7918"
"47","0.7921","0.7993","0.8085","0.8053","0.8137"
"48","0.8011","0.7798","0.7883","0.8091","0.8112"
"49","0.8156","0.7853","0.796","0.7739","0.7981"
"50","0.8234","0.8121","0.808","0.7891","0.8166"
"51","0.7624","0.794","0.8063","0.8206","0.8289"
"52","0.8209","0.8022","0.8189","0.7996","0.7846"
"53","0.8107","0.8078","0.7963","0.783","0.7867"
"54","0.8091","0.8043","0.8143","0.8187","0.8004"
"55","0.8131","0.7442","0.7998","0.7369","0.7961"
"56","0.8119","0.8136","0.776","0.8126","0.7974"
"57","0.7712","0.8095","0.7766","0.784","0.8192"
"58","0.7899","0.8147","0.8039","0.8075","0.8083"
"59","0.8127","0.8101","0.814","0.8056","0.8091"
"60","0.7556","0.8063","0.8114","0.7665","0.7944"
"61","0.8777","0.879","0.8723","0.8727","0.8793"
"62","0.8805","0.8814","0.8784","0.8772","0.8835"
"63","0.8814","0.8826","0.878","0.8797","0.8831"
"64","0.8828","0.8844","0.8797","0.8795","0.8834"
"65","0.8832","0.8832","0.8794","0.8801","0.884"
"66","0.8835","0.8828","0.8796","0.8812","0.8855"
"67","0.8832","0.8843","0.8815","0.883","0.8847"
"68","0.8833","0.8833","0.8809","0.8838","0.8855"
"69","0.8835","0.8842","0.8819","0.883","0.8861"
"70","0.8833","0.884","0.8808","0.8834","0.887"
"71","0.8837","0.886","0.8823","0.8842","0.8868"
"72","0.8845","0.8859","0.8834","0.8843","0.8881"
"73","0.8843","0.8859","0.8814","0.8839","0.8866"
"74","0.8846","0.8873","0.8825","0.8847","0.8872"
"75","0.8854","0.8865","0.8823","0.8846","0.8894"
"76","0.8833","0.8864","0.8832","0.8854","0.8878"
"77","0.8858","0.8882","0.8836","0.8862","0.8897"
"78","0.8865","0.8864","0.8827","0.8852","0.8882"
"79","0.8853","0.8876","0.8841","0.8853","0.8898"
"80","0.8871","0.8866","0.8835","0.8855","0.8901"
"81","0.8872","0.8865","0.8856","0.8854","0.8904"
"82","0.8879","0.8871","0.884","0.8843","0.8907"
"83","0.8882","0.8866","0.8847","0.8864","0.8909"
"84","0.8887","0.8865","0.8845","0.8863","0.8911"
"85","0.8891","0.8873","0.8856","0.8874","0.8917"
"86","0.8887","0.8887","0.8853","0.8876","0.8913"
"87","0.8884","0.8882","0.8862","0.8878","0.8911"
"88","0.8884","0.8867","0.8849","0.8878","0.8914"
"89","0.8887","0.8884","0.8859","0.8877","0.8922"
"90","0.8889","0.8876","0.8864","0.8874","0.8915"
"91","0.8884","0.8888","0.8864","0.8874","0.8918"
"92","0.8885","0.8897","0.8879","0.8876","0.891"
"93","0.8884","0.8882","0.8873","0.8884","0.8916"
"94","0.8891","0.8893","0.8866","0.8886","0.891"
"95","0.8894","0.889","0.8876","0.8895","0.8898"
"96","0.8888","0.8901","0.8863","0.8898","0.8912"
"97","0.8906","0.8907","0.8865","0.8886","0.8913"
"98","0.8889","0.8913","0.8864","0.8877","0.8909"
"99","0.89","0.8883","0.8872","0.8892","0.8912"
"100","0.889","0.8913","0.8872","0.7806","0.8924"
"101","0.8897","0.8042","0.8868","0.8277","0.8917"
"102","0.5747","0.8318","0.8879","0.8292","0.8922"
"103","0.8078","0.8092","0.6795","0.8193","0.4048"
"104","0.7989","0.8309","0.7901","0.8436","0.7907"
"105","0.8277","0.8439","0.8198","0.8486","0.8274"
"106","0.8245","0.8403","0.8278","0.8545","0.7902"
"107","0.8484","0.8435","0.8503","0.8625","0.8389"
"108","0.8446","0.8409","0.8372","0.8534","0.8399"
"109","0.8576","0.8419","0.8527","0.865","0.8367"
"110","0.8326","0.843","0.8411","0.8715","0.8414"
"111","0.856","0.8296","0.8368","0.8871","0.8401"
"112","0.8375","0.8411","0.8278","0.8876","0.8526"
"113","0.8446","0.8606","0.8182","0.8894","0.8683"
"114","0.8513","0.8684","0.8238","0.8897","0.8721"
"115","0.8509","0.8824","0.8296","0.8897","0.8799"
"116","0.8546","0.8834","0.8396","0.8903","0.8805"
"117","0.8498","0.886","0.854","0.8923","0.8819"
"118","0.8415","0.8864","0.8449","0.8918","0.882"
"119","0.8396","0.8888","0.8391","0.8914","0.8842"
"120","0.8388","0.8894","0.8475","0.8924","0.8838"
"121","0.8726","0.8901","0.8713","0.8927","0.8848"
"122","0.8758","0.8906","0.8733","0.8911","0.8848"
"123","0.8768","0.8913","0.8749","0.8936","0.8858"
"124","0.8767","0.8913","0.8757","0.8919","0.8851"
"125","0.8801","0.8922","0.8753","0.8932","0.8842"
"126","0.8787","0.8911","0.8775","0.8925","0.8857"
"127","0.879","0.8906","0.8762","0.8928","0.8854"
"128","0.8794","0.8916","0.877","0.8924","0.8861"
"129","0.8813","0.891","0.8781","0.8926","0.8858"
