"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.3235","0.3235","0.3235","0.3235","0.3235"
"2","0.4329","0.4329","0.4329","0.4329","0.4329"
"3","0.5","0.5","0.5","0.5","0.5"
"4","0.5542","0.5542","0.5542","0.5542","0.5542"
"5","0.615","0.615","0.615","0.615","0.615"
"6","0.6445","0.6445","0.6445","0.6445","0.6445"
"7","0.6692","0.6692","0.6692","0.6692","0.6692"
"8","0.5503","0.5503","0.5503","0.5503","0.5503"
"9","0.6929","0.6929","0.6929","0.6929","0.6929"
"10","0.6829","0.6829","0.6829","0.6829","0.6829"
"11","0.7417","0.7417","0.7417","0.7417","0.7417"
"12","0.724","0.724","0.724","0.724","0.724"
"13","0.7652","0.7652","0.7652","0.7652","0.7652"
"14","0.7695","0.7695","0.7695","0.7695","0.7695"
"15","0.7866","0.7866","0.7866","0.7866","0.7866"
"16","0.7264","0.7264","0.7264","0.7264","0.7264"
"17","0.7626","0.7626","0.7626","0.7626","0.7626"
"18","0.6867","0.6867","0.6867","0.6867","0.6867"
"19","0.8236","0.8236","0.8236","0.8236","0.8236"
"20","0.8169","0.8169","0.8169","0.8169","0.8169"
"21","0.8345","0.8345","0.8345","0.8345","0.8345"
"22","0.7896","0.7896","0.7896","0.7896","0.7896"
"23","0.8192","0.8192","0.8192","0.8192","0.8192"
"24","0.7976","0.7976","0.7976","0.7976","0.7976"
"25","0.807","0.807","0.807","0.807","0.807"
"26","0.8423","0.8423","0.8423","0.8423","0.8423"
"27","0.8318","0.8318","0.8318","0.8318","0.8318"
"28","0.7814","0.7814","0.7814","0.7814","0.7814"
"29","0.8327","0.8327","0.8327","0.8327","0.8327"
"30","0.8474","0.8474","0.8474","0.8474","0.8474"
"31","0.7934","0.7934","0.7934","0.7934","0.7934"
"32","0.798","0.798","0.798","0.798","0.798"
"33","0.7229","0.7229","0.7229","0.7229","0.7229"
"34","0.846","0.846","0.846","0.846","0.846"
"35","0.8345","0.8345","0.8345","0.8345","0.8345"
"36","0.8324","0.8324","0.8324","0.8324","0.8324"
"37","0.8118","0.8118","0.8118","0.8118","0.8118"
"38","0.8302","0.8302","0.8302","0.8302","0.8302"
"39","0.8065","0.8065","0.8065","0.8065","0.8065"
"40","0.8365","0.8365","0.8365","0.8365","0.8365"
"41","0.8403","0.8403","0.8403","0.8403","0.8403"
"42","0.8208","0.8208","0.8208","0.8208","0.8208"
"43","0.8224","0.8224","0.8224","0.8224","0.8224"
"44","0.832","0.832","0.832","0.832","0.832"
"45","0.8325","0.8325","0.8325","0.8325","0.8325"
"46","0.8242","0.8242","0.8242","0.8242","0.8242"
"47","0.7929","0.7929","0.7929","0.7929","0.7929"
"48","0.8079","0.8079","0.8079","0.8079","0.8079"
"49","0.8647","0.8647","0.8647","0.8647","0.8647"
"50","0.8255","0.8255","0.8255","0.8255","0.8255"
"51","0.8489","0.8489","0.8489","0.8489","0.8489"
"52","0.8121","0.8121","0.8121","0.8121","0.8121"
"53","0.7964","0.7964","0.7964","0.7964","0.7964"
"54","0.8031","0.8031","0.8031","0.8031","0.8031"
"55","0.7978","0.7978","0.7978","0.7978","0.7978"
"56","0.8354","0.8354","0.8354","0.8354","0.8354"
"57","0.8683","0.8683","0.8683","0.8683","0.8683"
"58","0.8311","0.8311","0.8311","0.8311","0.8311"
"59","0.8519","0.8519","0.8519","0.8519","0.8519"
"60","0.8273","0.8273","0.8273","0.8273","0.8273"
"61","0.9223","0.9223","0.9223","0.9223","0.9223"
"62","0.927","0.927","0.927","0.927","0.927"
"63","0.9306","0.9306","0.9306","0.9306","0.9306"
"64","0.932","0.932","0.932","0.932","0.932"
"65","0.9255","0.9255","0.9255","0.9255","0.9255"
"66","0.93","0.93","0.93","0.93","0.93"
"67","0.9248","0.9248","0.9248","0.9248","0.9248"
"68","0.9321","0.9321","0.9321","0.9321","0.9321"
"69","0.9173","0.9173","0.9173","0.9173","0.9173"
"70","0.9093","0.9093","0.9093","0.9093","0.9093"
"71","0.917","0.917","0.917","0.917","0.917"
"72","0.9228","0.9228","0.9228","0.9228","0.9228"
"73","0.9279","0.9279","0.9279","0.9279","0.9279"
"74","0.9291","0.9291","0.9291","0.9291","0.9291"
"75","0.9176","0.9176","0.9176","0.9176","0.9176"
"76","0.9214","0.9214","0.9214","0.9214","0.9214"
"77","0.9151","0.9151","0.9151","0.9151","0.9151"
"78","0.9205","0.9205","0.9205","0.9205","0.9205"
"79","0.931","0.931","0.931","0.931","0.931"
"80","0.9091","0.9091","0.9091","0.9091","0.9091"
"81","0.9114","0.9114","0.9114","0.9114","0.9114"
"82","0.9222","0.9222","0.9222","0.9222","0.9222"
"83","0.889","0.889","0.889","0.889","0.889"
"84","0.9086","0.9086","0.9086","0.9086","0.9086"
"85","0.9242","0.9242","0.9242","0.9242","0.9242"
"86","0.9172","0.9172","0.9172","0.9172","0.9172"
"87","0.8962","0.8962","0.8962","0.8962","0.8962"
"88","0.9279","0.9279","0.9279","0.9279","0.9279"
"89","0.9088","0.9088","0.9088","0.9088","0.9088"
"90","0.9187","0.9187","0.9187","0.9187","0.9187"
"91","0.9242","0.9242","0.9242","0.9242","0.9242"
"92","0.9132","0.9132","0.9132","0.9132","0.9132"
"93","0.9112","0.9112","0.9112","0.9112","0.9112"
"94","0.9235","0.9235","0.9235","0.9235","0.9235"
"95","0.9214","0.9214","0.9214","0.9214","0.9214"
"96","0.927","0.927","0.927","0.927","0.927"
"97","0.9209","0.9209","0.9209","0.9209","0.9209"
"98","0.9181","0.9181","0.9181","0.9181","0.9181"
"99","0.9235","0.9235","0.9235","0.9235","0.9235"
"100","0.9207","0.9207","0.9207","0.9207","0.9207"
"101","0.9235","0.9235","0.9235","0.9235","0.9235"
"102","0.9207","0.9207","0.9207","0.9207","0.9207"
"103","0.9154","0.9154","0.9154","0.9154","0.9154"
"104","0.9014","0.9014","0.9014","0.9014","0.9014"
"105","0.9028","0.9028","0.9028","0.9028","0.9028"
"106","0.9252","0.9252","0.9252","0.9252","0.9252"
"107","0.9265","0.9265","0.9265","0.9265","0.9265"
"108","0.9099","0.9099","0.9099","0.9099","0.9099"
"109","0.9231","0.9231","0.9231","0.9231","0.9231"
"110","0.9265","0.9265","0.9265","0.9265","0.9265"
"111","0.9253","0.9253","0.9253","0.9253","0.9253"
"112","0.9342","0.9342","0.9342","0.9342","0.9342"
"113","0.9319","0.9319","0.9319","0.9319","0.9319"
"114","0.9152","0.9152","0.9152","0.9152","0.9152"
"115","0.9239","0.9239","0.9239","0.9239","0.9239"
"116","0.9097","0.9097","0.9097","0.9097","0.9097"
"117","0.9269","0.9269","0.9269","0.9269","0.9269"
"118","0.9267","0.9267","0.9267","0.9267","0.9267"
"119","0.9214","0.9214","0.9214","0.9214","0.9214"
"120","0.9151","0.9151","0.9151","0.9151","0.9151"
"121","0.9547","0.9547","0.9547","0.9547","0.9547"
"122","0.958","0.958","0.958","0.958","0.958"
"123","0.9556","0.9556","0.9556","0.9556","0.9556"
"124","0.9557","0.9557","0.9557","0.9557","0.9557"
"125","0.9558","0.9558","0.9558","0.9558","0.9558"
"126","0.954","0.954","0.954","0.954","0.954"
"127","0.9526","0.9526","0.9526","0.9526","0.9526"
"128","0.9567","0.9567","0.9567","0.9567","0.9567"
"129","0.9592","0.9592","0.9592","0.9592","0.9592"
"130","0.9559","0.9559","0.9559","0.9559","0.9559"
"131","0.957","0.957","0.957","0.957","0.957"
"132","0.9552","0.9552","0.9552","0.9552","0.9552"
"133","0.9537","0.9537","0.9537","0.9537","0.9537"
"134","0.9565","0.9565","0.9565","0.9565","0.9565"
"135","0.9575","0.9575","0.9575","0.9575","0.9575"
"136","0.9568","0.9568","0.9568","0.9568","0.9568"
"137","0.9556","0.9556","0.9556","0.9556","0.9556"
"138","0.9569","0.9569","0.9569","0.9569","0.9569"
"139","0.9565","0.9565","0.9565","0.9565","0.9565"
"140","0.9526","0.9526","0.9526","0.9526","0.9526"
"141","0.954","0.954","0.954","0.954","0.954"
"142","0.9544","0.9544","0.9544","0.9544","0.9544"
"143","0.9568","0.9568","0.9568","0.9568","0.9568"
"144","0.9551","0.9551","0.9551","0.9551","0.9551"
"145","0.9593","0.9593","0.9593","0.9593","0.9593"
"146","0.954","0.954","0.954","0.954","0.954"
"147","0.9536","0.9536","0.9536","0.9536","0.9536"
"148","0.9535","0.9535","0.9535","0.9535","0.9535"
"149","0.9569","0.9569","0.9569","0.9569","0.9569"
"150","0.9526","0.9526","0.9526","0.9526","0.9526"
"151","0.9561","0.9561","0.9561","0.9561","0.9561"
"152","0.955","0.955","0.955","0.955","0.955"
"153","0.9548","0.9548","0.9548","0.9548","0.9548"
"154","0.9547","0.9547","0.9547","0.9547","0.9547"
"155","0.9539","0.9539","0.9539","0.9539","0.9539"
"156","0.9564","0.9564","0.9564","0.9564","0.9564"
"157","0.9588","0.9588","0.9588","0.9588","0.9588"
"158","0.9523","0.9523","0.9523","0.9523","0.9523"
"159","0.9557","0.9557","0.9557","0.9557","0.9557"
"160","0.9527","0.9527","0.9527","0.9527","0.9527"
"161","0.9587","0.9587","0.9587","0.9587","0.9587"
"162","0.9591","0.9591","0.9591","0.9591","0.9591"
"163","0.9594","0.9594","0.9594","0.9594","0.9594"
"164","0.959","0.959","0.959","0.959","0.959"
"165","0.9609","0.9609","0.9609","0.9609","0.9609"
"166","0.9618","0.9618","0.9618","0.9618","0.9618"
"167","0.9599","0.9599","0.9599","0.9599","0.9599"
"168","0.96","0.96","0.96","0.96","0.96"
"169","0.9607","0.9607","0.9607","0.9607","0.9607"
"170","0.9618","0.9618","0.9618","0.9618","0.9618"
"171","0.9602","0.9602","0.9602","0.9602","0.9602"
