"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.3847","0.4051","0.369","0.4434","0.3515"
"2","0.4578","0.4601","0.4505","0.4963","0.4964"
"3","0.5125","0.5703","0.5361","0.5813","0.5617"
"4","0.5573","0.6019","0.5761","0.5673","0.5768"
"5","0.632","0.6598","0.6494","0.6708","0.6336"
"6","0.6549","0.6355","0.6958","0.7307","0.7029"
"7","0.6557","0.6933","0.6463","0.6988","0.7205"
"8","0.7151","0.6964","0.7345","0.7161","0.7269"
"9","0.7099","0.7672","0.7746","0.7653","0.7475"
"10","0.7142","0.7599","0.752","0.7955","0.7539"
"11","0.7643","0.8098","0.714","0.7051","0.8002"
"12","0.6875","0.7404","0.744","0.7202","0.7652"
"13","0.7854","0.7973","0.7898","0.7873","0.8067"
"14","0.7981","0.8022","0.7792","0.8106","0.7994"
"15","0.7459","0.7784","0.8114","0.7548","0.7423"
"16","0.7632","0.784","0.7741","0.8067","0.8222"
"17","0.7959","0.8077","0.7862","0.8353","0.7869"
"18","0.7845","0.7823","0.7417","0.8172","0.7577"
"19","0.777","0.8061","0.8028","0.7902","0.8044"
"20","0.8116","0.8196","0.7844","0.8265","0.8113"
"21","0.8167","0.8141","0.8094","0.8305","0.8046"
"22","0.8071","0.8185","0.8327","0.8389","0.8081"
"23","0.8222","0.7916","0.7864","0.8303","0.823"
"24","0.8194","0.821","0.8051","0.7964","0.8078"
"25","0.8153","0.8303","0.8068","0.8499","0.835"
"26","0.8341","0.8127","0.8339","0.8333","0.8141"
"27","0.8165","0.8273","0.7935","0.8296","0.8391"
"28","0.8246","0.8418","0.816","0.8298","0.821"
"29","0.7986","0.7972","0.7734","0.8172","0.8482"
"30","0.8262","0.792","0.82","0.8121","0.7859"
"31","0.799","0.8556","0.8141","0.7998","0.8176"
"32","0.82","0.7947","0.7374","0.8577","0.8364"
"33","0.8073","0.7977","0.833","0.8453","0.7941"
"34","0.8211","0.8362","0.758","0.8479","0.7718"
"35","0.8473","0.8528","0.8315","0.8398","0.8216"
"36","0.8245","0.7974","0.7906","0.8204","0.8379"
"37","0.7669","0.8404","0.7598","0.8217","0.8024"
"38","0.7957","0.8279","0.8128","0.8185","0.8191"
"39","0.828","0.801","0.8559","0.8311","0.8437"
"40","0.8504","0.8135","0.81","0.8367","0.842"
"41","0.8272","0.8369","0.8553","0.8399","0.86"
"42","0.8369","0.7995","0.7711","0.8182","0.8162"
"43","0.8138","0.8254","0.7986","0.8337","0.8172"
"44","0.846","0.8295","0.8355","0.8239","0.8342"
