"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.4471","0.4059","0.4152","0.4352","0.3965"
"2","0.5134","0.4872","0.475","0.4839","0.4702"
"3","0.6077","0.5776","0.5889","0.5697","0.529"
"4","0.6504","0.6666","0.6784","0.5951","0.5339"
"5","0.6809","0.7136","0.6525","0.6693","0.6303"
"6","0.6993","0.7074","0.7285","0.7071","0.6486"
"7","0.7508","0.7185","0.7602","0.7276","0.7183"
"8","0.7363","0.7589","0.745","0.7491","0.7288"
"9","0.7775","0.7812","0.7675","0.7426","0.7424"
"10","0.6947","0.6944","0.6799","0.7504","0.7114"
"11","0.7788","0.7538","0.7561","0.7636","0.7514"
"12","0.7094","0.7309","0.7038","0.7942","0.7764"
"13","0.7834","0.8351","0.7939","0.8096","0.7727"
"14","0.7921","0.7898","0.7937","0.776","0.789"
"15","0.8268","0.82","0.7597","0.7804","0.7998"
"16","0.7916","0.7726","0.8214","0.7797","0.7606"
"17","0.8368","0.7682","0.8188","0.786","0.7962"
"18","0.805","0.8253","0.786","0.8141","0.7762"
"19","0.7979","0.8044","0.7877","0.7963","0.8041"
"20","0.817","0.8054","0.8266","0.8167","0.7937"
"21","0.8044","0.816","0.8394","0.8356","0.8108"
"22","0.842","0.8059","0.8262","0.8089","0.8463"
"23","0.798","0.7907","0.83","0.8161","0.8084"
"24","0.814","0.8084","0.8309","0.8444","0.7684"
"25","0.8136","0.7933","0.8253","0.8166","0.7797"
"26","0.8028","0.8405","0.7844","0.8048","0.8351"
"27","0.8341","0.8308","0.8475","0.8334","0.8465"
"28","0.8064","0.8302","0.843","0.8286","0.8184"
"29","0.8165","0.8056","0.8398","0.8113","0.8465"
"30","0.843","0.8421","0.8572","0.8046","0.8357"
"31","0.8445","0.8315","0.8295","0.816","0.8322"
"32","0.8209","0.8272","0.8191","0.8212","0.8284"
"33","0.8117","0.8396","0.8454","0.8562","0.8331"
"34","0.8541","0.8491","0.8308","0.815","0.8341"
"35","0.8078","0.8202","0.8186","0.8266","0.8371"
"36","0.8224","0.7777","0.8223","0.8138","0.8419"
"37","0.8575","0.8516","0.8409","0.7878","0.8462"
"38","0.8359","0.7941","0.8385","0.8278","0.8225"
"39","0.829","0.8304","0.8263","0.8277","0.8487"
"40","0.8589","0.8567","0.8559","0.8452","0.8531"
"41","0.863","0.7973","0.8403","0.8389","0.8226"
"42","0.8225","0.7711","0.8224","0.8294","0.8265"
"43","0.8211","0.8373","0.8382","0.8417","0.8095"
"44","0.8259","0.7938","0.8195","0.7915","0.818"
"45","0.82","0.8346","0.8315","0.8542","0.827"
"46","0.8137","0.8415","0.8453","0.8421","0.8517"
"47","0.8073","0.8106","0.8169","0.8431","0.851"
"48","0.8203","0.8508","0.8419","0.84","0.8183"
"49","0.8543","0.8166","0.8156","0.8228","0.8369"
"50","0.7952","0.7835","0.8153","0.7946","0.8111"
"51","0.862","0.8344","0.8648","0.864","0.8164"
"52","0.851","0.8629","0.8598","0.8368","0.8553"
"53","0.8481","0.8329","0.8358","0.7824","0.8348"
"54","0.8496","0.8389","0.8481","0.8406","0.8541"
"55","0.8492","0.8119","0.8151","0.8403","0.8351"
"56","0.8444","0.8633","0.8629","0.8168","0.8435"
"57","0.8188","0.8363","0.8355","0.8503","0.8504"
"58","0.8472","0.8057","0.8418","0.8357","0.8421"
"59","0.8686","0.8465","0.8502","0.8518","0.7984"
"60","0.8562","0.8583","0.8231","0.8404","0.8158"
"61","0.9111","0.9088","0.9087","0.9139","0.9052"
"62","0.9222","0.9306","0.925","0.9195","0.9182"
"63","0.9153","0.9254","0.9241","0.9196","0.9181"
"64","0.9191","0.9246","0.9233","0.9194","0.9155"
"65","0.9178","0.9102","0.9175","0.9194","0.9195"
"66","0.9238","0.9228","0.9189","0.9181","0.9202"
"67","0.9252","0.9245","0.9235","0.9239","0.9245"
"68","0.9185","0.9195","0.9173","0.9148","0.9172"
"69","0.914","0.9211","0.9079","0.9119","0.9221"
"70","0.926","0.9172","0.9208","0.9222","0.9205"
"71","0.9289","0.9185","0.9198","0.9187","0.9177"
"72","0.9265","0.9222","0.9243","0.9264","0.9248"
"73","0.9193","0.9231","0.9177","0.9214","0.9207"
"74","0.9209","0.9216","0.9217","0.9182","0.9161"
"75","0.9182","0.9151","0.9218","0.9237","0.9152"
"76","0.9183","0.9176","0.9176","0.9237","0.9178"
"77","0.9133","0.9208","0.9145","0.915","0.9121"
"78","0.9264","0.9211","0.9122","0.9177","0.9216"
"79","0.9162","0.9164","0.9228","0.9056","0.9141"
"80","0.9238","0.9077","0.9262","0.9196","0.9182"
"81","0.9183","0.9191","0.9199","0.912","0.9119"
"82","0.9291","0.9201","0.9161","0.9101","0.923"
"83","0.9144","0.91","0.8965","0.9117","0.9122"
"84","0.9115","0.8768","0.9158","0.9243","0.9159"
"85","0.9186","0.9094","0.9052","0.9105","0.8923"
"86","0.9073","0.9149","0.9156","0.9073","0.9041"
"87","0.9205","0.9193","0.9172","0.9188","0.9215"
"88","0.9218","0.9174","0.9116","0.9157","0.9178"
"89","0.9259","0.9143","0.9192","0.9173","0.9101"
"90","0.9263","0.9105","0.92","0.9142","0.914"
"91","0.9211","0.9128","0.9208","0.9102","0.9185"
"92","0.9256","0.9124","0.9291","0.9194","0.9221"
"93","0.9197","0.9101","0.9116","0.906","0.9049"
"94","0.9085","0.9095","0.9145","0.9027","0.8976"
"95","0.9128","0.9125","0.9154","0.9094","0.917"
"96","0.9233","0.9184","0.9118","0.9176","0.9164"
"97","0.9206","0.9209","0.9209","0.9237","0.9228"
"98","0.9286","0.9277","0.9207","0.9244","0.9178"
"99","0.9193","0.9176","0.9205","0.9143","0.9218"
"100","0.9135","0.9167","0.921","0.9177","0.9229"
"101","0.9153","0.9201","0.9114","0.9152","0.9079"
"102","0.908","0.9144","0.9202","0.9184","0.9198"
"103","0.9241","0.9143","0.9158","0.9208","0.9123"
"104","0.9153","0.9117","0.9161","0.9142","0.9129"
"105","0.9249","0.923","0.9174","0.9187","0.9112"
"106","0.9195","0.9205","0.9188","0.909","0.923"
"107","0.9232","0.9151","0.922","0.9244","0.9201"
"108","0.9216","0.9204","0.905","0.9118","0.9195"
"109","0.9219","0.918","0.9217","0.9191","0.9216"
"110","0.9291","0.9164","0.8997","0.9202","0.9202"
"111","0.928","0.9212","0.9214","0.9183","0.9272"
"112","0.9224","0.9191","0.9201","0.9162","0.9272"
"113","0.9209","0.917","0.9171","0.9144","0.9103"
"114","0.9095","0.9216","0.9246","0.921","0.9191"
"115","0.9195","0.9251","0.9225","0.9287","0.9251"
"116","0.9181","0.9157","0.9041","0.9164","0.9091"
"117","0.9238","0.9159","0.9235","0.924","0.9155"
"118","0.9255","0.927","0.9292","0.9206","0.9186"
"119","0.9198","0.9148","0.9233","0.9191","0.9126"
"120","0.9257","0.9287","0.9198","0.9251","0.9193"
"121","0.9442","0.9442","0.947","0.9441","0.9469"
"122","0.9497","0.9496","0.9455","0.9449","0.9464"
"123","0.9495","0.9476","0.947","0.9493","0.9477"
"124","0.949","0.9466","0.9481","0.9472","0.945"
"125","0.9516","0.9462","0.9502","0.946","0.9502"
"126","0.9504","0.9507","0.9512","0.9497","0.9481"
"127","0.9514","0.9484","0.9511","0.9474","0.9482"
"128","0.9483","0.949","0.95","0.9495","0.9518"
"129","0.9515","0.9505","0.9476","0.9516","0.9466"
"130","0.9503","0.9494","0.953","0.9496","0.9455"
"131","0.9537","0.9498","0.9501","0.9471","0.9484"
"132","0.952","0.9502","0.9509","0.9471","0.9502"
"133","0.9492","0.9478","0.9502","0.9473","0.9448"
"134","0.9503","0.9532","0.9503","0.9476","0.9485"
"135","0.951","0.9505","0.949","0.9502","0.9496"
"136","0.9515","0.9509","0.9506","0.9474","0.9484"
"137","0.9481","0.9479","0.9506","0.9506","0.9496"
"138","0.9518","0.9506","0.9531","0.9493","0.9475"
"139","0.9525","0.9513","0.9497","0.9524","0.9528"
"140","0.952","0.9495","0.9485","0.9494","0.9466"
"141","0.9517","0.9492","0.9518","0.9528","0.9498"
"142","0.9556","0.9503","0.9517","0.9485","0.9507"
"143","0.9525","0.9474","0.9534","0.9462","0.9525"
"144","0.9477","0.9516","0.9498","0.9482","0.9472"
"145","0.9513","0.9495","0.9523","0.9511","0.9487"
"146","0.9485","0.9512","0.951","0.9492","0.9506"
"147","0.9522","0.9512","0.9526","0.9512","0.9506"
"148","0.9521","0.9527","0.9555","0.9489","0.9488"
"149","0.9499","0.9517","0.9503","0.9506","0.952"
"150","0.9501","0.9503","0.95","0.9489","0.9492"
"151","0.9515","0.9515","0.945","0.952","0.9543"
"152","0.9519","0.9517","0.9495","0.9487","0.9478"
"153","0.9514","0.9514","0.9515","0.9502","0.9507"
"154","0.9507","0.9488","0.9522","0.9486","0.9463"
"155","0.95","0.9506","0.9492","0.948","0.9485"
"156","0.9507","0.9483","0.9475","0.9488","0.9493"
"157","0.9488","0.9476","0.9486","0.9485","0.9528"
"158","0.9461","0.9488","0.9495","0.9474","0.9442"
"159","0.9486","0.9497","0.9492","0.9458","0.9458"
"160","0.951","0.9524","0.9543","0.9471","0.9456"
"161","0.956","0.9576","0.9552","0.9518","0.9528"
"162","0.9565","0.9567","0.9577","0.9526","0.9557"
"163","0.9568","0.956","0.9581","0.9529","0.9585"
"164","0.9582","0.9543","0.9563","0.9532","0.9563"
"165","0.9583","0.9557","0.9553","0.9539","0.9559"
"166","0.9566","0.956","0.9572","0.9527","0.9563"
"167","0.9585","0.9571","0.9585","0.9545","0.9565"
"168","0.9565","0.9577","0.9585","0.9563","0.9554"
"169","0.9562","0.9585","0.9555","0.9557","0.9571"
"170","0.9589","0.9566","0.9564","0.9568","0.9549"
"171","0.9588","0.9577","0.9561","0.9569","0.9562"
"172","0.958","0.9575","0.9555","0.9537","0.9555"
"173","0.9583","0.958","0.9552","0.9564","0.9559"
"174","0.9569","0.9575","0.9565","0.9558","0.9573"
"175","0.9588","0.9556","0.9563","0.9557","0.9549"
"176","0.9558","0.9572","0.9566","0.9563","0.9553"
"177","0.9587","0.9578","0.9574","0.9575","0.9544"
"178","0.9584","0.9566","0.9569","0.9565","0.9552"
"179","0.9578","0.9568","0.9579","0.9568","0.9561"
"180","0.9594","0.9574","0.9567","0.9558","0.9552"
"181","0.9572","0.9576","0.9583","0.9566","0.9544"
"182","0.9589","0.959","0.9569","0.9557","0.9566"
"183","0.9579","0.9564","0.9567","0.9573","0.9569"
"184","0.9572","0.9569","0.956","0.9573","0.9567"
"185","0.9611","0.9564","0.9563","0.9575","0.9572"
"186","0.9601","0.9573","0.956","0.9554","0.9586"
"187","0.9577","0.9559","0.9574","0.9556","0.9574"
"188","0.9604","0.9586","0.9554","0.957","0.9585"
"189","0.9592","0.9556","0.956","0.9546","0.9547"
"190","0.9582","0.9589","0.9573","0.9567","0.9568"
"191","0.9593","0.9591","0.9568","0.9565","0.9561"
"192","0.9565","0.9576","0.9567","0.9557","0.957"
"193","0.9585","0.9575","0.9575","0.9547","0.9559"
"194","0.9594","0.9551","0.9572","0.9538","0.9561"
"195","0.9584","0.9586","0.9578","0.9553","0.9566"
"196","0.9569","0.9571","0.9582","0.9571","0.9562"
"197","0.9588","0.9558","0.9569","0.9561","0.9548"
"198","0.9574","0.9574","0.9583","0.9552","0.9572"
"199","0.9575","0.9567","0.9577","0.9567","0.9571"
"200","0.9593","0.9575","0.96","0.9575","0.954"
