"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.2037","0.2053","0.1935","0.2239","0.2313"
"2","0.3102","0.2826","0.3299","0.3582","0.3592"
"3","0.498","0.4214","0.471","0.5222","0.5365"
"4","0.6273","0.586","0.6332","0.6404","0.609"
"5","0.6502","0.6763","0.6588","0.6958","0.6644"
"6","0.6655","0.6777","0.7212","0.6256","0.6784"
"7","0.7433","0.7227","0.7077","0.7439","0.7316"
"8","0.6919","0.7476","0.7108","0.7543","0.7237"
"9","0.7668","0.7169","0.7269","0.7522","0.7543"
"10","0.7595","0.7627","0.7698","0.7734","0.7759"
"11","0.7851","0.7696","0.7737","0.7374","0.737"
"12","0.7248","0.7206","0.7743","0.7293","0.7448"
"13","0.7543","0.7623","0.776","0.7781","0.7607"
"14","0.7615","0.7592","0.7301","0.7862","0.7781"
"15","0.7876","0.7773","0.7921","0.7803","0.7845"
"16","0.7374","0.7795","0.773","0.7623","0.7538"
"17","0.7625","0.7579","0.7631","0.7814","0.7648"
"18","0.7922","0.8072","0.8009","0.7972","0.8049"
"19","0.7691","0.7339","0.7173","0.7831","0.7849"
"20","0.8089","0.7869","0.8046","0.7945","0.8017"
"21","0.7567","0.7835","0.7481","0.7784","0.7329"
"22","0.7911","0.7746","0.7653","0.7874","0.7662"
"23","0.8102","0.8203","0.7676","0.8161","0.79"
"24","0.8043","0.7925","0.8098","0.7757","0.7902"
"25","0.8093","0.8128","0.8033","0.784","0.7922"
"26","0.8026","0.813","0.8052","0.8224","0.7839"
"27","0.7588","0.7472","0.7693","0.8034","0.7897"
"28","0.8146","0.8093","0.7914","0.8051","0.7688"
"29","0.8069","0.8058","0.7886","0.8073","0.7997"
"30","0.806","0.8027","0.7928","0.7904","0.7811"
"31","0.7686","0.7852","0.7902","0.7831","0.8203"
"32","0.762","0.7661","0.7752","0.6916","0.8019"
"33","0.7885","0.8259","0.8125","0.8111","0.8076"
"34","0.7956","0.7257","0.7758","0.7666","0.7785"
"35","0.8291","0.7877","0.7851","0.792","0.821"
"36","0.7836","0.8109","0.8105","0.8206","0.7987"
"37","0.8192","0.8168","0.768","0.7591","0.7327"
"38","0.7793","0.7707","0.8143","0.7676","0.7732"
"39","0.8176","0.8117","0.7852","0.8031","0.791"
"40","0.7799","0.7892","0.7843","0.7488","0.8038"
"41","0.7877","0.7813","0.8057","0.7946","0.7475"
"42","0.8039","0.7635","0.8197","0.8106","0.778"
"43","0.8033","0.7834","0.7937","0.7716","0.7559"
"44","0.8247","0.7891","0.7999","0.8179","0.7914"
"45","0.8097","0.8326","0.7939","0.8281","0.8244"
"46","0.7874","0.8188","0.8011","0.7725","0.7981"
"47","0.8309","0.826","0.8078","0.8103","0.7809"
"48","0.7961","0.8129","0.8296","0.8017","0.7923"
"49","0.7951","0.8063","0.7922","0.8053","0.7613"
"50","0.8093","0.7848","0.8211","0.7869","0.8009"
"51","0.8268","0.7773","0.8014","0.772","0.8312"
"52","0.8069","0.8046","0.7401","0.8248","0.8155"
"53","0.8236","0.8132","0.7784","0.8161","0.7975"
"54","0.7996","0.8125","0.8241","0.8134","0.7955"
"55","0.7733","0.7629","0.7861","0.8006","0.7914"
"56","0.8345","0.806","0.815","0.8207","0.7838"
"57","0.8136","0.8293","0.8094","0.8088","0.8142"
"58","0.8036","0.7841","0.8127","0.8164","0.8272"
"59","0.8234","0.8127","0.7521","0.7883","0.8013"
"60","0.795","0.8056","0.8025","0.8216","0.8139"
"61","0.8886","0.8924","0.893","0.8892","0.8906"
"62","0.8877","0.8964","0.8918","0.8901","0.8859"
"63","0.8936","0.8935","0.8954","0.8961","0.8964"
"64","0.8965","0.8909","0.8936","0.8956","0.8888"
"65","0.8943","0.9005","0.8954","0.8932","0.8996"
"66","0.8919","0.8921","0.8897","0.8953","0.8965"
"67","0.8853","0.8876","0.8916","0.8884","0.8856"
"68","0.8914","0.8954","0.8868","0.8955","0.8828"
"69","0.8843","0.8682","0.8775","0.8899","0.8796"
"70","0.8914","0.8812","0.8854","0.8856","0.8867"
