"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.2097","0.2066","0.2013","0.1913","0.2112"
"2","0.3082","0.2599","0.332","0.3595","0.3596"
"3","0.4899","0.4489","0.4403","0.473","0.4756"
"4","0.5459","0.5635","0.5652","0.5722","0.5805"
"5","0.6248","0.6067","0.6695","0.6339","0.665"
"6","0.6149","0.654","0.5813","0.6835","0.6401"
"7","0.7024","0.7444","0.7055","0.7212","0.7229"
"8","0.7582","0.7329","0.7212","0.7296","0.763"
"9","0.7556","0.742","0.7678","0.7061","0.7398"
"10","0.7058","0.7462","0.7002","0.6958","0.6115"
"11","0.7755","0.7561","0.7833","0.7833","0.7792"
"12","0.7673","0.7259","0.7514","0.7611","0.7828"
"13","0.7532","0.751","0.742","0.748","0.7574"
"14","0.7613","0.7102","0.725","0.7673","0.6833"
"15","0.772","0.7334","0.7042","0.751","0.7092"
"16","0.7436","0.7645","0.7722","0.7211","0.7817"
"17","0.7597","0.7695","0.7779","0.7958","0.7581"
"18","0.7592","0.7897","0.7581","0.8007","0.7838"
"19","0.7995","0.765","0.7607","0.7407","0.7905"
"20","0.7601","0.7335","0.7351","0.7767","0.7921"
"21","0.7629","0.7668","0.7696","0.7578","0.767"
"22","0.7952","0.7807","0.7937","0.7801","0.7787"
"23","0.7506","0.7687","0.7508","0.7877","0.7461"
"24","0.7772","0.7427","0.748","0.7793","0.7645"
"25","0.791","0.7877","0.7442","0.7668","0.7652"
"26","0.7598","0.7632","0.7403","0.7669","0.7011"
"27","0.7506","0.7738","0.7913","0.7703","0.7616"
"28","0.7547","0.7699","0.7982","0.7556","0.7841"
"29","0.751","0.7749","0.7269","0.765","0.7658"
"30","0.7814","0.7997","0.7744","0.7729","0.7262"
"31","0.7733","0.7488","0.7768","0.7935","0.7835"
"32","0.7724","0.7449","0.7958","0.7751","0.7554"
"33","0.796","0.7717","0.7877","0.7841","0.7794"
"34","0.779","0.7579","0.773","0.7746","0.791"
"35","0.7836","0.7787","0.7852","0.7694","0.7766"
"36","0.7665","0.7341","0.7669","0.7512","0.7509"
"37","0.7805","0.7813","0.7597","0.7694","0.7554"
"38","0.7573","0.7626","0.7542","0.7745","0.7974"
"39","0.7677","0.7822","0.7619","0.7549","0.7876"
"40","0.7837","0.7604","0.7914","0.7782","0.7879"
"41","0.7839","0.7083","0.7091","0.7491","0.7888"
"42","0.7539","0.794","0.7901","0.7753","0.7998"
"43","0.7176","0.7736","0.7761","0.8018","0.7418"
"44","0.7264","0.7633","0.7351","0.7702","0.7513"
"45","0.7834","0.8025","0.7876","0.7828","0.7823"
"46","0.7904","0.7834","0.7724","0.7889","0.7873"
"47","0.7652","0.756","0.771","0.7825","0.7945"
"48","0.7722","0.7905","0.764","0.8192","0.7725"
"49","0.7627","0.7941","0.7907","0.7948","0.7885"
"50","0.7768","0.7717","0.7851","0.7762","0.7883"
"51","0.7986","0.7868","0.7868","0.7651","0.7848"
"52","0.7529","0.798","0.7922","0.8012","0.7885"
"53","0.8019","0.782","0.779","0.7734","0.7881"
"54","0.8077","0.7916","0.754","0.7947","0.8069"
"55","0.7625","0.7804","0.7572","0.7662","0.7891"
"56","0.7593","0.7529","0.784","0.7592","0.7566"
"57","0.8005","0.8036","0.7663","0.7771","0.7768"
"58","0.6925","0.7556","0.7779","0.7962","0.7818"
"59","0.777","0.7966","0.7871","0.7944","0.7995"
"60","0.7475","0.7419","0.7886","0.7907","0.7833"
"61","0.8547","0.8565","0.8589","0.8563","0.8572"
"62","0.8597","0.8621","0.8612","0.8624","0.8591"
"63","0.8628","0.8621","0.8615","0.8623","0.8595"
"64","0.8621","0.8636","0.8624","0.8623","0.8615"
"65","0.8625","0.8636","0.8623","0.8633","0.861"
"66","0.8628","0.8645","0.8614","0.8638","0.8611"
"67","0.8623","0.864","0.8618","0.8635","0.8624"
"68","0.8637","0.8662","0.8627","0.8646","0.8625"
"69","0.8634","0.8664","0.8647","0.865","0.8613"
"70","0.8631","0.8648","0.8644","0.8641","0.8612"
"71","0.8634","0.8675","0.8644","0.867","0.8627"
"72","0.863","0.866","0.8656","0.8652","0.8631"
"73","0.8634","0.8666","0.8654","0.8664","0.8635"
"74","0.8647","0.8659","0.8668","0.8671","0.8633"
"75","0.8646","0.8666","0.867","0.8663","0.8644"
"76","0.8651","0.8662","0.8672","0.8677","0.865"
"77","0.8656","0.8673","0.8677","0.8667","0.8655"
"78","0.8652","0.8681","0.8672","0.8666","0.8645"
"79","0.8657","0.8692","0.8684","0.8674","0.8663"
"80","0.8663","0.869","0.8692","0.8675","0.8663"
"81","0.8657","0.8692","0.8673","0.8676","0.866"
"82","0.8674","0.8691","0.8689","0.868","0.8672"
"83","0.8673","0.8701","0.8695","0.8679","0.8667"
"84","0.8668","0.8689","0.8704","0.8675","0.8668"
