"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.1659","0.1659","0.1659","0.1659","0.1659"
"2","0.2343","0.2343","0.2343","0.2343","0.2343"
"3","0.2621","0.2621","0.2621","0.2621","0.2621"
"4","0.3037","0.3037","0.3037","0.3037","0.3037"
"5","0.4555","0.4555","0.4555","0.4555","0.4555"
"6","0.4463","0.4463","0.4463","0.4463","0.4463"
"7","0.5922","0.5922","0.5922","0.5922","0.5922"
"8","0.6544","0.6544","0.6544","0.6544","0.6544"
"9","0.5896","0.5896","0.5896","0.5896","0.5896"
"10","0.6641","0.6641","0.6641","0.6641","0.6641"
"11","0.6617","0.6617","0.6617","0.6617","0.6617"
"12","0.7021","0.7021","0.7021","0.7021","0.7021"
"13","0.6118","0.6118","0.6118","0.6118","0.6118"
"14","0.7178","0.7178","0.7178","0.7178","0.7178"
"15","0.7364","0.7364","0.7364","0.7364","0.7364"
"16","0.7387","0.7387","0.7387","0.7387","0.7387"
"17","0.6943","0.6943","0.6943","0.6943","0.6943"
"18","0.6809","0.6809","0.6809","0.6809","0.6809"
"19","0.7379","0.7379","0.7379","0.7379","0.7379"
"20","0.736","0.736","0.736","0.736","0.736"
"21","0.7302","0.7302","0.7302","0.7302","0.7302"
"22","0.7413","0.7413","0.7413","0.7413","0.7413"
"23","0.7105","0.7105","0.7105","0.7105","0.7105"
"24","0.7409","0.7409","0.7409","0.7409","0.7409"
"25","0.7681","0.7681","0.7681","0.7681","0.7681"
"26","0.7071","0.7071","0.7071","0.7071","0.7071"
"27","0.7132","0.7132","0.7132","0.7132","0.7132"
"28","0.7075","0.7075","0.7075","0.7075","0.7075"
"29","0.731","0.731","0.731","0.731","0.731"
"30","0.7575","0.7575","0.7575","0.7575","0.7575"
"31","0.7457","0.7457","0.7457","0.7457","0.7457"
"32","0.739","0.739","0.739","0.739","0.739"
"33","0.7367","0.7367","0.7367","0.7367","0.7367"
"34","0.7893","0.7893","0.7893","0.7893","0.7893"
"35","0.761","0.761","0.761","0.761","0.761"
"36","0.7793","0.7793","0.7793","0.7793","0.7793"
"37","0.7704","0.7704","0.7704","0.7704","0.7704"
"38","0.7874","0.7874","0.7874","0.7874","0.7874"
"39","0.7657","0.7657","0.7657","0.7657","0.7657"
"40","0.7901","0.7901","0.7901","0.7901","0.7901"
"41","0.7724","0.7724","0.7724","0.7724","0.7724"
"42","0.7058","0.7058","0.7058","0.7058","0.7058"
"43","0.7911","0.7911","0.7911","0.7911","0.7911"
