"Epoch","base","base+","cutout","mixup","cutmix"
"1","0.5685","0.5798","0.4764","0.5144","0.5282"
"2","0.7276","0.6308","0.6225","0.6342","0.6185"
"3","0.7359","0.7696","0.6746","0.7032","0.6751"
"4","0.7921","0.7588","0.6858","0.7496","0.7112"
"5","0.776","0.7716","0.703","0.7965","0.667"
"6","0.8054","0.8019","0.7599","0.7469","0.725"
"7","0.8205","0.8128","0.7986","0.7816","0.7615"
"8","0.7974","0.7982","0.7708","0.7571","0.7897"
"9","0.8063","0.7543","0.8007","0.7743","0.7485"
"10","0.7791","0.8163","0.7828","0.7679","0.7823"
"11","0.7864","0.8054","0.8132","0.7918","0.8051"
"12","0.8133","0.8169","0.7563","0.8118","0.8143"
"13","0.8179","0.8063","0.7578","0.7892","0.7694"
"14","0.7934","0.8301","0.7963","0.8227","0.7159"
"15","0.8362","0.7385","0.7984","0.8057","0.7111"
"16","0.8123","0.8037","0.796","0.8153","0.7834"
"17","0.8363","0.7941","0.7279","0.769","0.755"
"18","0.8285","0.7905","0.8065","0.774","0.808"
"19","0.7951","0.8331","0.8306","0.798","0.762"
"20","0.8039","0.7983","0.8068","0.7796","0.8064"
"21","0.807","0.8452","0.8248","0.7454","0.7856"
"22","0.8086","0.8408","0.7984","0.7744","0.7808"
"23","0.8468","0.8336","0.8282","0.7858","0.8018"
"24","0.8161","0.81","0.7808","0.7767","0.7539"
"25","0.8188","0.8348","0.7936","0.7763","0.7953"
"26","0.8075","0.7946","0.8187","0.8265","0.751"
"27","0.8134","0.8416","0.7987","0.8192","0.7643"
"28","0.8497","0.8473","0.7632","0.8117","0.8058"
"29","0.7724","0.8513","0.8058","0.8131","0.8288"
"30","0.8294","0.7731","0.8059","0.8217","0.751"
"31","0.8348","0.8496","0.8234","0.813","0.7963"
"32","0.7949","0.7812","0.7255","0.7994","0.7909"
"33","0.7908","0.8355","0.7589","0.795","0.7494"
"34","0.8344","0.8216","0.8054","0.8273","0.7589"
"35","0.826","0.8398","0.8288","0.8196","0.7937"
"36","0.8228","0.8414","0.8012","0.7633","0.8204"
"37","0.8153","0.8","0.7856","0.7719","0.8385"
"38","0.8459","0.8292","0.8492","0.7738","0.7714"
"39","0.8339","0.8273","0.7558","0.7793","0.809"
"40","0.8394","0.8209","0.7828","0.7871","0.8222"
"41","0.8029","0.7846","0.7916","0.8184","0.8216"
"42","0.8551","0.8325","0.7928","0.8126","0.7951"
"43","0.8344","0.8073","0.8213","0.7638","0.8588"
"44","0.8106","0.8236","0.7926","0.7789","0.773"
"45","0.8441","0.7743","0.8169","0.796","0.8186"
"46","0.8112","0.8392","0.8153","0.7967","0.8295"
"47","0.8397","0.8026","0.8205","0.7791","0.7907"
"48","0.824","0.8474","0.823","0.7837","0.835"
"49","0.8121","0.8135","0.7566","0.816","0.8417"
"50","0.8131","0.8251","0.8433","0.82","0.8224"
"51","0.8456","0.8288","0.7744","0.8382","0.8033"
"52","0.8214","0.8352","0.8107","0.8271","0.8358"
"53","0.8394","0.8305","0.8128","0.8321","0.7964"
"54","0.8305","0.8533","0.8204","0.8197","0.8135"
"55","0.8309","0.8165","0.7767","0.8367","0.7842"
"56","0.8311","0.8329","0.7901","0.8338","0.8294"
"57","0.7947","0.7702","0.7911","0.8303","0.8427"
"58","0.7752","0.8437","0.7972","0.8493","0.8312"
"59","0.8367","0.8423","0.8111","0.8112","0.8257"
"60","0.7961","0.8334","0.791","0.8048","0.7801"
"61","0.91","0.9164","0.9097","0.911","0.9078"
"62","0.9082","0.9234","0.9168","0.9109","0.9142"
"63","0.9103","0.9168","0.9217","0.9077","0.9008"
"64","0.9099","0.9221","0.9187","0.9071","0.9074"
"65","0.908","0.9248","0.9136","0.9055","0.8947"
"66","0.9096","0.9192","0.916","0.9071","0.9129"
"67","0.9066","0.9189","0.9197","0.9137","0.9128"
"68","0.9097","0.917","0.9098","0.9044","0.9117"
"69","0.9023","0.9173","0.9114","0.9102","0.9101"
"70","0.8926","0.9145","0.9118","0.8962","0.9202"
"71","0.8853","0.9138","0.91","0.9117","0.913"
"72","0.8891","0.9105","0.9196","0.9053","0.9161"
"73","0.8752","0.9103","0.9102","0.885","0.9172"
"74","0.8818","0.91","0.9028","0.9033","0.909"
"75","0.8734","0.9082","0.9059","0.8968","0.9048"
"76","0.8844","0.9042","0.9103","0.9056","0.9124"
"77","0.8736","0.9089","0.9029","0.8827","0.9027"
"78","0.8869","0.9031","0.9042","0.9042","0.9075"
"79","0.8796","0.9053","0.9015","0.907","0.9148"
"80","0.8804","0.9111","0.9065","0.897","0.8982"
"81","0.8787","0.9114","0.9146","0.8972","0.9025"
"82","0.8758","0.9069","0.8983","0.9052","0.9069"
"83","0.8717","0.8965","0.9021","0.9073","0.9069"
"84","0.8678","0.9086","0.9007","0.9088","0.9156"
"85","0.879","0.9057","0.9094","0.9","0.9083"
"86","0.8692","0.9036","0.8989","0.8986","0.9167"
"87","0.8714","0.904","0.915","0.9021","0.9165"
"88","0.8745","0.8793","0.9025","0.9133","0.9121"
"89","0.8703","0.8936","0.91","0.8973","0.9198"
"90","0.8717","0.8943","0.9064","0.8947","0.9113"
"91","0.8586","0.906","0.9119","0.8964","0.9127"
"92","0.8769","0.9073","0.907","0.9123","0.903"
"93","0.8751","0.9044","0.9055","0.8938","0.9114"
"94","0.8685","0.9051","0.9008","0.9102","0.9058"
"95","0.8767","0.8989","0.9077","0.8923","0.9235"
"96","0.8781","0.9082","0.9025","0.8994","0.9132"
"97","0.8773","0.9074","0.9014","0.8952","0.9113"
"98","0.8731","0.9104","0.8992","0.9043","0.9151"
"99","0.8738","0.9076","0.9147","0.9174","0.9198"
"100","0.8719","0.8953","0.9153","0.911","0.9233"
"101","0.8827","0.913","0.9067","0.8802","0.9024"
"102","0.8721","0.9053","0.9108","0.9061","0.9136"
"103","0.8782","0.91","0.9014","0.8928","0.9097"
"104","0.8783","0.9005","0.9138","0.8986","0.9058"
"105","0.8657","0.9035","0.8847","0.9131","0.9088"
"106","0.8826","0.9011","0.8967","0.902","0.9189"
"107","0.8769","0.8931","0.9115","0.9053","0.8967"
"108","0.8762","0.9088","0.8891","0.8913","0.9142"
"109","0.8652","0.9065","0.9126","0.8971","0.9121"
"110","0.8812","0.9046","0.9149","0.9105","0.9107"
"111","0.8665","0.9035","0.9099","0.9175","0.9172"
"112","0.8772","0.9031","0.9064","0.9112","0.9093"
"113","0.863","0.9067","0.9062","0.9037","0.9168"
"114","0.8784","0.9148","0.8933","0.9012","0.9045"
"115","0.8696","0.9047","0.9122","0.9012","0.9198"
"116","0.8784","0.9116","0.8968","0.9172","0.9062"
"117","0.8634","0.9065","0.919","0.9149","0.9153"
"118","0.8816","0.8967","0.9043","0.9054","0.9121"
"119","0.8871","0.9096","0.9111","0.9172","0.9133"
"120","0.8811","0.8984","0.9174","0.9051","0.9137"
"121","0.9079","0.9394","0.9404","0.9372","0.9471"
"122","0.9124","0.9441","0.9436","0.9387","0.9464"
"123","0.9103","0.9414","0.9444","0.9388","0.9455"
"124","0.9116","0.9442","0.9434","0.9382","0.947"
"125","0.9124","0.9429","0.9441","0.94","0.949"
"126","0.9124","0.9436","0.9459","0.9424","0.95"
"127","0.9128","0.9413","0.9467","0.9417","0.9489"
"128","0.9129","0.9432","0.9456","0.94","0.951"
"129","0.9124","0.9416","0.9456","0.9384","0.948"
"130","0.9121","0.9395","0.9458","0.9385","0.9506"
"131","0.9117","0.9416","0.9446","0.945","0.9471"
"132","0.9125","0.9402","0.9414","0.9429","0.9509"
"133","0.9127","0.9424","0.9452","0.9416","0.9512"
"134","0.9131","0.9425","0.9443","0.9436","0.9483"
"135","0.913","0.942","0.9434","0.9423","0.9498"
"136","0.912","0.942","0.9428","0.9421","0.9496"
"137","0.9122","0.9439","0.9432","0.9402","0.9494"
