""
epoch,train_acc,test_acc
1,0.11812,0.1916
2,0.2536,0.2725
3,0.35934,0.366
4,0.432,0.4169
5,0.47638,0.4418
6,0.50556,0.4668
7,0.53314,0.4765
8,0.5525,0.4942
9,0.56568,0.5222
10,0.57416,0.502
11,0.58194,0.5326
12,0.59194,0.5305
13,0.5998,0.5118
14,0.6011,0.533
15,0.6055,0.5578
16,0.61508,0.5328
17,0.61798,0.53
18,0.62136,0.5076
19,0.62526,0.4989
20,0.62636,0.5502
21,0.62934,0.5495
22,0.63412,0.5805
23,0.63464,0.5538
24,0.6369,0.5296
25,0.64068,0.5576
26,0.64086,0.5103
27,0.64316,0.5558
28,0.64454,0.5351
29,0.64878,0.5773
30,0.6469,0.5447
31,0.65008,0.5622
32,0.65216,0.5813
33,0.64842,0.5726
34,0.65394,0.5617
35,0.65208,0.5582
36,0.656,0.5333
37,0.65678,0.5541
38,0.65578,0.5791
39,0.65486,0.4667
40,0.6603,0.5427
41,0.65856,0.57
42,0.65922,0.5576
43,0.65998,0.592
44,0.65902,0.5315
45,0.6616,0.5648
46,0.66156,0.5513
47,0.6616,0.5698
48,0.66474,0.524
49,0.66296,0.5228
50,0.65824,0.5665
51,0.66172,0.5537
52,0.66474,0.5603
53,0.66508,0.5538
54,0.66568,0.5493
55,0.66618,0.5578
56,0.66578,0.5396
57,0.6636,0.5755
58,0.66588,0.5792
59,0.66604,0.599
60,0.66818,0.5641
61,0.77602,0.7181
62,0.81154,0.7198
63,0.82148,0.7174
64,0.82862,0.7096
65,0.83518,0.7132
66,0.83968,0.7172
67,0.83884,0.7127
68,0.84116,0.7017
69,0.83958,0.7098
70,0.8408,0.7072
71,0.84268,0.6996
72,0.84422,0.7003
73,0.84546,0.6971
74,0.84132,0.6874
75,0.84296,0.6998
76,0.84562,0.6936
77,0.84512,0.6924
78,0.84494,0.6875
79,0.84462,0.6959
80,0.84462,0.6909
81,0.84842,0.7041
82,0.84934,0.6906
83,0.84836,0.6994
84,0.8521,0.6899
85,0.8483,0.6748
86,0.85406,0.68
87,0.8519,0.69
88,0.85172,0.6977
89,0.85684,0.6934
90,0.85644,0.6949
91,0.85462,0.682
92,0.8596,0.6876
93,0.86098,0.6838
94,0.86046,0.6915
95,0.86046,0.6967
96,0.86196,0.6767
97,0.8605,0.6933
98,0.86216,0.6874
99,0.86726,0.6835
100,0.86672,0.6811
101,0.86318,0.6764
102,0.86742,0.6854
103,0.87132,0.6881
104,0.86844,0.7
105,0.87226,0.6816
106,0.86702,0.6833
107,0.87018,0.6764
108,0.86932,0.6854
109,0.8706,0.6828
110,0.87648,0.6805
111,0.87086,0.6943
112,0.87264,0.6967
113,0.87554,0.6884
114,0.87692,0.6894
115,0.87328,0.6735
116,0.87646,0.6812
117,0.8743,0.686
118,0.87566,0.6893
119,0.87762,0.6875
120,0.87602,0.6879
121,0.94456,0.7556
122,0.96756,0.7593
123,0.97452,0.7626
124,0.98012,0.7584
125,0.98176,0.7616
126,0.98396,0.7579
127,0.98604,0.7611
128,0.9876,0.7583
129,0.98784,0.7589
130,0.98984,0.761
131,0.98966,0.7586
132,0.99038,0.7599
133,0.99198,0.7588
134,0.9914,0.7579
135,0.99144,0.758
136,0.9928,0.7594
137,0.9927,0.7603
138,0.99302,0.7571
139,0.99336,0.7569
140,0.99388,0.7569
141,0.9936,0.7577
142,0.99426,0.7547
143,0.99446,0.7588
144,0.9945,0.757
145,0.99492,0.7598
146,0.9951,0.7566
147,0.99492,0.7556
148,0.99536,0.7567
149,0.9952,0.7568
150,0.99466,0.7542
151,0.9947,0.7553
152,0.99456,0.7558
153,0.99494,0.7541
154,0.99476,0.7566
155,0.99464,0.7577
156,0.99508,0.7517
157,0.99508,0.7535
158,0.99506,0.756
159,0.99536,0.7571
160,0.99474,0.7583
161,0.99682,0.7616
162,0.99774,0.762
163,0.99788,0.7607
164,0.9979,0.7624
165,0.99794,0.7609
166,0.99816,0.764
167,0.99848,0.7615
168,0.9985,0.764
169,0.99856,0.7614
170,0.99842,0.7607
171,0.9984,0.7589
172,0.99872,0.7618
173,0.99856,0.7598
174,0.99856,0.7601
175,0.99882,0.7613
176,0.9987,0.762
177,0.99872,0.7612
178,0.99884,0.7623
179,0.99886,0.7599
180,0.99888,0.7629
181,0.99874,0.7608
182,0.99866,0.7603
183,0.99882,0.7589
184,0.9985,0.7598
185,0.99874,0.7599
186,0.99884,0.7619
187,0.9989,0.7609
188,0.99872,0.76
189,0.99892,0.7605
190,0.9989,0.7618
191,0.99884,0.7617
192,0.99892,0.7626
193,0.9991,0.762
194,0.9988,0.7608
195,0.99878,0.7595
196,0.99898,0.7614
197,0.99868,0.7608
198,0.99894,0.7618
199,0.99896,0.7618
200,0.99858,0.7589
""
epoch,train_acc,test_acc
1,0.12152,0.1821
2,0.2601,0.295
3,0.37622,0.3888
4,0.44162,0.4199
5,0.48396,0.4563
6,0.51658,0.4608
7,0.53938,0.4945
8,0.5576,0.4984
9,0.5683,0.5311
10,0.58256,0.521
11,0.58992,0.5351
12,0.59732,0.5299
13,0.60312,0.5253
14,0.60824,0.5151
15,0.61286,0.5201
16,0.618,0.5219
17,0.62278,0.53
18,0.62598,0.5389
19,0.62794,0.5439
20,0.62804,0.5626
21,0.63188,0.5818
22,0.63558,0.5329
23,0.63882,0.5572
24,0.64244,0.456
25,0.64006,0.5431
26,0.64242,0.5641
27,0.6451,0.5586
28,0.64584,0.5502
29,0.64712,0.5614
30,0.65162,0.5769
31,0.65428,0.568
32,0.65328,0.561
33,0.6524,0.5513
34,0.65768,0.5524
35,0.6564,0.5282
36,0.65664,0.5495
37,0.65628,0.5636
38,0.6582,0.5582
39,0.66036,0.5435
40,0.661,0.5062
41,0.66314,0.5721
42,0.66204,0.5719
43,0.66094,0.5834
44,0.66304,0.5403
45,0.663,0.5445
46,0.66514,0.5554
47,0.6624,0.5472
48,0.66378,0.5558
49,0.66458,0.5483
50,0.66344,0.5708
51,0.66478,0.5903
52,0.66666,0.5079
53,0.66498,0.5349
54,0.66848,0.5418
55,0.66544,0.5672
56,0.66724,0.5593
57,0.66636,0.5769
58,0.66654,0.5825
59,0.66832,0.5928
60,0.66724,0.5719
61,0.77646,0.7231
62,0.80992,0.7217
63,0.8234,0.7274
64,0.82946,0.7288
65,0.83436,0.7184
66,0.83784,0.7206
67,0.83978,0.7178
68,0.8425,0.7221
69,0.84374,0.7015
70,0.8425,0.7035
71,0.8438,0.6943
72,0.84206,0.7013
73,0.84268,0.6993
74,0.84428,0.6932
75,0.84426,0.6914
76,0.84394,0.7014
77,0.84696,0.695
78,0.84456,0.6719
79,0.84938,0.6946
80,0.8467,0.695
81,0.84832,0.6883
82,0.84878,0.706
83,0.84872,0.6924
84,0.8495,0.6898
85,0.84958,0.6917
86,0.85096,0.684
87,0.85494,0.6857
88,0.85232,0.689
89,0.85258,0.6851
90,0.85484,0.6785
91,0.85942,0.6889
92,0.85684,0.6928
93,0.86024,0.6868
94,0.85708,0.6805
95,0.86016,0.6941
96,0.86372,0.6727
97,0.8641,0.6712
98,0.86456,0.6809
99,0.86372,0.7008
100,0.86716,0.6704
101,0.86566,0.6879
102,0.8664,0.6679
103,0.86802,0.6882
104,0.86792,0.6929
105,0.87038,0.6886
106,0.8662,0.6593
107,0.87118,0.6903
108,0.86942,0.6914
109,0.87444,0.6939
110,0.87322,0.6861
111,0.87404,0.681
112,0.8722,0.6817
113,0.87354,0.698
114,0.8723,0.6972
115,0.87084,0.6775
116,0.87938,0.6913
117,0.8762,0.6888
118,0.87678,0.6886
119,0.8774,0.6931
120,0.87636,0.6865
121,0.94246,0.754
122,0.96802,0.7527
123,0.97428,0.7581
124,0.97914,0.7569
125,0.98204,0.7552
126,0.98462,0.7565
127,0.9858,0.7558
128,0.98788,0.7542
129,0.98948,0.7568
130,0.98914,0.7574
131,0.9904,0.759
132,0.99058,0.7549
133,0.99038,0.7537
134,0.99104,0.7538
135,0.99138,0.7531
136,0.99162,0.7568
137,0.99312,0.7544
138,0.99302,0.7543
139,0.99346,0.7518
140,0.99432,0.7524
