""
epoch,train_acc,test_acc
1,0.12648,0.194
2,0.2762,0.3307
3,0.39452,0.4019
4,0.46742,0.4573
5,0.51708,0.4802
6,0.55406,0.4783
7,0.57634,0.4927
8,0.59774,0.4839
9,0.6125,0.5431
10,0.62666,0.5297
11,0.63404,0.5355
12,0.64528,0.5264
13,0.64828,0.5058
14,0.65426,0.5258
15,0.6609,0.5522
16,0.66672,0.5062
17,0.67174,0.5441
18,0.6731,0.5327
19,0.67816,0.5512
20,0.68212,0.5616
21,0.687,0.5588
22,0.69038,0.5611
23,0.692,0.5577
24,0.69416,0.5756
25,0.69878,0.5539
26,0.69866,0.5621
27,0.70084,0.5612
28,0.70212,0.5885
29,0.70402,0.552
30,0.70652,0.559
31,0.70786,0.5647
32,0.71038,0.5643
33,0.71032,0.5706
34,0.70974,0.5154
35,0.71618,0.5901
36,0.71388,0.5745
37,0.71662,0.5596
38,0.7161,0.5561
39,0.71748,0.576
40,0.71616,0.5497
41,0.71824,0.5878
42,0.72202,0.5402
43,0.71746,0.5632
44,0.72278,0.558
45,0.72456,0.5642
46,0.72014,0.5721
47,0.7221,0.5138
48,0.72524,0.5677
49,0.72492,0.5507
50,0.72706,0.5757
51,0.72644,0.5636
52,0.72716,0.5441
53,0.72592,0.5631
54,0.73004,0.5716
55,0.72712,0.5729
56,0.72854,0.5744
57,0.72872,0.5955
58,0.72854,0.5716
59,0.73076,0.5862
60,0.72994,0.5852
61,0.86842,0.7156
62,0.92962,0.7104
63,0.95848,0.7012
64,0.97496,0.71
65,0.9863,0.7003
66,0.99226,0.7028
67,0.99566,0.7011
68,0.99632,0.6966
69,0.99734,0.7022
70,0.99792,0.7005
71,0.99768,0.6964
72,0.99494,0.6878
73,0.96838,0.6491
74,0.92424,0.6392
75,0.9263,0.6486
76,0.93342,0.6569
77,0.94762,0.6472
78,0.9494,0.6552
79,0.95238,0.6527
80,0.95088,0.6382
81,0.95018,0.6315
82,0.95214,0.6587
83,0.95376,0.6626
84,0.95166,0.6544
85,0.95924,0.6424
86,0.95356,0.6509
87,0.95554,0.6515
88,0.9551,0.6474
89,0.95802,0.646
90,0.95794,0.6488
91,0.96086,0.6349
92,0.9555,0.6452
93,0.95202,0.6465
94,0.95558,0.6378
95,0.95758,0.6484
96,0.9626,0.6556
97,0.96608,0.647
98,0.96042,0.6465
99,0.95944,0.6386
100,0.95478,0.6459
101,0.95366,0.6385
102,0.95246,0.6532
103,0.95696,0.6333
104,0.9624,0.6387
105,0.96692,0.6508
106,0.96634,0.6528
107,0.96006,0.6371
108,0.95864,0.6437
109,0.95788,0.6341
110,0.9593,0.6294
111,0.95302,0.6247
112,0.96172,0.6361
113,0.96884,0.6465
114,0.96574,0.6479
115,0.96408,0.6448
116,0.95732,0.6278
117,0.95764,0.6469
118,0.96358,0.6391
119,0.95878,0.641
120,0.95818,0.6461
121,0.99148,0.7036
122,0.99934,0.7051
123,0.99962,0.7049
124,0.99972,0.7071
125,0.99962,0.7047
126,0.9996,0.7061
127,0.99972,0.7086
128,0.9997,0.7064
129,0.99976,0.7038
130,0.99974,0.706
131,0.99962,0.7053
132,0.99972,0.704
133,0.99976,0.7051
134,0.99974,0.7041
135,0.99972,0.7062
136,0.99968,0.7055
137,0.99972,0.7053
138,0.99974,0.7053
139,0.9997,0.7056
140,0.99976,0.7046
141,0.99976,0.7045
142,0.99972,0.7048
143,0.99972,0.7031
144,0.99972,0.7043
145,0.99972,0.7049
146,0.99974,0.7051
147,0.99972,0.704
148,0.99974,0.7027
149,0.9998,0.7027
150,0.99968,0.7046
151,0.99976,0.7058
152,0.99972,0.7034
153,0.99974,0.7006
154,0.99978,0.7037
155,0.99976,0.7057
156,0.99978,0.7047
157,0.9997,0.7043
158,0.9997,0.7051
159,0.99974,0.7053
160,0.99978,0.704
161,0.99986,0.704
162,0.99984,0.7031
163,0.99978,0.7052
164,0.99978,0.7023
165,0.99976,0.7068
166,0.99972,0.704
167,0.9997,0.7034
168,0.9998,0.7048
169,0.99976,0.7032
170,0.9998,0.7033
171,0.99972,0.7015
172,0.99974,0.703
173,0.99976,0.7041
174,0.99974,0.7034
175,0.9998,0.7042
176,0.9998,0.704
177,0.99968,0.7046
178,0.99982,0.7048
179,0.99982,0.7044
180,0.99978,0.7009
181,0.99974,0.7035
182,0.99974,0.7019
183,0.99988,0.702
184,0.9998,0.7021
185,0.9998,0.7035
186,0.99982,0.7038
187,0.99976,0.7024
188,0.99978,0.702
189,0.99976,0.7029
190,0.99974,0.7019
191,0.99986,0.7045
192,0.99972,0.7027
193,0.99976,0.7034
194,0.9998,0.7021
195,0.99974,0.704
196,0.99978,0.7015
197,0.99976,0.7031
198,0.99978,0.7019
199,0.99976,0.7025
200,0.99978,0.7002
""
epoch,train_acc,test_acc
1,0.12954,0.2048
2,0.2872,0.3438
3,0.40038,0.4031
4,0.47024,0.4402
5,0.51888,0.4753
6,0.5508,0.472
7,0.57374,0.5006
8,0.59112,0.5164
9,0.60648,0.5193
10,0.62014,0.546
11,0.62656,0.492
12,0.6386,0.5436
13,0.6414,0.4995
14,0.65012,0.5348
15,0.66038,0.5358
16,0.66128,0.5489
17,0.66554,0.5279
18,0.67158,0.5285
19,0.67572,0.542
20,0.67808,0.5613
21,0.68256,0.5409
22,0.68526,0.4981
23,0.68826,0.5567
24,0.69224,0.5449
25,0.69186,0.5848
26,0.69648,0.5624
27,0.69584,0.5803
28,0.69686,0.5786
29,0.70254,0.5322
30,0.7037,0.5771
31,0.70536,0.5456
32,0.70616,0.5823
33,0.70842,0.5669
34,0.70852,0.578
35,0.71184,0.5643
36,0.71376,0.5649
37,0.71586,0.5741
38,0.71506,0.5522
39,0.71464,0.571
40,0.71644,0.5471
41,0.71928,0.5548
42,0.72034,0.5695
