epoch,train_acc,test_acc
1,0.09804,0.1434
2,0.20208,0.2216
3,0.2836,0.3384
4,0.3439,0.3613
5,0.3882,0.3388
6,0.42138,0.2985
7,0.44172,0.4091
8,0.45792,0.4759
9,0.46592,0.457
10,0.48092,0.4334
11,0.48926,0.4929
12,0.4949,0.4585
13,0.50436,0.4732
14,0.51092,0.467
15,0.51632,0.4861
16,0.52272,0.4801
17,0.53012,0.5193
18,0.53068,0.4851
19,0.5334,0.4755
20,0.53666,0.5209
21,0.53828,0.5233
22,0.5472,0.4883
23,0.54512,0.483
24,0.54756,0.529
25,0.55106,0.527
26,0.55402,0.5047
27,0.55454,0.5503
28,0.55806,0.5488
29,0.5594,0.5102
30,0.55936,0.5529
31,0.56172,0.5407
32,0.56168,0.52
33,0.56104,0.4689
34,0.5627,0.4873
35,0.56808,0.5543
36,0.56512,0.4878
37,0.56904,0.5079
38,0.56684,0.5305
39,0.56636,0.5289
40,0.56642,0.5369
41,0.57048,0.5719
42,0.5672,0.5615
43,0.57002,0.5034
44,0.57324,0.5321
45,0.57366,0.4813
46,0.57144,0.5692
47,0.57414,0.5725
48,0.57502,0.5416
49,0.57696,0.5128
50,0.5714,0.5621
51,0.57278,0.5477
52,0.57282,0.5461
53,0.57946,0.5273
54,0.57656,0.5368
55,0.5767,0.5188
56,0.57536,0.5276
57,0.57586,0.5431
58,0.57566,0.5402
59,0.57844,0.5505
60,0.57726,0.5324
61,0.67482,0.694
62,0.70392,0.7029
63,0.71138,0.6993
64,0.71768,0.7035
65,0.72004,0.7068
66,0.72296,0.6968
67,0.72538,0.7039
68,0.72538,0.7019
69,0.72716,0.6914
70,0.72682,0.7003
71,0.72598,0.6896
72,0.7237,0.6922
73,0.72928,0.6875
74,0.72588,0.6788
75,0.7273,0.6905
76,0.7288,0.6981
77,0.72972,0.7007
78,0.7316,0.7022
79,0.73178,0.6932
80,0.72994,0.6831
81,0.73284,0.6961
82,0.73276,0.6788
83,0.73636,0.6894
84,0.73384,0.6971
85,0.73154,0.6795
86,0.73586,0.6918
87,0.73546,0.6937
88,0.73734,0.6878
89,0.73738,0.686
90,0.73852,0.6971
91,0.73836,0.6909
92,0.7431,0.6964
93,0.74036,0.6861
94,0.73958,0.7045
95,0.7396,0.6909
96,0.7441,0.6862
97,0.74338,0.6963
98,0.74428,0.6707
99,0.7459,0.6931
100,0.7435,0.6952
101,0.74638,0.7004
102,0.74876,0.6874
103,0.74742,0.6883
104,0.74828,0.7033
105,0.74808,0.6923
106,0.74864,0.6998
107,0.74958,0.6824
108,0.74884,0.7005
109,0.75408,0.685
110,0.75356,0.6863
111,0.75002,0.695
112,0.75232,0.6887
113,0.75164,0.6908
114,0.75394,0.6877
115,0.75508,0.6941
116,0.7571,0.6779
117,0.7542,0.6826
118,0.75484,0.6924
119,0.7568,0.6939
120,0.7587,0.6972
121,0.8257,0.7597
122,0.8475,0.7622
123,0.85536,0.7614
124,0.86018,0.7594
125,0.86812,0.7618
126,0.8693,0.762
127,0.87162,0.7629
128,0.8733,0.7625
129,0.87518,0.7625
130,0.87842,0.7595
131,0.88058,0.7563
132,0.88082,0.761
133,0.88356,0.761
134,0.88616,0.7563
135,0.88324,0.7566
136,0.88476,0.7606
137,0.88754,0.7516
138,0.88858,0.76
139,0.88898,0.7566
140,0.8914,0.7583
141,0.8888,0.7568
142,0.89062,0.7552
143,0.88908,0.7499
144,0.891,0.7531
145,0.89428,0.7514
146,0.89408,0.756
147,0.89236,0.7538
