""
epoch,train_acc,test_acc
1,0.04956,0.0893
2,0.07912,0.0972
3,0.09716,0.113
4,0.1053,0.1145
5,0.11632,0.1325
6,0.12302,0.128
7,0.12746,0.141
8,0.12818,0.1473
9,0.1286,0.1445
10,0.13262,0.1636
11,0.1343,0.1384
12,0.1373,0.1505
13,0.14202,0.1483
14,0.14168,0.136
15,0.14034,0.1569
16,0.14096,0.1594
17,0.1368,0.1487
18,0.13962,0.1475
19,0.14354,0.1644
20,0.14214,0.1442
21,0.14298,0.1418
22,0.1438,0.151
23,0.14614,0.1683
24,0.14538,0.1645
25,0.14352,0.1638
26,0.14514,0.1607
27,0.14708,0.1579
28,0.14788,0.1426
29,0.14568,0.1472
30,0.14628,0.1115
31,0.15058,0.1342
32,0.14556,0.1501
33,0.14868,0.1652
34,0.15088,0.1604
35,0.1499,0.1383
36,0.1494,0.1493
37,0.14864,0.1606
38,0.15006,0.1736
39,0.1456,0.161
40,0.14986,0.1635
41,0.14632,0.1362
42,0.15112,0.1621
43,0.14758,0.1708
44,0.15224,0.1565
45,0.15048,0.1446
46,0.14876,0.1534
47,0.13796,0.1734
48,0.14648,0.1401
49,0.13998,0.1618
50,0.1486,0.1565
51,0.15078,0.1439
52,0.14878,0.1329
53,0.15074,0.1492
54,0.1505,0.1627
55,0.15224,0.1715
56,0.14908,0.1584
57,0.14578,0.149
58,0.15112,0.1712
59,0.14422,0.1552
60,0.14004,0.1627
61,0.2028,0.2387
62,0.231,0.2544
63,0.24624,0.2752
64,0.25622,0.2773
65,0.25862,0.2737
66,0.26846,0.2876
67,0.27112,0.2887
68,0.2758,0.2865
69,0.2767,0.3007
70,0.27906,0.2951
71,0.28342,0.2985
72,0.28636,0.296
73,0.2878,0.3106
74,0.2906,0.304
75,0.2929,0.3206
76,0.294,0.3109
77,0.2923,0.309
78,0.29694,0.3074
79,0.29748,0.3143
80,0.3006,0.2997
81,0.3,0.3178
82,0.3003,0.3109
83,0.2985,0.2842
84,0.30262,0.3208
85,0.30212,0.3091
86,0.30136,0.3097
87,0.3053,0.2925
88,0.30632,0.3245
89,0.30344,0.3172
90,0.30674,0.3119
91,0.30768,0.3087
92,0.30578,0.3171
93,0.30694,0.3281
94,0.30862,0.3151
95,0.31182,0.3271
96,0.3063,0.3115
97,0.31108,0.3143
98,0.31014,0.334
99,0.30982,0.3152
100,0.30966,0.3278
101,0.31456,0.3176
102,0.30892,0.3214
103,0.314,0.3186
104,0.3166,0.322
105,0.3146,0.3299
106,0.31428,0.3076
107,0.31228,0.3137
108,0.31422,0.3291
109,0.3156,0.3261
110,0.31352,0.3341
111,0.31466,0.3119
112,0.31118,0.2989
113,0.31312,0.3264
114,0.31534,0.3251
115,0.31374,0.2906
116,0.31402,0.3352
117,0.31798,0.3261
118,0.3166,0.3281
119,0.31672,0.3191
120,0.3157,0.3322
121,0.36296,0.3747
122,0.3756,0.3823
123,0.38,0.3826
124,0.3821,0.3861
125,0.38356,0.3766
126,0.38642,0.3827
127,0.3892,0.379
128,0.38698,0.3929
129,0.3869,0.3793
130,0.3877,0.3823
131,0.39008,0.389
132,0.3925,0.3859
133,0.39166,0.3869
134,0.39252,0.3874
135,0.39372,0.39
136,0.38882,0.3876
137,0.39388,0.3952
138,0.3953,0.3869
139,0.39478,0.3904
140,0.39546,0.3781
141,0.39272,0.3853
142,0.396,0.3875
143,0.39348,0.3893
144,0.39586,0.3873
145,0.39874,0.3945
146,0.395,0.3927
147,0.39898,0.3902
148,0.39724,0.3977
149,0.39544,0.3885
150,0.39914,0.3901
151,0.39912,0.3894
152,0.3998,0.3974
153,0.3997,0.3917
154,0.39936,0.3922
155,0.39724,0.3886
156,0.39768,0.3905
157,0.39704,0.3871
158,0.3993,0.392
159,0.39714,0.3879
160,0.4002,0.3957
161,0.42072,0.4113
162,0.42342,0.409
163,0.4233,0.4115
164,0.42448,0.4086
165,0.42404,0.4092
166,0.43128,0.4098
167,0.42924,0.4138
168,0.42812,0.4087
169,0.42502,0.4147
170,0.42758,0.4123
171,0.42854,0.4149
172,0.42894,0.4104
173,0.42538,0.4133
174,0.42964,0.415
175,0.42932,0.4134
176,0.42798,0.415
177,0.43052,0.4168
178,0.4291,0.4133
179,0.42726,0.4168
180,0.428,0.4164
181,0.43082,0.4165
182,0.42964,0.4155
183,0.43102,0.4172
184,0.4297,0.4145
185,0.42962,0.4177
186,0.4292,0.4161
187,0.4315,0.4163
188,0.42852,0.4157
189,0.42876,0.4162
190,0.43052,0.418
191,0.43134,0.4142
192,0.43232,0.418
193,0.43308,0.4158
194,0.42936,0.4196
195,0.43018,0.4189
196,0.43234,0.4191
197,0.43056,0.4166
198,0.43476,0.4198
199,0.43062,0.4201
200,0.43146,0.4182
""
epoch,train_acc,test_acc
1,0.05268,0.0942
2,0.08524,0.095
3,0.1033,0.1202
4,0.11296,0.1378
5,0.12162,0.1365
6,0.13,0.1474
7,0.13164,0.1446
8,0.1347,0.1572
9,0.13978,0.1412
10,0.13732,0.1337
11,0.1332,0.1529
12,0.14036,0.1509
13,0.14158,0.1628
14,0.14354,0.1674
15,0.14388,0.1697
16,0.14842,0.1492
17,0.15062,0.1695
18,0.14794,0.1657
19,0.14672,0.1613
20,0.15186,0.1528
21,0.14674,0.1602
22,0.1476,0.1525
23,0.1502,0.1706
24,0.14928,0.1693
25,0.15134,0.1699
26,0.1526,0.1503
27,0.15086,0.1533
28,0.1491,0.1718
29,0.15252,0.1464
30,0.1499,0.1515
31,0.15296,0.1574
32,0.15196,0.1649
33,0.15034,0.1737
34,0.1509,0.1558
35,0.15232,0.1763
36,0.15024,0.1707
37,0.153,0.1768
38,0.15368,0.1784
39,0.15402,0.1524
40,0.14748,0.1683
41,0.15012,0.1809
42,0.15396,0.1686
43,0.15092,0.1653
44,0.15308,0.1575
45,0.1548,0.158
46,0.15372,0.1716
47,0.1492,0.1438
48,0.1539,0.1411
49,0.15106,0.1692
50,0.15308,0.168
51,0.15576,0.179
52,0.15062,0.1539
53,0.15462,0.1415
54,0.1535,0.1624
55,0.1568,0.1696
56,0.1509,0.182
57,0.15258,0.1783
58,0.15362,0.1674
59,0.1546,0.1559
60,0.15676,0.1709
61,0.216,0.2463
62,0.23788,0.2575
63,0.24952,0.2641
64,0.25712,0.2746
65,0.2652,0.279
66,0.26674,0.2867
67,0.26876,0.2832
68,0.27634,0.2984
69,0.27952,0.2923
70,0.27942,0.2876
71,0.28252,0.2937
72,0.2853,0.3005
73,0.2886,0.2936
74,0.28848,0.2977
75,0.28982,0.3032
76,0.28906,0.3049
77,0.29124,0.3003
78,0.29256,0.2989
79,0.29582,0.3109
80,0.29696,0.3029
81,0.2968,0.2974
82,0.29996,0.3006
83,0.29814,0.3033
84,0.29904,0.3003
85,0.3014,0.3207
86,0.30278,0.306
87,0.30076,0.3112
88,0.30364,0.3138
89,0.3056,0.3008
90,0.30222,0.3088
91,0.30572,0.3085
92,0.30478,0.317
93,0.30376,0.3104
94,0.3065,0.3
95,0.305,0.2995
96,0.30492,0.3126
97,0.30944,0.3256
98,0.31024,0.3258
99,0.30902,0.3142
100,0.31034,0.3094
101,0.3109,0.3167
102,0.30934,0.3017
103,0.31114,0.3156
104,0.31106,0.3088
105,0.3133,0.3275
106,0.316,0.3286
