""
epoch,train_acc,test_acc
1,0.04113813117146492,0.0844
2,0.07604985684156418,0.1196
3,0.08915750682353973,0.1274
""
epoch,train_acc,test_acc
""
epoch,train_acc,test_acc
1,0.03735692426562309,0.0886
2,0.07361087948083878,0.113
3,0.09427125006914139,0.1548
4,0.09834303706884384,0.162
5,0.1081453189253807,0.1596
6,0.11035410314798355,0.1648
7,0.11057940125465393,0.1645
8,0.11490723490715027,0.1919
9,0.118179090321064,0.187
10,0.12006331235170364,0.1698
11,0.1226060539484024,0.1762
12,0.12213927507400513,0.1899
13,0.12673741579055786,0.1628
14,0.1242581233382225,0.1808
15,0.1253032684326172,0.1648
16,0.12611006200313568,0.1896
17,0.1285199522972107,0.1917
18,0.12562863528728485,0.166
19,0.12667766213417053,0.2067
20,0.12740591168403625,0.1872
21,0.13084767758846283,0.1915
22,0.12754683196544647,0.1915
23,0.1299658715724945,0.1928
24,0.1317833960056305,0.1669
25,0.1288016438484192,0.2061
26,0.13161444664001465,0.1922
27,0.13090009987354279,0.194
28,0.13193479180335999,0.1761
29,0.134415403008461,0.1846
30,0.13084839284420013,0.1766
31,0.135237455368042,0.2008
32,0.13193334639072418,0.2043
33,0.1314859241247177,0.1951
34,0.1304527372121811,0.1898
35,0.13006120920181274,0.2008
36,0.1330132931470871,0.1991
37,0.13009336590766907,0.1778
38,0.12912434339523315,0.2118
39,0.13110381364822388,0.202
40,0.1300257295370102,0.2002
41,0.13458473980426788,0.205
42,0.13308025896549225,0.1932
43,0.1337497979402542,0.2007
44,0.13378670811653137,0.2001
45,0.13374853134155273,0.2116
46,0.13726814091205597,0.2088
47,0.13251300156116486,0.1793
48,0.13376621901988983,0.1944
49,0.13095049560070038,0.2184
50,0.13058774173259735,0.2153
51,0.13502521812915802,0.1924
52,0.13546347618103027,0.2067
53,0.1317286193370819,0.2236
54,0.13448557257652283,0.1892
55,0.1350547969341278,0.2044
56,0.13221177458763123,0.192
57,0.13354060053825378,0.2007
58,0.13296234607696533,0.2083
59,0.1351982206106186,0.1877
60,0.13035394251346588,0.2195
61,0.17356902360916138,0.2768
62,0.1871419996023178,0.2987
63,0.19234193861484528,0.3021
64,0.199019655585289,0.2974
65,0.20198197662830353,0.3006
66,0.20339348912239075,0.3087
67,0.20454873144626617,0.309
68,0.2036304473876953,0.313
69,0.2049873173236847,0.3215
70,0.20076510310173035,0.3212
71,0.2119850367307663,0.3176
72,0.2118755280971527,0.3098
73,0.2146672010421753,0.328
74,0.21082662045955658,0.3248
75,0.2101515382528305,0.3236
76,0.2150619477033615,0.3343
77,0.2153133600950241,0.3243
78,0.21057476103305817,0.3389
79,0.21173766255378723,0.3259
80,0.21035009622573853,0.3309
81,0.2166173756122589,0.3275
82,0.21552342176437378,0.3226
83,0.20823921263217926,0.3315
84,0.21455225348472595,0.3334
85,0.21602334082126617,0.3333
86,0.21495814621448517,0.3223
87,0.21748307347297668,0.3345
88,0.21518078446388245,0.3283
89,0.21862894296646118,0.3202
90,0.2181536853313446,0.3439
91,0.21700215339660645,0.3177
92,0.21997126936912537,0.327
93,0.21610070765018463,0.3294
94,0.21596549451351166,0.3378
95,0.21683306992053986,0.3348
96,0.224473237991333,0.3433
97,0.21863344311714172,0.3384
98,0.21986913681030273,0.338
99,0.21703611314296722,0.3332
100,0.21933157742023468,0.3214
101,0.22387728095054626,0.3481
102,0.21668139100074768,0.3403
103,0.22567473351955414,0.3368
104,0.21591943502426147,0.3428
105,0.22476691007614136,0.3289
106,0.2173622101545334,0.3432
107,0.22859381139278412,0.3476
108,0.2168513536453247,0.3517
109,0.22421970963478088,0.3323
110,0.22566986083984375,0.3456
111,0.2233801782131195,0.3405
112,0.22738149762153625,0.3551
113,0.22777068614959717,0.3347
114,0.21855409443378448,0.3419
115,0.22269414365291595,0.3121
116,0.22392377257347107,0.3484
117,0.22963951528072357,0.3175
118,0.22535721957683563,0.3403
119,0.22405149042606354,0.3353
120,0.2257818579673767,0.3344
121,0.2475334107875824,0.3857
122,0.24650804698467255,0.3882
123,0.25520530343055725,0.3855
124,0.2564976215362549,0.3792
125,0.25344350934028625,0.3881
126,0.26050272583961487,0.383
127,0.261540025472641,0.3922
128,0.25499555468559265,0.3898
129,0.2523401081562042,0.3841
130,0.25992506742477417,0.3886
131,0.26056772470474243,0.3915
132,0.2565685212612152,0.3903
133,0.2640935182571411,0.3934
134,0.2569514214992523,0.3979
135,0.254917174577713,0.3979
136,0.2560039162635803,0.39
137,0.2584867477416992,0.3945
138,0.26767319440841675,0.3896
139,0.26075679063796997,0.3951
140,0.26212722063064575,0.3978
141,0.2568514049053192,0.4034
142,0.2613826096057892,0.4003
143,0.2623119056224823,0.3896
144,0.2593892216682434,0.3991
145,0.26126983761787415,0.3932
146,0.2632959485054016,0.3991
147,0.2565677762031555,0.3876
148,0.2615492045879364,0.3884
149,0.27070140838623047,0.3952
150,0.2626775801181793,0.3947
151,0.2577497661113739,0.3929
152,0.2581532597541809,0.3897
153,0.26654332876205444,0.4025
154,0.2567729353904724,0.4077
155,0.25971177220344543,0.3863
156,0.2613089382648468,0.4048
157,0.2660777270793915,0.4083
158,0.27008897066116333,0.3963
159,0.25083059072494507,0.3915
160,0.2637155055999756,0.4031
161,0.2700563371181488,0.4139
162,0.2742874324321747,0.4165
163,0.27322953939437866,0.4162
164,0.27905359864234924,0.408
165,0.2797195017337799,0.4113
166,0.27642157673835754,0.4065
167,0.27772295475006104,0.4122
168,0.27435606718063354,0.4137
169,0.2823014557361603,0.4184
170,0.27430668473243713,0.4226
171,0.2724883258342743,0.4186
172,0.2724197804927826,0.4123
173,0.280538409948349,0.4145
174,0.2827373147010803,0.4185
175,0.2750290632247925,0.4132
176,0.26417991518974304,0.4125
177,0.28140386939048767,0.4172
178,0.2801157534122467,0.4202
179,0.26805344223976135,0.419
180,0.27147409319877625,0.4142
181,0.2858133018016815,0.4157
182,0.27928298711776733,0.4092
183,0.28224173188209534,0.41
184,0.2827973961830139,0.4182
185,0.27181994915008545,0.4146
186,0.28514784574508667,0.4187
187,0.28392910957336426,0.4255
188,0.2831769287586212,0.4212
189,0.273820698261261,0.4159
190,0.27369561791419983,0.4128
191,0.2784351706504822,0.42
192,0.2756606638431549,0.4075
193,0.27441471815109253,0.41
194,0.2813395857810974,0.4198
195,0.2760908901691437,0.4224
196,0.2753008008003235,0.419
197,0.27841508388519287,0.407
198,0.2818223237991333,0.4139
199,0.277010977268219,0.4181
200,0.2827243506908417,0.412
""
epoch,train_acc,test_acc
1,0.03746393695473671,0.08
2,0.07269976288080215,0.1073
3,0.08945050090551376,0.1336
4,0.09787828475236893,0.1653
5,0.10185126215219498,0.156
6,0.10781914740800858,0.1722
7,0.11651794612407684,0.1609
8,0.11763355135917664,0.1704
9,0.11612212657928467,0.1834
10,0.12102722376585007,0.1654
11,0.12276627123355865,0.1807
12,0.12328888475894928,0.1913
13,0.12666122615337372,0.1781
14,0.12489688396453857,0.1667
15,0.12329059839248657,0.1831
16,0.12399325519800186,0.1773
17,0.12525728344917297,0.2003
18,0.12497324496507645,0.1951
19,0.12633970379829407,0.1697
20,0.12959745526313782,0.1956
21,0.12566488981246948,0.1782
22,0.13080620765686035,0.1905
23,0.12620723247528076,0.2114
24,0.12989658117294312,0.207
25,0.13262519240379333,0.2129
26,0.1307631880044937,0.1938
27,0.131410151720047,0.2207
28,0.13043265044689178,0.2008
29,0.13232263922691345,0.1897
30,0.12931028008460999,0.1924
31,0.13338132202625275,0.2004
32,0.1354585438966751,0.1835
33,0.12572534382343292,0.1816
34,0.1286173015832901,0.2083
35,0.13001586496829987,0.2036
36,0.12736034393310547,0.1717
37,0.13037769496440887,0.1934
38,0.13043099641799927,0.2053
39,0.13134893774986267,0.2057
40,0.13213789463043213,0.2043
41,0.1361834555864334,0.2036
42,0.1322464942932129,0.2018
43,0.13175097107887268,0.2222
44,0.1345040202140808,0.1896
45,0.13358332216739655,0.1963
46,0.13242240250110626,0.1992
47,0.13174483180046082,0.1768
48,0.13423065841197968,0.1994
49,0.13417010009288788,0.1855
50,0.13288559019565582,0.2137
51,0.131224125623703,0.1974
52,0.13334481418132782,0.2048
53,0.1343793421983719,0.2035
54,0.13679395616054535,0.1985
55,0.13397227227687836,0.2052
56,0.1372489482164383,0.1941
57,0.13492758572101593,0.1911
58,0.1374279260635376,0.2018
59,0.1342419683933258,0.1974
60,0.13609248399734497,0.2002
61,0.17393343150615692,0.2838
62,0.18907923996448517,0.3
63,0.1971474438905716,0.3061
64,0.19796094298362732,0.3078
65,0.19403590261936188,0.3016
66,0.20239615440368652,0.3184
67,0.20494650304317474,0.3173
68,0.20818594098091125,0.3234
69,0.20586033165454865,0.3235
70,0.21189692616462708,0.318
71,0.21175310015678406,0.312
72,0.20797203481197357,0.3213
73,0.21298514306545258,0.3284
74,0.21283620595932007,0.3301
75,0.21308794617652893,0.3287
76,0.21175718307495117,0.3369
77,0.21301418542861938,0.3327
78,0.20945626497268677,0.3284
79,0.21707557141780853,0.3178
80,0.21347752213478088,0.3386
81,0.208652064204216,0.323
82,0.2200707644224167,0.3337
83,0.21531417965888977,0.3239
84,0.2125743180513382,0.3291
85,0.21197287738323212,0.3354
86,0.21666556596755981,0.3332
87,0.21874849498271942,0.325
88,0.21832211315631866,0.3389
89,0.2150074988603592,0.3325
90,0.21655312180519104,0.3521
91,0.21589887142181396,0.3307
92,0.21639245748519897,0.3314
93,0.2188841849565506,0.3293
94,0.22291786968708038,0.3278
95,0.21964256465435028,0.3327
96,0.22417868673801422,0.3325
97,0.2220286726951599,0.3415
98,0.21443355083465576,0.3262
99,0.22110436856746674,0.3284
100,0.22020936012268066,0.3372
101,0.22030116617679596,0.3417
102,0.22398269176483154,0.3416
103,0.22246034443378448,0.3404
104,0.22574865818023682,0.3401
105,0.2296387106180191,0.339
106,0.21653854846954346,0.34
107,0.22338777780532837,0.3201
108,0.2171255648136139,0.3438
109,0.2191179245710373,0.3463
110,0.22101010382175446,0.3393
111,0.22679266333580017,0.3339
112,0.21857479214668274,0.3475
113,0.21662522852420807,0.3379
114,0.2293757200241089,0.3412
115,0.21954408288002014,0.3277
116,0.22180281579494476,0.352
117,0.22190885245800018,0.346
118,0.22301378846168518,0.3377
119,0.21819421648979187,0.3291
120,0.22272861003875732,0.3204
121,0.2472759187221527,0.3819
122,0.2578570246696472,0.3881
123,0.25436776876449585,0.3829
124,0.2572583258152008,0.3796
125,0.2557564079761505,0.3868
126,0.26131489872932434,0.3885
127,0.2571474313735962,0.3844
128,0.2606322765350342,0.3941
129,0.25267723202705383,0.3897
130,0.26127371191978455,0.3813
131,0.2591105103492737,0.3892
132,0.26592734456062317,0.3902
133,0.253338485956192,0.3987
134,0.2640326917171478,0.3911
135,0.26180940866470337,0.3924
136,0.2614494264125824,0.3968
137,0.25709477066993713,0.3875
138,0.2662709951400757,0.3945
139,0.26183828711509705,0.3978
140,0.26760369539260864,0.3928
141,0.2544232904911041,0.3816
142,0.2551298141479492,0.3962
143,0.2583269476890564,0.4001
144,0.26189181208610535,0.3935
145,0.2580361068248749,0.3817
146,0.26296862959861755,0.3955
147,0.2618735432624817,0.3972
148,0.2608886957168579,0.3956
149,0.2626487612724304,0.3892
150,0.26602989435195923,0.3873
151,0.26264455914497375,0.3934
152,0.26475414633750916,0.3896
153,0.25777292251586914,0.3936
154,0.26976367831230164,0.3946
155,0.26414239406585693,0.3927
156,0.26967790722846985,0.4011
