""
epoch,train_acc,test_acc
1,0.11962000280618668,0.1933
2,0.2570599913597107,0.2987
3,0.37841999530792236,0.3939
4,0.47269999980926514,0.4262
5,0.5460600256919861,0.4854
6,0.6013000011444092,0.4877
7,0.647059977054596,0.4828
8,0.6902999877929688,0.4998
9,0.7225800156593323,0.4687
10,0.754580020904541,0.4844
""
epoch,train_acc,test_acc
1,0.06159999966621399,0.1272
2,0.11392000317573547,0.2177
3,0.16701999306678772,0.2815
4,0.2215999960899353,0.3484
5,0.2770000100135803,0.4105
6,0.30177998542785645,0.4201
7,0.3226799964904785,0.4434
8,0.35023999214172363,0.4674
9,0.3763599991798401,0.4912
10,0.39372000098228455,0.5097
""
epoch,train_acc,test_acc
1,0.06168000027537346,0.1238
2,0.1155799999833107,0.2193
3,0.16539999842643738,0.2722
4,0.21413999795913696,0.3141
5,0.25600001215934753,0.3967
6,0.29613998532295227,0.42
7,0.31251999735832214,0.4669
8,0.3330000042915344,0.4603
9,0.35565999150276184,0.4837
10,0.3679400086402893,0.4895
""
epoch,train_acc,test_acc
1,0.06232000142335892,0.1296
2,0.11339999735355377,0.204
3,0.1640399992465973,0.26
4,0.22721999883651733,0.3314
5,0.26458001136779785,0.4105
6,0.29684001207351685,0.4088
7,0.3353799879550934,0.4596
8,0.35791999101638794,0.4873
9,0.3749000132083893,0.4743
10,0.3968600034713745,0.5059
""
epoch,train_acc,test_acc
1,0.061400000005960464,0.1266
2,0.1157199963927269,0.2132
3,0.1639000028371811,0.2262
4,0.212459996342659,0.3362
5,0.25769999623298645,0.4048
6,0.3057999908924103,0.4165
7,0.3256399929523468,0.462
8,0.35920000076293945,0.4815
9,0.3745400011539459,0.4901
10,0.3920600116252899,0.4952
""
epoch,train_acc,test_acc
1,0.06072000041604042,0.1187
2,0.11441999673843384,0.2086
3,0.16957999765872955,0.2744
4,0.20871999859809875,0.3124
5,0.2582800090312958,0.3787
6,0.2992199957370758,0.4107
7,0.32401999831199646,0.4555
8,0.35034000873565674,0.4665
9,0.3520199954509735,0.4951
10,0.38335999846458435,0.4959
""
epoch,train_acc,test_acc
1,0.05703999847173691,0.1171
2,0.10830000042915344,0.202
3,0.1588599979877472,0.2531
4,0.20476000010967255,0.3076
5,0.24823999404907227,0.3558
6,0.2815600037574768,0.3519
7,0.28883999586105347,0.4303
8,0.3277199864387512,0.4306
9,0.3396399915218353,0.4683
10,0.3792000114917755,0.4763
""
epoch,train_acc,test_acc
1,0.0597199983894825,0.1131
2,0.11337999999523163,0.2112
3,0.15625999867916107,0.2696
4,0.22426000237464905,0.3315
5,0.2691200077533722,0.3885
6,0.30272001028060913,0.4345
7,0.33428001403808594,0.4664
8,0.3421800136566162,0.4557
9,0.37185999751091003,0.5016
10,0.39375999569892883,0.5087
""
epoch,train_acc,test_acc
1,0.061319999396800995,0.1239
2,0.11890000104904175,0.2093
3,0.166360005736351,0.2532
4,0.22596000134944916,0.2969
5,0.26848000288009644,0.4062
6,0.31453999876976013,0.4081
7,0.33945998549461365,0.4718
8,0.35425999760627747,0.4784
9,0.3740200102329254,0.503
10,0.3864000141620636,0.5065
""
epoch,train_acc,test_acc
1,0.06651999801397324,0.1247
2,0.12414000183343887,0.2279
3,0.17649999260902405,0.2905
4,0.2309200018644333,0.3172
5,0.2606399953365326,0.3639
6,0.29054000973701477,0.4134
7,0.3142800033092499,0.4654
8,0.35071998834609985,0.4673
9,0.368259996175766,0.493
10,0.3937999904155731,0.5028
""
epoch,train_acc,test_acc
1,0.05737999826669693,0.1182
2,0.11354000121355057,0.2107
3,0.16604000329971313,0.2653
4,0.22032000124454498,0.2718
5,0.2567799985408783,0.4051
6,0.2870599925518036,0.3986
7,0.31957998871803284,0.4473
8,0.3440999984741211,0.4518
9,0.3677600026130676,0.4814
10,0.38128000497817993,0.5164
