""
epoch,train_acc,test_acc
1,0.408,0.4682
2,0.59448,0.6458
3,0.65948,0.6924
4,0.70742,0.7251
5,0.73596,0.6975
6,0.75306,0.772
7,0.76326,0.7654
8,0.77034,0.7651
9,0.7769,0.7787
10,0.78236,0.7929
11,0.78502,0.7977
12,0.79136,0.8015
13,0.79196,0.7307
14,0.79122,0.7732
15,0.79764,0.791
16,0.79788,0.76
17,0.79966,0.773
18,0.7998,0.7284
19,0.80374,0.7736
20,0.80214,0.782
21,0.8081,0.815
22,0.80726,0.8213
23,0.80658,0.7792
24,0.80958,0.6688
25,0.80848,0.7885
26,0.81242,0.7955
27,0.81172,0.7891
28,0.8139,0.8154
29,0.81534,0.8237
30,0.81344,0.7686
31,0.8166,0.8221
32,0.81466,0.8044
33,0.81764,0.8344
34,0.81728,0.7695
35,0.81584,0.8322
36,0.81934,0.8268
37,0.81988,0.7519
38,0.8211,0.821
39,0.82024,0.8251
40,0.81716,0.8372
41,0.8188,0.8277
42,0.81864,0.8257
43,0.8221,0.8536
44,0.8217,0.764
45,0.82078,0.7842
46,0.81956,0.8489
47,0.82108,0.8351
48,0.82436,0.825
49,0.82494,0.7264
50,0.82418,0.8135
51,0.82326,0.7865
52,0.82066,0.7864
53,0.82256,0.7813
54,0.82322,0.8309
55,0.8244,0.8131
56,0.82334,0.8263
57,0.82252,0.7934
58,0.82544,0.8174
59,0.82286,0.8313
60,0.8257,0.8504
61,0.87894,0.915
62,0.89198,0.9161
63,0.89622,0.9141
64,0.89956,0.9169
65,0.90176,0.9137
66,0.90116,0.9168
67,0.90218,0.9159
68,0.90394,0.9058
69,0.9027,0.9092
70,0.89934,0.9115
71,0.90272,0.9085
72,0.90256,0.9126
73,0.9014,0.9058
74,0.90018,0.9152
75,0.90186,0.9082
76,0.9019,0.9032
77,0.89886,0.9173
78,0.9012,0.9069
79,0.90108,0.9017
80,0.90118,0.9095
81,0.90038,0.9145
82,0.90142,0.9097
83,0.90012,0.9019
84,0.90226,0.8988
85,0.9028,0.9069
86,0.90066,0.9015
87,0.90284,0.9046
88,0.90326,0.9025
89,0.9032,0.911
90,0.90388,0.9018
91,0.90344,0.9076
92,0.90076,0.9099
93,0.90362,0.9153
94,0.90086,0.9038
95,0.90476,0.9095
96,0.90426,0.9163
97,0.90368,0.9121
98,0.90772,0.9111
99,0.90616,0.9114
100,0.9049,0.9077
101,0.9059,0.9023
102,0.90648,0.9102
103,0.9044,0.915
104,0.90496,0.9087
105,0.90866,0.8943
106,0.9068,0.9083
107,0.9085,0.9106
108,0.90712,0.9022
109,0.90698,0.9172
110,0.9071,0.9013
111,0.9091,0.9037
112,0.90886,0.9047
113,0.90734,0.8978
114,0.9088,0.889
115,0.90892,0.9012
116,0.90894,0.9119
117,0.91146,0.9127
118,0.91076,0.9029
119,0.90904,0.9121
120,0.90802,0.9109
121,0.93814,0.9397
122,0.94674,0.9438
123,0.94982,0.9458
124,0.95146,0.9455
125,0.9539,0.9457
126,0.95336,0.9471
127,0.9564,0.9433
128,0.9575,0.9442
129,0.95638,0.9405
130,0.95688,0.9447
131,0.96008,0.9459
132,0.95856,0.9452
133,0.95976,0.9473
134,0.9594,0.9445
135,0.95884,0.9488
136,0.96114,0.9437
137,0.95918,0.9443
138,0.9614,0.9475
139,0.96092,0.9478
140,0.96228,0.9433
141,0.96108,0.9456
142,0.96116,0.9419
143,0.96156,0.9417
144,0.96152,0.9442
145,0.96246,0.9446
146,0.96148,0.946
147,0.96246,0.9455
148,0.96312,0.9444
149,0.96208,0.9398
150,0.96248,0.9428
151,0.9629,0.9453
152,0.9623,0.9415
153,0.96232,0.9415
154,0.9631,0.9418
155,0.96348,0.9423
156,0.96268,0.9416
157,0.96242,0.9446
158,0.96232,0.9407
159,0.96234,0.9416
160,0.96156,0.939
161,0.97074,0.9502
162,0.9735,0.9508
163,0.97568,0.9511
164,0.97596,0.9527
165,0.97604,0.9511
166,0.97694,0.9513
167,0.9783,0.9518
168,0.97832,0.9525
169,0.97822,0.9514
170,0.97926,0.9516
""
epoch,train_acc,test_acc
1,0.4385,0.4764
2,0.61244,0.6225
3,0.67292,0.6746
4,0.71286,0.6858
5,0.7412,0.703
6,0.75374,0.7599
7,0.7623,0.7986
8,0.7719,0.7708
9,0.77804,0.8007
10,0.78182,0.7828
11,0.78446,0.8132
12,0.78656,0.7563
13,0.78904,0.7578
14,0.79074,0.7963
15,0.79672,0.7984
16,0.79662,0.796
17,0.79608,0.7279
18,0.7974,0.8065
19,0.80016,0.8306
20,0.7982,0.8068
21,0.80664,0.8248
22,0.8049,0.7984
23,0.80584,0.8282
24,0.80784,0.7808
25,0.8068,0.7936
26,0.80936,0.8187
27,0.81214,0.7987
28,0.80856,0.7632
29,0.81272,0.8058
30,0.81318,0.8059
31,0.81302,0.8234
32,0.81664,0.7255
33,0.8147,0.7589
34,0.81746,0.8054
35,0.81636,0.8288
36,0.81752,0.8012
37,0.81802,0.7856
38,0.81792,0.8492
39,0.81776,0.7558
40,0.8205,0.7828
41,0.81796,0.7916
42,0.81788,0.7928
43,0.81914,0.8213
44,0.82024,0.7926
45,0.8198,0.8169
46,0.81968,0.8153
47,0.82398,0.8205
48,0.82174,0.823
49,0.82304,0.7566
50,0.82204,0.8433
51,0.82262,0.7744
52,0.82274,0.8107
53,0.82286,0.8128
54,0.82336,0.8204
55,0.82498,0.7767
56,0.82602,0.7901
57,0.82542,0.7911
58,0.82442,0.7972
59,0.82712,0.8111
60,0.8256,0.791
61,0.88044,0.9097
62,0.89478,0.9168
63,0.89816,0.9217
64,0.90188,0.9187
65,0.89932,0.9136
66,0.90142,0.916
67,0.90248,0.9197
68,0.90132,0.9098
69,0.90216,0.9114
70,0.90252,0.9118
71,0.90374,0.91
72,0.9018,0.9196
73,0.9017,0.9102
74,0.90146,0.9028
75,0.9024,0.9059
76,0.90284,0.9103
77,0.90028,0.9029
78,0.9012,0.9042
79,0.9016,0.9015
80,0.90068,0.9065
81,0.90078,0.9146
82,0.90126,0.8983
83,0.90062,0.9021
84,0.90318,0.9007
85,0.90116,0.9094
86,0.90292,0.8989
87,0.9023,0.915
88,0.90292,0.9025
89,0.9021,0.91
90,0.90346,0.9064
91,0.90272,0.9119
92,0.9046,0.907
93,0.90532,0.9055
94,0.90616,0.9008
95,0.90446,0.9077
96,0.90352,0.9025
97,0.90426,0.9014
98,0.90736,0.8992
99,0.90618,0.9147
100,0.9054,0.9153
101,0.90748,0.9067
102,0.90782,0.9108
103,0.90516,0.9014
104,0.90434,0.9138
105,0.90738,0.8847
106,0.90842,0.8967
107,0.9081,0.9115
108,0.90774,0.8891
109,0.90816,0.9126
110,0.90704,0.9149
111,0.90802,0.9099
112,0.9053,0.9064
113,0.90886,0.9062
114,0.91008,0.8933
115,0.90924,0.9122
116,0.90958,0.8968
117,0.90956,0.919
118,0.90882,0.9043
119,0.909,0.9111
120,0.91254,0.9174
121,0.937,0.9404
122,0.94704,0.9436
123,0.94948,0.9444
124,0.95236,0.9434
125,0.95494,0.9441
