""
epoch,train_acc,test_acc
1,0.22846,0.3142
2,0.33838,0.3758
3,0.38328,0.4048
4,0.41992,0.4522
5,0.4442,0.4368
6,0.45142,0.4446
7,0.46296,0.4624
8,0.47576,0.3834
9,0.48,0.4291
10,0.4877,0.4747
11,0.5092,0.4926
12,0.51276,0.505
13,0.5148,0.5124
14,0.52356,0.5117
15,0.5273,0.5087
16,0.52946,0.5374
17,0.53382,0.5176
18,0.54626,0.5355
19,0.53996,0.5358
20,0.53984,0.516
21,0.53892,0.5305
22,0.54102,0.5428
23,0.5484,0.5358
24,0.5465,0.5416
25,0.54228,0.5275
26,0.5396,0.4973
27,0.5328,0.5288
28,0.53034,0.5335
29,0.54894,0.5493
30,0.54818,0.5534
31,0.54986,0.527
32,0.5478,0.552
33,0.54988,0.5368
34,0.55114,0.5298
35,0.54144,0.557
36,0.54668,0.5197
37,0.55012,0.5323
38,0.54932,0.5344
39,0.55288,0.554
40,0.55226,0.5468
41,0.55416,0.5046
42,0.55092,0.5088
43,0.5545,0.5189
44,0.55434,0.5151
45,0.5523,0.5563
46,0.55366,0.557
47,0.53818,0.5061
48,0.55044,0.5401
49,0.5479,0.5534
50,0.5534,0.554
51,0.55506,0.536
52,0.55544,0.5074
53,0.55164,0.5049
54,0.55182,0.54
55,0.55314,0.5131
56,0.55682,0.5341
57,0.56196,0.563
58,0.55122,0.5459
59,0.55488,0.5303
60,0.55508,0.5427
61,0.64268,0.6325
62,0.67132,0.6344
63,0.68484,0.6284
64,0.69602,0.6434
65,0.7011,0.6492
66,0.70842,0.6347
67,0.71228,0.645
68,0.71886,0.642
69,0.72276,0.6408
70,0.72256,0.6466
71,0.72738,0.6433
72,0.7303,0.6463
73,0.73178,0.6401
74,0.73464,0.6282
75,0.7369,0.6437
76,0.74018,0.6405
77,0.74058,0.6415
78,0.74334,0.6393
79,0.74366,0.6248
80,0.74918,0.6382
81,0.74638,0.6375
82,0.74894,0.6408
83,0.74972,0.6327
84,0.7532,0.6312
85,0.754,0.6327
86,0.75488,0.6267
87,0.75284,0.6422
88,0.75754,0.6293
89,0.7557,0.6078
90,0.76074,0.6182
91,0.7589,0.6394
92,0.7624,0.6337
93,0.76206,0.6287
94,0.7628,0.6285
95,0.76328,0.6234
96,0.76582,0.6332
97,0.76654,0.6286
98,0.7669,0.6272
99,0.76712,0.6272
100,0.77022,0.6213
101,0.7661,0.6322
102,0.76452,0.6181
103,0.76856,0.6276
104,0.77132,0.6236
105,0.77034,0.6236
106,0.77068,0.6216
107,0.77352,0.6174
108,0.77124,0.6308
109,0.77472,0.6308
110,0.77392,0.6209
111,0.77556,0.6249
112,0.7726,0.6135
113,0.77478,0.6167
114,0.77564,0.62
115,0.77634,0.6296
116,0.7754,0.6187
117,0.77612,0.63
118,0.777,0.6344
119,0.77812,0.6004
120,0.77738,0.6179
121,0.84216,0.6407
122,0.8612,0.6402
123,0.87068,0.6408
124,0.87868,0.6381
125,0.88094,0.6378
126,0.88612,0.6353
127,0.8894,0.6335
128,0.89316,0.632
129,0.89468,0.6321
130,0.89816,0.6302
131,0.9,0.6305
132,0.90246,0.6337
133,0.90422,0.6285
134,0.90502,0.6293
135,0.90716,0.6274
136,0.90758,0.6258
137,0.90946,0.6272
138,0.91252,0.6234
139,0.91306,0.6254
140,0.91594,0.6243
141,0.91584,0.6258
142,0.91774,0.6226
143,0.91906,0.6203
144,0.92066,0.6244
145,0.92048,0.6214
146,0.92088,0.6234
147,0.92202,0.6178
148,0.92096,0.6186
149,0.92396,0.6191
150,0.92498,0.6192
151,0.92472,0.6201
152,0.926,0.6215
153,0.92652,0.6192
154,0.92842,0.6185
155,0.92964,0.6189
156,0.9257,0.6148
157,0.9282,0.6178
158,0.92858,0.6194
159,0.93008,0.6165
160,0.93,0.6147
161,0.95676,0.6193
162,0.96364,0.6185
163,0.96538,0.6174
164,0.96654,0.6182
165,0.96764,0.6185
166,0.96862,0.6186
167,0.96896,0.6175
168,0.96978,0.6185
169,0.97026,0.6182
170,0.97102,0.6172
171,0.97094,0.6191
172,0.97186,0.6175
173,0.97258,0.6157
174,0.97256,0.6179
175,0.97258,0.6183
176,0.9733,0.6171
177,0.97376,0.6182
178,0.97344,0.617
179,0.97392,0.6169
180,0.975,0.6163
181,0.9746,0.6165
182,0.97478,0.6182
183,0.9747,0.617
184,0.9754,0.6145
185,0.97626,0.6148
186,0.97576,0.6142
187,0.9758,0.6165
188,0.97686,0.6169
189,0.97712,0.6144
190,0.97734,0.6142
191,0.9771,0.6144
192,0.97762,0.6153
193,0.97742,0.6146
194,0.97788,0.6138
195,0.97846,0.6154
196,0.97826,0.6146
197,0.97904,0.6148
198,0.97848,0.6137
199,0.97912,0.6151
200,0.97946,0.6142
""
epoch,train_acc,test_acc
1,0.26362,0.359
2,0.3852,0.4073
3,0.42918,0.4505
4,0.46016,0.456
5,0.48558,0.5011
6,0.49872,0.5007
7,0.50852,0.4841
8,0.52186,0.4767
9,0.52724,0.498
10,0.53494,0.5063
11,0.53556,0.5066
12,0.54858,0.5357
13,0.55244,0.5251
