""
epoch,train_acc,test_acc
1,0.21257999539375305,0.2927
2,0.2692599892616272,0.4058
3,0.29071998596191406,0.3878
4,0.3008800148963928,0.4709
5,0.3042599856853485,0.4954
6,0.304720014333725,0.4047
7,0.31995999813079834,0.4622
8,0.3156000077724457,0.4629
9,0.32227998971939087,0.4559
10,0.30946001410484314,0.4993
11,0.3239800035953522,0.5042
12,0.34257999062538147,0.5067
13,0.3306399881839752,0.4876
14,0.3285199999809265,0.4975
15,0.33285999298095703,0.508
16,0.32947999238967896,0.5169
17,0.3247799873352051,0.5085
18,0.3280400037765503,0.5089
19,0.3282800018787384,0.503
20,0.32541999220848083,0.5338
21,0.3313399851322174,0.5205
22,0.3264000117778778,0.5031
23,0.3383199870586395,0.5333
24,0.33875998854637146,0.4728
25,0.33456000685691833,0.5198
26,0.3370400071144104,0.5044
27,0.336760014295578,0.506
28,0.3447200059890747,0.465
29,0.3381600081920624,0.5006
30,0.33052000403404236,0.5159
31,0.3338800072669983,0.5203
32,0.34389999508857727,0.5121
33,0.33136001229286194,0.521
34,0.33250001072883606,0.5292
35,0.3319399952888489,0.521
36,0.34915998578071594,0.5044
37,0.34643998742103577,0.4982
38,0.3393999934196472,0.523
39,0.33428001403808594,0.5264
40,0.33917999267578125,0.5239
41,0.3439599871635437,0.4995
42,0.3352600038051605,0.3622
43,0.3397200107574463,0.5035
44,0.32892000675201416,0.4865
45,0.33691999316215515,0.5103
46,0.338019996881485,0.5205
47,0.34185999631881714,0.4954
48,0.3411799967288971,0.5467
49,0.33921998739242554,0.5288
50,0.3397200107574463,0.5068
51,0.3395000100135803,0.4914
52,0.34200000762939453,0.5399
53,0.3411799967288971,0.5413
54,0.34599998593330383,0.542
55,0.34738001227378845,0.5065
56,0.3326599895954132,0.5342
57,0.34035998582839966,0.5529
58,0.34529998898506165,0.4848
59,0.3338199853897095,0.5121
60,0.3421800136566162,0.4246
61,0.3819800019264221,0.599
62,0.3892799913883209,0.5896
63,0.37790000438690186,0.6056
64,0.3874799907207489,0.6143
65,0.3935199975967407,0.6003
66,0.4044399857521057,0.6003
67,0.40610000491142273,0.6154
68,0.40413999557495117,0.6106
69,0.4083999991416931,0.628
70,0.4089600145816803,0.6259
71,0.41802000999450684,0.6256
72,0.3999199867248535,0.632
73,0.40474000573158264,0.6277
74,0.40275999903678894,0.6283
75,0.4071800112724304,0.6338
76,0.4090999960899353,0.6206
77,0.41995999217033386,0.6091
78,0.418179988861084,0.6097
79,0.40073999762535095,0.6039
80,0.3990800082683563,0.6266
81,0.42645999789237976,0.6338
82,0.4161199927330017,0.6369
83,0.40507999062538147,0.6387
84,0.3947800099849701,0.642
85,0.3995800018310547,0.6281
86,0.4133799970149994,0.6442
87,0.4226999878883362,0.6314
88,0.42107999324798584,0.6369
89,0.4076400101184845,0.6198
90,0.409280002117157,0.6395
91,0.406139999628067,0.6447
92,0.42239999771118164,0.6339
93,0.4174399971961975,0.6568
94,0.41492000222206116,0.6489
95,0.4080199897289276,0.6533
96,0.41600000858306885,0.6414
97,0.4165799915790558,0.6355
98,0.4124400019645691,0.635
99,0.44137999415397644,0.6454
100,0.4048599898815155,0.6544
101,0.4162999987602234,0.657
102,0.42451998591423035,0.6501
103,0.4162200093269348,0.6414
104,0.4104999899864197,0.6393
105,0.4138000011444092,0.6412
106,0.4150800108909607,0.6315
107,0.4175199866294861,0.6436
108,0.40713998675346375,0.6513
109,0.41651999950408936,0.6226
110,0.4230799973011017,0.6437
111,0.42559999227523804,0.6283
112,0.4015600085258484,0.6527
113,0.4224199950695038,0.6452
114,0.41245999932289124,0.6501
115,0.4250200092792511,0.6372
116,0.4201200008392334,0.6504
117,0.4259600043296814,0.6506
118,0.42739999294281006,0.6469
119,0.41332000494003296,0.6507
120,0.43224000930786133,0.662
121,0.43149998784065247,0.6776
122,0.439520001411438,0.677
123,0.44909998774528503,0.6808
124,0.4380199909210205,0.6799
125,0.43880000710487366,0.6856
126,0.44477999210357666,0.6897
127,0.454120010137558,0.6796
128,0.44157999753952026,0.6845
129,0.44679999351501465,0.6881
130,0.45899999141693115,0.6888
131,0.4427199959754944,0.6907
132,0.43619999289512634,0.6862
133,0.46257999539375305,0.6927
134,0.458840012550354,0.6822
135,0.444379985332489,0.6924
136,0.43606001138687134,0.6943
137,0.4376400113105774,0.6867
138,0.43733999133110046,0.6745
139,0.45848000049591064,0.6936
140,0.4582799971103668,0.685
141,0.44426000118255615,0.6957
142,0.4539799988269806,0.6888
143,0.46751999855041504,0.6877
144,0.46299999952316284,0.6802
145,0.47275999188423157,0.6936
146,0.438620001077652,0.6759
147,0.4469200074672699,0.6858
148,0.4302400052547455,0.6889
149,0.446399986743927,0.6976
150,0.4372200071811676,0.6963
151,0.4602400064468384,0.6892
152,0.44429999589920044,0.6837
153,0.4534600079059601,0.678
154,0.4498400092124939,0.6912
155,0.4387800097465515,0.6903
156,0.4512999951839447,0.6916
157,0.44078001379966736,0.6853
158,0.4533799886703491,0.6988
159,0.44534000754356384,0.6786
160,0.45447999238967896,0.6794
161,0.46399998664855957,0.7055
162,0.44760000705718994,0.6995
163,0.4555000066757202,0.6972
164,0.4550600051879883,0.6997
165,0.4543200135231018,0.7001
166,0.4534600079059601,0.6977
167,0.4708400070667267,0.7042
168,0.4749999940395355,0.7012
169,0.47426000237464905,0.7056
170,0.47391998767852783,0.7038
171,0.4426400065422058,0.7065
172,0.4483799934387207,0.6997
173,0.4629800021648407,0.7074
174,0.44168001413345337,0.7077
175,0.46108001470565796,0.7041
176,0.4599199891090393,0.7024
177,0.45669999718666077,0.7045
178,0.46417999267578125,0.7049
179,0.469539999961853,0.7061
180,0.47308000922203064,0.7047
181,0.4534600079059601,0.705
182,0.4559600055217743,0.7024
183,0.45302000641822815,0.6996
184,0.4685400128364563,0.7057
185,0.4515799880027771,0.7009
186,0.4593999981880188,0.7052
187,0.45833998918533325,0.7054
188,0.46733999252319336,0.7042
189,0.4686799943447113,0.7029
190,0.4650999903678894,0.7082
191,0.46546000242233276,0.6974
192,0.45824000239372253,0.7012
193,0.4669800102710724,0.6912
194,0.4787999987602234,0.7105
195,0.4621399939060211,0.7037
196,0.45392000675201416,0.7035
197,0.4604800045490265,0.6997
198,0.4767799973487854,0.704
199,0.463919997215271,0.7107
200,0.4588800072669983,0.7001
