""
epoch,train_acc,test_acc
1,0.24928,0.3417
2,0.33306,0.3882
3,0.36046,0.4212
4,0.36894,0.4249
5,0.37162,0.3803
6,0.38132,0.4513
7,0.38676,0.4595
8,0.39292,0.4552
9,0.39168,0.3831
10,0.39412,0.4269
11,0.39944,0.4367
12,0.39852,0.4613
13,0.39482,0.4327
14,0.40464,0.4719
15,0.4029,0.4612
16,0.40298,0.4513
17,0.4091,0.4551
18,0.4068,0.4762
19,0.41116,0.4779
20,0.41466,0.4912
21,0.40936,0.4858
22,0.41134,0.4645
23,0.40952,0.4866
24,0.41228,0.4679
25,0.41102,0.4755
26,0.41522,0.4544
27,0.41554,0.4732
28,0.41318,0.4842
29,0.41646,0.4492
30,0.41072,0.4913
31,0.41622,0.4639
32,0.41344,0.4746
33,0.42076,0.4711
34,0.41622,0.4851
35,0.42036,0.4547
36,0.41628,0.4892
37,0.422,0.4678
38,0.42032,0.4594
39,0.42116,0.4984
40,0.42298,0.44
41,0.42224,0.4979
42,0.42532,0.4572
43,0.42064,0.5081
44,0.42472,0.4986
45,0.42982,0.5117
46,0.42914,0.5078
47,0.43094,0.4981
48,0.42812,0.5152
49,0.4304,0.5179
50,0.43462,0.5028
51,0.43276,0.4661
52,0.42962,0.5345
53,0.43208,0.4978
54,0.42928,0.5046
55,0.43672,0.4744
56,0.4334,0.4912
57,0.43496,0.4888
58,0.43798,0.4827
59,0.43442,0.5176
60,0.43518,0.4941
61,0.49958,0.595
62,0.52172,0.6031
63,0.52886,0.6057
64,0.53516,0.6122
65,0.54054,0.5726
66,0.54364,0.6215
67,0.5491,0.6114
68,0.54922,0.6414
69,0.55324,0.6231
70,0.55256,0.6222
71,0.55252,0.6253
72,0.5586,0.6272
73,0.55652,0.6047
74,0.5607,0.6377
75,0.5565,0.6374
76,0.56012,0.652
77,0.56168,0.6551
78,0.56088,0.6418
79,0.56302,0.6336
80,0.56104,0.6306
81,0.56046,0.6455
82,0.56468,0.6531
83,0.56632,0.649
84,0.5661,0.6559
85,0.5703,0.6524
86,0.56848,0.6373
87,0.5708,0.6608
88,0.56708,0.6481
89,0.56818,0.6558
90,0.57082,0.6477
91,0.56772,0.6642
92,0.5704,0.6388
93,0.57266,0.6463
94,0.5722,0.6533
95,0.57032,0.6574
96,0.57486,0.6643
97,0.5704,0.6563
98,0.57098,0.6405
99,0.57424,0.6494
100,0.57602,0.6403
101,0.5739,0.6502
102,0.57374,0.6614
103,0.57178,0.6559
104,0.57522,0.6443
105,0.57514,0.666
106,0.57882,0.6609
107,0.57476,0.6513
108,0.57692,0.6604
109,0.57266,0.6575
110,0.57622,0.6503
111,0.57694,0.665
112,0.57346,0.6576
113,0.57788,0.6566
114,0.5753,0.6583
115,0.57772,0.6625
116,0.58072,0.6442
117,0.57796,0.6496
118,0.5795,0.6553
119,0.5758,0.6574
120,0.57888,0.6635
121,0.60692,0.6815
122,0.60938,0.6876
123,0.6146,0.6901
124,0.61576,0.684
125,0.61622,0.6894
126,0.61828,0.6897
127,0.61812,0.6926
128,0.62096,0.6944
129,0.62302,0.6916
130,0.61878,0.6988
131,0.6199,0.681
132,0.62388,0.6968
133,0.62338,0.6967
134,0.62128,0.6947
135,0.62562,0.6992
136,0.6251,0.6967
137,0.62394,0.6956
138,0.6233,0.6976
139,0.62512,0.6949
140,0.62582,0.6999
141,0.62616,0.6908
142,0.62456,0.7041
143,0.62616,0.6942
144,0.62682,0.697
145,0.6261,0.698
146,0.62578,0.7017
147,0.62646,0.7022
148,0.62886,0.6976
149,0.62866,0.6916
150,0.6291,0.6987
151,0.62692,0.6976
152,0.63054,0.6989
153,0.62804,0.6901
154,0.62786,0.7036
155,0.62974,0.7021
156,0.62864,0.6986
157,0.62904,0.7087
158,0.63062,0.6942
159,0.62926,0.6947
160,0.62724,0.692
161,0.63676,0.7074
162,0.64216,0.7118
163,0.64312,0.7146
164,0.64172,0.7044
165,0.64232,0.7124
166,0.64098,0.7107
167,0.64434,0.7095
168,0.64242,0.7095
169,0.64312,0.7125
170,0.6413,0.7109
171,0.64482,0.7116
172,0.64836,0.7101
173,0.64592,0.712
174,0.64206,0.712
175,0.64334,0.712
176,0.64682,0.7113
177,0.64518,0.7141
178,0.6456,0.712
179,0.64572,0.7127
180,0.64638,0.7144
181,0.64544,0.7085
182,0.64646,0.7147
183,0.64648,0.712
184,0.64452,0.7123
185,0.64442,0.7155
186,0.646,0.7084
187,0.64636,0.7174
188,0.64774,0.7117
189,0.64498,0.7134
190,0.64958,0.7162
191,0.64664,0.7132
192,0.64636,0.7099
193,0.64706,0.7142
194,0.64832,0.714
195,0.64872,0.7172
196,0.64886,0.7131
197,0.64638,0.7206
198,0.64818,0.7176
199,0.64466,0.7142
200,0.64818,0.7179
""
epoch,train_acc,test_acc
1,0.26738,0.3626
2,0.3438,0.4193
3,0.36754,0.4257
4,0.38438,0.4355
5,0.38666,0.4124
6,0.38976,0.4798
7,0.4073,0.4872
8,0.40934,0.4653
9,0.4109,0.4425
10,0.40938,0.4378
11,0.40782,0.4722
12,0.41394,0.481
13,0.41994,0.4707
14,0.42072,0.4754
15,0.39992,0.4878
16,0.40262,0.4608
17,0.4156,0.4643
18,0.40864,0.4708
19,0.42312,0.4688
20,0.42044,0.4671
21,0.42164,0.4937
22,0.41922,0.502
23,0.41382,0.5007
24,0.416,0.484
25,0.42848,0.4644
26,0.42244,0.4982
27,0.4241,0.4938
28,0.42782,0.5031
29,0.4183,0.4708
30,0.4273,0.4951
31,0.42674,0.5168
32,0.41312,0.4921
33,0.42352,0.4706
34,0.40342,0.4828
35,0.42496,0.5047
36,0.42962,0.4536
37,0.43348,0.4985
38,0.43312,0.4957
39,0.43194,0.4978
40,0.42996,0.4635
41,0.43628,0.519
42,0.42676,0.4952
43,0.43518,0.5211
44,0.43606,0.5
45,0.43336,0.4902
46,0.43026,0.5205
47,0.42592,0.4554
48,0.43242,0.4676
49,0.43692,0.5061
50,0.43506,0.5284
51,0.43904,0.383
52,0.43416,0.5237
53,0.43718,0.4805
54,0.43156,0.4704
55,0.43742,0.4989
56,0.42984,0.4968
57,0.43232,0.5307
58,0.43454,0.5187
59,0.4403,0.4911
60,0.43488,0.4924
61,0.5,0.5854
62,0.51988,0.6051
63,0.53264,0.6073
64,0.53316,0.6126
65,0.5401,0.5941
66,0.54744,0.6291
67,0.55204,0.6119
68,0.55,0.6283
69,0.55412,0.6206
70,0.55348,0.621
71,0.55772,0.6196
72,0.55616,0.6227
73,0.56032,0.6228
74,0.56262,0.6365
75,0.55902,0.6394
76,0.56302,0.6332
77,0.56654,0.6308
78,0.56368,0.6341
79,0.56578,0.6322
80,0.56702,0.6082
81,0.56702,0.6394
82,0.56642,0.6203
83,0.5714,0.6394
84,0.56954,0.6383
85,0.57102,0.6511
86,0.56862,0.638
87,0.57408,0.6422
88,0.57452,0.6483
89,0.572,0.6503
90,0.5716,0.6397
91,0.57414,0.6393
92,0.57446,0.6508
93,0.5725,0.6292
