""
epoch,train_acc,test_acc
1,0.29088,0.3842
2,0.43306,0.4783
3,0.5281,0.5493
4,0.60336,0.5908
5,0.66556,0.6578
6,0.71728,0.7141
7,0.76054,0.7416
8,0.78544,0.7527
9,0.79932,0.7797
10,0.81224,0.7794
11,0.8205,0.7429
12,0.82764,0.8034
13,0.83526,0.7884
14,0.84104,0.8329
15,0.84584,0.7912
16,0.84924,0.7953
17,0.85288,0.8104
18,0.85634,0.8189
19,0.8565,0.8144
20,0.86068,0.8321
21,0.86154,0.7529
22,0.86596,0.8358
23,0.86934,0.822
24,0.8683,0.833
25,0.86962,0.8176
26,0.87112,0.8179
27,0.87132,0.8371
28,0.87382,0.8044
29,0.8751,0.8329
30,0.87564,0.8017
31,0.8771,0.8236
32,0.8769,0.8459
33,0.87864,0.8397
34,0.88034,0.8333
35,0.88304,0.8331
36,0.88236,0.8069
37,0.8836,0.8189
38,0.88196,0.7942
39,0.8842,0.8218
40,0.88338,0.8242
41,0.8845,0.8506
42,0.88738,0.8359
43,0.88586,0.8308
44,0.88708,0.8611
45,0.88748,0.8541
46,0.88946,0.8325
47,0.8875,0.8457
48,0.88856,0.8518
49,0.88902,0.7987
50,0.88812,0.8197
51,0.88612,0.8323
52,0.89032,0.814
53,0.89014,0.8616
54,0.89108,0.8538
55,0.8903,0.8267
56,0.88988,0.855
57,0.8928,0.8486
58,0.8917,0.8032
59,0.89108,0.8591
60,0.89232,0.8478
61,0.94228,0.9207
62,0.95682,0.9202
63,0.96228,0.9285
64,0.96682,0.921
65,0.9677,0.9208
66,0.96914,0.9219
67,0.97118,0.9217
68,0.9711,0.9211
69,0.97208,0.9197
70,0.97066,0.9111
71,0.96896,0.9086
72,0.97136,0.9076
73,0.97056,0.906
74,0.96898,0.9144
75,0.96832,0.9115
76,0.96814,0.9028
77,0.96816,0.9048
78,0.96736,0.9066
79,0.96574,0.9146
80,0.96602,0.9145
81,0.96676,0.907
82,0.96632,0.9116
83,0.967,0.9016
84,0.96846,0.894
85,0.9685,0.9104
86,0.96876,0.9109
87,0.96838,0.9123
88,0.96782,0.912
89,0.96728,0.9102
90,0.96842,0.9114
91,0.96594,0.8996
92,0.96874,0.9081
93,0.96966,0.9082
94,0.97052,0.9124
95,0.96872,0.9183
96,0.96964,0.9037
97,0.96832,0.907
98,0.96896,0.9072
99,0.96908,0.9121
100,0.96884,0.9088
101,0.96848,0.9061
102,0.97214,0.9131
103,0.96848,0.8927
104,0.97136,0.8922
105,0.97126,0.9136
106,0.97258,0.913
107,0.97178,0.9051
108,0.96932,0.9182
109,0.96882,0.913
110,0.97326,0.912
111,0.97166,0.9049
112,0.97112,0.9076
113,0.97206,0.9087
114,0.97156,0.911
115,0.9719,0.9083
116,0.9723,0.9117
117,0.97208,0.9081
118,0.97276,0.9127
119,0.9707,0.9099
120,0.97136,0.9118
121,0.98956,0.9407
122,0.9956,0.9424
123,0.9971,0.944
124,0.99758,0.9447
125,0.99832,0.9448
126,0.99842,0.9461
127,0.99906,0.9468
128,0.99886,0.9453
129,0.99886,0.9464
130,0.99942,0.9479
131,0.99948,0.9479
132,0.99912,0.9481
133,0.99944,0.9464
134,0.99932,0.9481
135,0.99966,0.949
136,0.99968,0.9487
137,0.99964,0.9493
138,0.99948,0.9502
139,0.99962,0.9493
140,0.99954,0.9494
141,0.9998,0.9491
142,0.99956,0.9497
143,0.99964,0.9501
144,0.99974,0.9475
145,0.99976,0.9499
146,0.9995,0.9485
147,0.99974,0.95
148,0.99978,0.9486
149,0.99974,0.9489
150,0.9997,0.9467
151,0.9999,0.9489
152,0.99976,0.9486
153,0.99976,0.949
154,0.99994,0.9479
155,0.99986,0.9483
156,0.99984,0.948
157,0.99984,0.9485
158,0.99986,0.9466
159,0.99964,0.9494
160,0.99988,0.949
161,0.99994,0.9499
162,0.99996,0.9496
163,0.9999,0.9506
164,0.99988,0.9503
165,0.99996,0.9502
166,0.99988,0.9495
167,0.9999,0.9495
168,0.99984,0.9502
169,0.99992,0.9498
170,0.99998,0.9499
171,0.99998,0.9496
172,0.99994,0.9499
173,0.99992,0.9487
174,1.0,0.9503
175,0.99998,0.9498
176,0.99986,0.9503
177,0.9999,0.9506
178,0.99994,0.9499
179,0.9999,0.9501
180,0.99994,0.9507
181,0.99998,0.9504
182,0.99998,0.9506
183,1.0,0.951
184,0.99994,0.9504
185,0.99992,0.9501
186,0.99996,0.9497
187,0.99998,0.9495
188,0.99996,0.9498
189,0.99998,0.9506
190,0.99998,0.9507
191,0.99998,0.9498
192,0.99996,0.9504
193,0.99998,0.9506
194,1.0,0.9493
195,0.99998,0.9498
196,0.99998,0.9504
197,0.99992,0.9498
198,1.0,0.9505
199,0.99996,0.9513
200,0.99998,0.9507
""
epoch,train_acc,test_acc
1,0.32364,0.4325
2,0.48418,0.5242
3,0.59062,0.6365
4,0.65758,0.6361
5,0.71138,0.6894
6,0.75744,0.749
7,0.7853,0.7717
8,0.8052,0.7533
9,0.8204,0.7816
10,0.82728,0.8116
11,0.8365,0.7673
12,0.84206,0.7884
13,0.84802,0.8211
14,0.85144,0.8237
15,0.85396,0.7875
16,0.85884,0.844
17,0.86114,0.8066
18,0.86658,0.8208
19,0.86542,0.8336
20,0.86706,0.8372
21,0.87072,0.7783
22,0.87066,0.8198
23,0.87414,0.8416
24,0.87498,0.8169
25,0.87614,0.8352
26,0.8774,0.7947
27,0.87732,0.8149
28,0.87858,0.8252
29,0.87818,0.8195
30,0.88268,0.7648
31,0.88144,0.8407
32,0.88498,0.8239
33,0.88316,0.8211
34,0.88562,0.8352
35,0.88402,0.8504
36,0.88746,0.8648
37,0.88668,0.7938
38,0.88408,0.8105
39,0.88688,0.8407
40,0.88934,0.8507
41,0.88692,0.8567
42,0.8892,0.8454
43,0.88774,0.8167
44,0.89026,0.8397
45,0.88878,0.8632
46,0.89026,0.8566
47,0.89228,0.819
48,0.89106,0.8683
49,0.89042,0.8169
50,0.89146,0.8299
51,0.89112,0.8384
52,0.89106,0.8232
53,0.89122,0.8033
54,0.89382,0.8515
55,0.8926,0.8526
56,0.89342,0.8477
57,0.892,0.8293
58,0.89378,0.863
59,0.89572,0.8712
60,0.89336,0.8211
61,0.9438,0.9251
62,0.9593,0.9285
63,0.96562,0.9295
64,0.96916,0.9251
65,0.97196,0.9284
66,0.97148,0.9239
67,0.97244,0.9264
68,0.97196,0.9253
69,0.97284,0.9221
70,0.97242,0.9179
71,0.97338,0.9131
72,0.972,0.9152
73,0.97074,0.9135
74,0.96978,0.9206
75,0.96818,0.9164
76,0.97106,0.9135
77,0.96752,0.9122
78,0.96822,0.9067
79,0.96852,0.9076
80,0.9677,0.9127
81,0.96918,0.9026
82,0.9673,0.9032
83,0.9683,0.907
84,0.9688,0.9037
85,0.97004,0.9173
86,0.96872,0.9178
