""
epoch,train_acc,test_acc
1,0.37402,0.4998
2,0.55998,0.5731
3,0.66984,0.6478
4,0.74364,0.7275
5,0.79816,0.7575
6,0.83446,0.7659
7,0.85572,0.773
8,0.87426,0.7522
9,0.88802,0.7679
10,0.90184,0.7736
11,0.90912,0.8041
12,0.91464,0.8086
13,0.92062,0.7724
14,0.92538,0.8033
15,0.92852,0.7975
16,0.93118,0.7998
17,0.9332,0.7931
18,0.93162,0.7935
19,0.93594,0.813
20,0.93868,0.7841
21,0.93628,0.7921
22,0.93756,0.7975
23,0.93924,0.7966
24,0.93862,0.8087
25,0.94226,0.7909
26,0.9414,0.8021
27,0.94274,0.7846
28,0.94036,0.7646
29,0.94524,0.7825
30,0.94222,0.807
31,0.94336,0.7759
32,0.94322,0.8047
33,0.9462,0.8071
34,0.94628,0.813
35,0.94388,0.8076
36,0.94372,0.8069
37,0.94376,0.8021
38,0.94764,0.8062
39,0.94342,0.7995
40,0.94706,0.7743
41,0.94668,0.8084
42,0.94588,0.8093
43,0.94598,0.8218
44,0.94748,0.7454
45,0.94872,0.7982
46,0.94654,0.7799
47,0.9469,0.7921
48,0.94656,0.8011
49,0.94646,0.8156
50,0.9474,0.8234
51,0.94882,0.7624
52,0.94662,0.8209
53,0.94984,0.8107
54,0.94906,0.8091
55,0.947,0.8131
56,0.94696,0.8119
57,0.94978,0.7712
58,0.94738,0.7899
59,0.94766,0.8127
60,0.9483,0.7556
61,0.99146,0.8777
62,0.99988,0.8805
63,1.0,0.8814
64,1.0,0.8828
65,1.0,0.8832
66,1.0,0.8835
67,1.0,0.8832
68,1.0,0.8833
69,1.0,0.8835
70,1.0,0.8833
71,1.0,0.8837
72,1.0,0.8845
73,1.0,0.8843
74,1.0,0.8846
75,1.0,0.8854
76,1.0,0.8833
77,1.0,0.8858
78,1.0,0.8865
79,1.0,0.8853
80,1.0,0.8871
81,1.0,0.8872
82,1.0,0.8879
83,1.0,0.8882
84,1.0,0.8887
85,1.0,0.8891
86,1.0,0.8887
87,1.0,0.8884
88,1.0,0.8884
89,1.0,0.8887
90,1.0,0.8889
91,1.0,0.8884
92,1.0,0.8885
93,1.0,0.8884
94,1.0,0.8891
95,1.0,0.8894
96,1.0,0.8888
97,1.0,0.8906
98,1.0,0.8889
99,1.0,0.89
100,1.0,0.889
101,1.0,0.8897
102,0.96452,0.5747
103,0.84362,0.8078
104,0.93238,0.7989
105,0.96594,0.8277
106,0.98106,0.8245
107,0.9882,0.8484
108,0.9899,0.8446
109,0.9937,0.8576
110,0.99348,0.8326
111,0.9912,0.856
112,0.9905,0.8375
113,0.9919,0.8446
114,0.99292,0.8513
115,0.99464,0.8509
116,0.99542,0.8546
117,0.9951,0.8498
118,0.9928,0.8415
119,0.98826,0.8396
120,0.98844,0.8388
121,0.99734,0.8726
122,1.0,0.8758
123,1.0,0.8768
124,1.0,0.8767
125,1.0,0.8801
126,1.0,0.8787
127,1.0,0.879
128,1.0,0.8794
129,1.0,0.8813
130,1.0,0.8809
131,1.0,0.8822
132,1.0,0.8812
133,1.0,0.8825
134,1.0,0.8827
135,1.0,0.8833
136,1.0,0.8838
137,1.0,0.8845
138,1.0,0.8845
139,1.0,0.8849
140,1.0,0.8843
141,1.0,0.8849
142,1.0,0.885
143,1.0,0.8846
144,1.0,0.8834
