""
epoch,train_acc,test_acc
1,0.25932,0.3847
2,0.38656,0.4578
3,0.46004,0.5125
4,0.52242,0.5573
5,0.57928,0.632
6,0.62276,0.6549
7,0.6564,0.6557
8,0.68572,0.7151
9,0.71412,0.7099
10,0.73098,0.7142
11,0.74334,0.7643
12,0.75654,0.6875
13,0.76804,0.7854
14,0.77254,0.7981
15,0.77652,0.7459
16,0.78402,0.7632
17,0.78652,0.7959
18,0.79358,0.7845
19,0.79472,0.777
20,0.79664,0.8116
21,0.79736,0.8167
22,0.80078,0.8071
23,0.80416,0.8222
24,0.80618,0.8194
25,0.80592,0.8153
26,0.81128,0.8341
27,0.81024,0.8165
28,0.81152,0.8246
29,0.8123,0.7986
30,0.8171,0.8262
31,0.81412,0.799
32,0.81572,0.82
33,0.81646,0.8073
34,0.8193,0.8211
35,0.82244,0.8473
36,0.82328,0.8245
37,0.82136,0.7669
38,0.82002,0.7957
39,0.82212,0.828
40,0.82426,0.8504
41,0.82556,0.8272
42,0.82758,0.8369
43,0.82504,0.8138
44,0.8292,0.846
45,0.82818,0.8365
46,0.8291,0.8259
47,0.82968,0.8578
48,0.82776,0.8552
49,0.83098,0.8372
50,0.83012,0.8466
51,0.82878,0.8476
52,0.83226,0.7843
53,0.83276,0.8438
54,0.83286,0.8529
55,0.83516,0.8281
56,0.83142,0.8462
57,0.8361,0.8011
58,0.83562,0.845
59,0.83274,0.8439
60,0.83274,0.852
61,0.88926,0.9182
62,0.9067,0.9207
63,0.91104,0.9267
64,0.9134,0.9199
65,0.91564,0.9184
66,0.91746,0.9239
67,0.9179,0.9185
68,0.91874,0.9179
69,0.9183,0.9213
70,0.9184,0.9244
71,0.9181,0.9192
72,0.92058,0.9159
73,0.9192,0.9188
74,0.9179,0.9226
75,0.91848,0.9166
76,0.9207,0.914
77,0.91888,0.9137
78,0.91712,0.9086
79,0.91736,0.9165
80,0.92134,0.9152
81,0.91938,0.9106
82,0.9187,0.9158
83,0.92044,0.9213
84,0.921,0.9155
85,0.92144,0.9218
86,0.91776,0.9096
87,0.91972,0.9173
88,0.92006,0.9121
89,0.92252,0.9059
90,0.92168,0.9182
91,0.9218,0.9179
92,0.92192,0.9089
93,0.92396,0.9254
94,0.9234,0.9196
95,0.92404,0.9182
96,0.92138,0.9017
97,0.9237,0.9093
98,0.92348,0.9184
99,0.92466,0.9113
100,0.92378,0.9224
101,0.92668,0.9059
102,0.92402,0.9138
103,0.92468,0.9109
104,0.92642,0.9167
105,0.92632,0.912
106,0.9239,0.9179
107,0.92526,0.9261
108,0.92658,0.9227
109,0.9271,0.927
110,0.92912,0.9266
111,0.92814,0.9141
112,0.92594,0.9245
113,0.92566,0.9283
114,0.93058,0.9177
115,0.93044,0.922
116,0.92708,0.9264
117,0.9316,0.9193
118,0.92694,0.9181
119,0.92772,0.9236
120,0.92842,0.9224
121,0.95536,0.9496
122,0.96528,0.9502
123,0.96656,0.9503
124,0.97022,0.9503
125,0.97148,0.9503
126,0.97212,0.9534
127,0.97518,0.9517
128,0.9741,0.9513
129,0.97366,0.9527
130,0.97636,0.954
131,0.97602,0.9492
132,0.97714,0.9522
133,0.97606,0.9525
134,0.97634,0.9533
135,0.97776,0.9506
136,0.97906,0.9527
137,0.97854,0.9502
138,0.97894,0.9509
139,0.97854,0.9503
140,0.97864,0.9553
141,0.97912,0.9516
142,0.9784,0.9538
143,0.97906,0.9535
144,0.97888,0.953
145,0.97958,0.9484
146,0.97902,0.9514
147,0.97992,0.95
148,0.97946,0.9516
149,0.9808,0.9526
150,0.97926,0.9523
151,0.98168,0.9484
152,0.97982,0.949
153,0.9816,0.948
154,0.9809,0.9508
155,0.97948,0.9438
156,0.98062,0.9506
157,0.9796,0.9506
158,0.98026,0.9524
159,0.98044,0.9498
160,0.9795,0.9493
161,0.98372,0.955
162,0.98668,0.9572
163,0.98786,0.9573
164,0.98854,0.9561
165,0.98896,0.9575
166,0.98958,0.9568
167,0.98928,0.9564
168,0.98962,0.9569
169,0.9896,0.9586
170,0.99042,0.9565
171,0.98938,0.9568
172,0.99026,0.9575
173,0.9905,0.9566
174,0.99074,0.9565
175,0.9907,0.957
176,0.99,0.9579
177,0.99076,0.958
178,0.99078,0.9575
179,0.99104,0.9572
180,0.99088,0.9572
181,0.9907,0.9565
182,0.99058,0.955
183,0.99108,0.9573
184,0.99064,0.9563
185,0.99122,0.9569
186,0.99134,0.9589
187,0.99076,0.9568
188,0.99116,0.9558
189,0.99176,0.9579
190,0.9915,0.9571
191,0.99154,0.9578
192,0.9921,0.9588
193,0.99204,0.9578
194,0.99176,0.9565
195,0.99158,0.9577
196,0.99218,0.9576
197,0.99208,0.9598
198,0.99236,0.9577
199,0.99244,0.9574
200,0.99168,0.9569
""
epoch,train_acc,test_acc
1,0.27768,0.4051
2,0.4166,0.4601
3,0.49248,0.5703
4,0.5645,0.6019
5,0.61762,0.6598
6,0.652,0.6355
7,0.68398,0.6933
8,0.71142,0.6964
9,0.7327,0.7672
10,0.74736,0.7599
11,0.7617,0.8098
12,0.7698,0.7404
13,0.7769,0.7973
14,0.78106,0.8022
15,0.78752,0.7784
16,0.7914,0.784
17,0.79634,0.8077
18,0.801,0.7823
19,0.801,0.8061
20,0.80408,0.8196
21,0.80486,0.8141
22,0.8093,0.8185
23,0.81134,0.7916
24,0.81012,0.821
25,0.81256,0.8303
26,0.81368,0.8127
27,0.8161,0.8273
28,0.8189,0.8418
29,0.81972,0.7972
30,0.82212,0.792
31,0.82202,0.8556
32,0.82322,0.7947
33,0.82328,0.7977
34,0.82572,0.8362
35,0.82642,0.8528
36,0.82384,0.7974
37,0.82572,0.8404
38,0.8264,0.8279
39,0.82652,0.801
40,0.8277,0.8135
41,0.82742,0.8369
42,0.82724,0.7995
43,0.82852,0.8254
44,0.8331,0.8295
45,0.83144,0.8367
46,0.83206,0.8299
47,0.83116,0.8488
48,0.83048,0.7933
49,0.83192,0.8014
50,0.8324,0.8274
51,0.83334,0.8494
52,0.83364,0.8347
53,0.8355,0.8413
54,0.83626,0.8306
55,0.83654,0.8343
56,0.83254,0.794
57,0.83488,0.8349
58,0.83606,0.8441
59,0.83358,0.8161
60,0.83686,0.8546
61,0.89364,0.9212
62,0.90788,0.9252
63,0.91294,0.9238
64,0.91692,0.9298
65,0.91902,0.9199
66,0.92002,0.9241
67,0.9184,0.9242
68,0.92112,0.9275
69,0.92238,0.9228
70,0.9213,0.9252
71,0.92,0.9273
72,0.9228,0.921
73,0.92082,0.9276
74,0.9204,0.9203
75,0.91856,0.9269
76,0.92042,0.9193
77,0.92044,0.9207
78,0.92022,0.9092
79,0.91868,0.9195
80,0.92064,0.9222
81,0.91754,0.9208
82,0.92226,0.9153
83,0.91964,0.9161
84,0.9215,0.9074
85,0.92198,0.9238
86,0.92386,0.9207
87,0.9202,0.9102
88,0.91946,0.9105
89,0.92384,0.9211
90,0.92338,0.915
91,0.92178,0.9256
92,0.92334,0.9226
93,0.92402,0.9119
94,0.92498,0.921
95,0.92342,0.9204
96,0.92218,0.9213
97,0.92482,0.9164
98,0.92364,0.9169
99,0.92708,0.915
100,0.92476,0.9221
101,0.92522,0.9133
102,0.924,0.9108
103,0.92386,0.9168
104,0.926,0.9246
105,0.92556,0.9226
106,0.9259,0.9188
107,0.92726,0.9239
108,0.92516,0.9264
109,0.92598,0.9189
110,0.9283,0.9151
111,0.92742,0.9234
112,0.92668,0.9164
