method,mixup
dataset,cifar10
model,resnet18
batch_size,128
epochs,1
learning_rate,0.1
data_augmentation,False
no_cuda,False
seed,0
alpha,1.0
cuda,True
""
epoch,train_acc,test_acc
1,25.711362838745117,0.4067
""
epoch,train_acc,test_acc
""
epoch,train_acc,test_acc
1,26.604585647583008,0.4325
""
epoch,train_acc,test_acc
1,0.260444700717926,0.4471
2,0.3674435019493103,0.5134
3,0.4436648488044739,0.6077
4,0.4872950315475464,0.6504
5,0.523151159286499,0.6809
6,0.5429977178573608,0.6993
7,0.5669479966163635,0.7508
8,0.5799795389175415,0.7363
9,0.5919859409332275,0.7775
10,0.5986334085464478,0.6947
11,0.6039032340049744,0.7788
12,0.6201903223991394,0.7094
13,0.6216555237770081,0.7834
14,0.6184656023979187,0.7921
15,0.6193383932113647,0.8268
16,0.6232083439826965,0.7916
17,0.63530433177948,0.8368
18,0.6355162262916565,0.805
19,0.6302109956741333,0.7979
20,0.6368190050125122,0.817
21,0.6464696526527405,0.8044
22,0.6337446570396423,0.842
23,0.6384451389312744,0.798
24,0.6414445042610168,0.814
25,0.6493014097213745,0.8136
26,0.6326340436935425,0.8028
27,0.6369916796684265,0.8341
28,0.6436967849731445,0.8064
29,0.6379062533378601,0.8165
30,0.6400080323219299,0.843
31,0.6438873410224915,0.8445
32,0.6517102718353271,0.8209
33,0.6526100635528564,0.8117
34,0.653009831905365,0.8541
35,0.6514297723770142,0.8078
36,0.6377426981925964,0.8224
37,0.636492908000946,0.8575
38,0.6531001329421997,0.8359
39,0.6609711647033691,0.829
40,0.6555755734443665,0.8589
41,0.6519136428833008,0.863
42,0.6479761600494385,0.8225
43,0.649250328540802,0.8211
44,0.6540337204933167,0.8259
45,0.6540182828903198,0.82
46,0.6465603709220886,0.8137
47,0.6536560654640198,0.8073
48,0.6576027274131775,0.8203
49,0.6540274024009705,0.8543
50,0.6626343727111816,0.7952
51,0.6460108757019043,0.862
52,0.6563225984573364,0.851
53,0.6585952639579773,0.8481
54,0.6549522280693054,0.8496
55,0.6636484861373901,0.8492
56,0.6548160910606384,0.8444
57,0.6484995484352112,0.8188
58,0.6521666049957275,0.8472
59,0.656660258769989,0.8686
60,0.6463009119033813,0.8562
61,0.6918154954910278,0.9111
62,0.7058113813400269,0.9222
63,0.7144033312797546,0.9153
64,0.7005172371864319,0.9191
65,0.7055664658546448,0.9178
66,0.6973025798797607,0.9238
67,0.6917622089385986,0.9252
68,0.7013487219810486,0.9185
69,0.7188267707824707,0.914
70,0.7166761159896851,0.926
71,0.7051330208778381,0.9289
72,0.7159610390663147,0.9265
73,0.7138628959655762,0.9193
74,0.710062563419342,0.9209
75,0.7124021649360657,0.9182
76,0.7040516138076782,0.9183
77,0.7168666124343872,0.9133
78,0.7166327834129333,0.9264
79,0.7013295888900757,0.9162
80,0.7187200784683228,0.9238
81,0.7253063917160034,0.9183
82,0.6951206922531128,0.9291
83,0.723671555519104,0.9144
84,0.7217742800712585,0.9115
85,0.7112859487533569,0.9186
86,0.7152291536331177,0.9073
87,0.7038516998291016,0.9205
88,0.7154192924499512,0.9218
89,0.7036780714988708,0.9259
90,0.7072545886039734,0.9263
91,0.7093666195869446,0.9211
92,0.7230306267738342,0.9256
93,0.7076449990272522,0.9197
94,0.7183242440223694,0.9085
95,0.7167750597000122,0.9128
96,0.7232009172439575,0.9233
97,0.7013940811157227,0.9206
98,0.7198792099952698,0.9286
99,0.7093876004219055,0.9193
100,0.714503288269043,0.9135
101,0.7073469758033752,0.9153
102,0.7190537452697754,0.908
103,0.7136737704277039,0.9241
104,0.7164889574050903,0.9153
105,0.7110288143157959,0.9249
106,0.7186349034309387,0.9195
107,0.7202259302139282,0.9232
108,0.720176100730896,0.9216
109,0.7215785980224609,0.9219
110,0.7115976810455322,0.9291
111,0.7326079607009888,0.928
112,0.718098521232605,0.9224
113,0.7137743830680847,0.9209
114,0.7120069265365601,0.9095
115,0.721581220626831,0.9195
116,0.7143051624298096,0.9181
117,0.713928759098053,0.9238
118,0.7232360243797302,0.9255
119,0.728069543838501,0.9198
120,0.7134131789207458,0.9257
121,0.7357634902000427,0.9442
122,0.7291227579116821,0.9497
123,0.7394117712974548,0.9495
124,0.7478004097938538,0.949
125,0.7384080290794373,0.9516
126,0.741848886013031,0.9504
127,0.7374635338783264,0.9514
128,0.738429844379425,0.9483
129,0.7508911490440369,0.9515
130,0.7350470423698425,0.9503
131,0.7327340841293335,0.9537
132,0.7433978319168091,0.952
133,0.7184461951255798,0.9492
134,0.7500109672546387,0.9503
135,0.7474817037582397,0.951
136,0.7459849715232849,0.9515
137,0.7454153299331665,0.9481
138,0.7531879544258118,0.9518
139,0.7569597363471985,0.9525
140,0.7539510726928711,0.952
141,0.7396768927574158,0.9517
142,0.7531293034553528,0.9556
143,0.7527433633804321,0.9525
144,0.744940996170044,0.9477
145,0.740339457988739,0.9513
146,0.7534934282302856,0.9485
147,0.7424601316452026,0.9522
148,0.7499003410339355,0.9521
149,0.7310784459114075,0.9499
150,0.7369819283485413,0.9501
151,0.7454923391342163,0.9515
152,0.7462940812110901,0.9519
153,0.7542390823364258,0.9514
154,0.7510123252868652,0.9507
155,0.7508553266525269,0.95
156,0.7529598474502563,0.9507
157,0.7554901838302612,0.9488
158,0.7404249310493469,0.9461
159,0.756253182888031,0.9486
160,0.7573784589767456,0.951
161,0.7634496688842773,0.956
162,0.7443267703056335,0.9565
163,0.7443304657936096,0.9568
164,0.7486951351165771,0.9582
165,0.7494011521339417,0.9583
166,0.7592756152153015,0.9566
167,0.755386471748352,0.9585
168,0.7605007290840149,0.9565
169,0.7649569511413574,0.9562
170,0.7531519532203674,0.9589
171,0.7562006115913391,0.9588
172,0.7685689926147461,0.958
173,0.7637200951576233,0.9583
174,0.7444705367088318,0.9569
175,0.7690115571022034,0.9588
176,0.7683804631233215,0.9558
177,0.7679808735847473,0.9587
178,0.7572636604309082,0.9584
179,0.7437314987182617,0.9578
180,0.7527627944946289,0.9594
181,0.7402009963989258,0.9572
182,0.7655571699142456,0.9589
183,0.7523728013038635,0.9579
184,0.7483677864074707,0.9572
185,0.7599184513092041,0.9611
186,0.755266547203064,0.9601
187,0.7503532767295837,0.9577
188,0.7617270946502686,0.9604
189,0.7442160248756409,0.9592
190,0.7509779930114746,0.9582
191,0.7283612489700317,0.9593
192,0.7454156279563904,0.9565
193,0.7542772889137268,0.9585
194,0.7529244422912598,0.9594
195,0.7499335408210754,0.9584
196,0.7471361756324768,0.9569
197,0.742727518081665,0.9588
198,0.7476192116737366,0.9574
199,0.7492039203643799,0.9575
200,0.7355271577835083,0.9593
""
epoch,train_acc,test_acc
1,0.24476654827594757,0.4059
2,0.3492255210876465,0.4872
3,0.41165968775749207,0.5776
4,0.4669843316078186,0.6666
5,0.516197681427002,0.7136
6,0.5561431050300598,0.7074
7,0.5636907815933228,0.7185
8,0.5885351300239563,0.7589
9,0.5930644273757935,0.7812
10,0.6084191799163818,0.6944
11,0.6092503666877747,0.7538
12,0.6110799312591553,0.7309
13,0.6109135746955872,0.8351
14,0.6123976707458496,0.7898
15,0.6172582507133484,0.82
16,0.631178617477417,0.7726
17,0.6228765249252319,0.7682
18,0.6211327910423279,0.8253
19,0.6333807706832886,0.8044
20,0.633191704750061,0.8054
21,0.6371538639068604,0.816
22,0.6431940197944641,0.8059
23,0.6343806385993958,0.7907
24,0.639075517654419,0.8084
25,0.6563372611999512,0.7933
26,0.650277316570282,0.8405
27,0.6389015316963196,0.8308
28,0.6468039155006409,0.8302
29,0.6410086750984192,0.8056
30,0.6330661177635193,0.8421
31,0.6507288217544556,0.8315
32,0.6500522494316101,0.8272
33,0.6575325131416321,0.8396
34,0.6509503126144409,0.8491
35,0.6549615263938904,0.8202
