""
epoch,train_acc,test_acc
1,0.13292,0.2037
2,0.26212,0.3102
3,0.4335,0.498
4,0.57432,0.6273
5,0.65962,0.6502
6,0.7086,0.6655
7,0.74252,0.7433
8,0.75956,0.6919
9,0.7726,0.7668
10,0.78398,0.7595
11,0.79046,0.7851
12,0.80132,0.7248
13,0.80844,0.7543
14,0.81076,0.7615
15,0.81524,0.7876
16,0.81934,0.7374
17,0.82592,0.7625
18,0.82394,0.7922
19,0.83012,0.7691
20,0.83014,0.8089
21,0.83414,0.7567
22,0.83446,0.7911
23,0.83494,0.8102
24,0.83922,0.8043
25,0.83756,0.8093
26,0.8399,0.8026
27,0.8413,0.7588
28,0.84138,0.8146
29,0.84766,0.8069
30,0.84454,0.806
31,0.84582,0.7686
32,0.84756,0.762
33,0.84688,0.7885
34,0.84776,0.7956
35,0.85264,0.8291
36,0.84734,0.7836
37,0.84856,0.8192
38,0.8513,0.7793
39,0.85264,0.8176
40,0.85062,0.7799
41,0.85156,0.7877
42,0.85192,0.8039
43,0.85266,0.8033
44,0.85352,0.8247
45,0.85374,0.8097
46,0.85404,0.7874
47,0.85568,0.8309
48,0.85454,0.7961
49,0.85378,0.7951
50,0.856,0.8093
51,0.85644,0.8268
52,0.8575,0.8069
53,0.85666,0.8236
54,0.8593,0.7996
55,0.8576,0.7733
56,0.85608,0.8345
57,0.85988,0.8136
58,0.85792,0.8036
59,0.85698,0.8234
60,0.85988,0.795
61,0.91616,0.8886
62,0.93308,0.8877
63,0.93792,0.8936
64,0.94304,0.8965
65,0.94468,0.8943
66,0.94748,0.8919
67,0.948,0.8853
68,0.94658,0.8914
69,0.94906,0.8843
70,0.94862,0.8914
71,0.94912,0.8796
72,0.94744,0.8898
73,0.94902,0.8742
74,0.94952,0.8838
75,0.94646,0.89
76,0.94766,0.8661
77,0.9471,0.8775
78,0.94806,0.8751
79,0.94846,0.8832
80,0.94784,0.8755
81,0.94824,0.8857
82,0.94876,0.8661
83,0.94936,0.8776
84,0.9482,0.8826
85,0.9483,0.8884
86,0.94894,0.8655
87,0.9496,0.8744
88,0.95152,0.8753
89,0.9487,0.8732
90,0.95062,0.8703
91,0.94832,0.8745
92,0.95062,0.8758
93,0.9508,0.877
94,0.94996,0.8863
95,0.95164,0.8732
96,0.95036,0.8711
97,0.95122,0.8682
98,0.9529,0.8551
99,0.95228,0.8831
100,0.95318,0.8882
101,0.95072,0.8759
102,0.95526,0.8863
103,0.95502,0.8726
104,0.95276,0.8637
105,0.95338,0.8773
106,0.95308,0.8694
107,0.95364,0.8696
108,0.95686,0.8551
109,0.95134,0.8775
110,0.9529,0.8769
111,0.95536,0.8862
112,0.95362,0.8733
113,0.95412,0.8664
114,0.95446,0.881
115,0.95344,0.8791
116,0.95528,0.8727
117,0.95512,0.8779
118,0.95648,0.878
119,0.9549,0.8788
120,0.95684,0.8705
121,0.9799,0.9061
122,0.98994,0.9109
123,0.99172,0.9114
124,0.99286,0.9127
125,0.99302,0.9136
126,0.99506,0.9138
127,0.99498,0.9137
128,0.99522,0.9163
129,0.99564,0.9156
130,0.9963,0.9173
131,0.99704,0.9168
132,0.99628,0.9165
133,0.99682,0.9177
134,0.99682,0.9162
135,0.99708,0.9158
136,0.99732,0.9169
137,0.99754,0.9151
138,0.99698,0.9174
139,0.99776,0.9165
140,0.9975,0.9167
141,0.9978,0.9187
142,0.99742,0.917
143,0.99752,0.9164
144,0.99794,0.9161
145,0.99796,0.9178
146,0.99708,0.9155
147,0.99786,0.9155
148,0.9977,0.9147
149,0.99762,0.9181
150,0.99762,0.916
151,0.99832,0.9148
152,0.99858,0.9182
153,0.99804,0.9192
154,0.99816,0.9176
155,0.99804,0.916
156,0.9982,0.9147
157,0.99798,0.9167
158,0.9978,0.9152
159,0.99792,0.9151
160,0.99826,0.9143
161,0.99866,0.9189
162,0.99916,0.9184
163,0.99942,0.919
164,0.99936,0.92
165,0.99942,0.9208
166,0.99942,0.9194
167,0.9995,0.9211
168,0.99942,0.9206
169,0.9994,0.9197
170,0.99954,0.9203
171,0.9995,0.9194
172,0.99968,0.9205
173,0.99966,0.9203
174,0.99952,0.9203
175,0.99972,0.9202
176,0.9996,0.92
177,0.99958,0.921
178,0.99974,0.9203
179,0.99972,0.9214
180,0.9996,0.9209
181,0.99974,0.9203
182,0.99978,0.9219
183,0.99978,0.9214
184,0.9997,0.9203
185,0.99972,0.9212
186,0.99962,0.9206
187,0.99986,0.9207
188,0.99962,0.9217
189,0.99968,0.9193
190,0.99974,0.9197
191,0.99986,0.9202
192,0.9997,0.9204
193,0.9999,0.9212
194,0.99986,0.9217
195,0.99984,0.9209
196,0.99984,0.9206
197,0.99978,0.9211
198,0.9998,0.9225
199,0.99984,0.9217
200,0.9998,0.9213
""
epoch,train_acc,test_acc
1,0.15192,0.2053
2,0.2656,0.2826
3,0.41046,0.4214
4,0.5501,0.586
5,0.645,0.6763
6,0.70136,0.6777
7,0.73278,0.7227
8,0.75264,0.7476
9,0.77072,0.7169
10,0.78008,0.7627
11,0.79142,0.7696
12,0.7993,0.7206
13,0.80504,0.7623
14,0.81094,0.7592
15,0.81452,0.7773
16,0.81914,0.7795
17,0.82222,0.7579
18,0.82484,0.8072
19,0.82808,0.7339
20,0.82952,0.7869
21,0.82994,0.7835
22,0.83344,0.7746
23,0.83568,0.8203
24,0.83832,0.7925
25,0.8372,0.8128
26,0.84012,0.813
27,0.83876,0.7472
28,0.84042,0.8093
29,0.84266,0.8058
30,0.84404,0.8027
31,0.84378,0.7852
32,0.84514,0.7661
33,0.84748,0.8259
34,0.84584,0.7257
35,0.84924,0.7877
36,0.8467,0.8109
37,0.84778,0.8168
38,0.84978,0.7707
39,0.8475,0.8117
40,0.85004,0.7892
41,0.85148,0.7813
42,0.85252,0.7635
43,0.8527,0.7834
44,0.8501,0.7891
45,0.85314,0.8326
46,0.85504,0.8188
47,0.85438,0.826
48,0.85616,0.8129
49,0.85452,0.8063
50,0.8527,0.7848
51,0.8566,0.7773
52,0.85456,0.8046
53,0.85514,0.8132
54,0.85678,0.8125
55,0.8573,0.7629
56,0.85532,0.806
57,0.85838,0.8293
58,0.85844,0.7841
59,0.8586,0.8127
60,0.85656,0.8056
61,0.91692,0.8924
62,0.93158,0.8964
63,0.93688,0.8935
64,0.9429,0.8909
65,0.94398,0.9005
66,0.9462,0.8921
67,0.9477,0.8876
68,0.94648,0.8954
69,0.9485,0.8682
70,0.94748,0.8812
71,0.94818,0.875
72,0.94802,0.8895
73,0.94576,0.8822
74,0.948,0.8811
75,0.94774,0.8889
76,0.94728,0.8778
77,0.94724,0.8822
78,0.94588,0.8758
79,0.94638,0.8814
80,0.94922,0.8674
81,0.94746,0.8869
82,0.9471,0.8764
83,0.94674,0.8767
84,0.94884,0.8703
85,0.9485,0.8776
86,0.94898,0.8644
87,0.94922,0.8803
88,0.95128,0.8813
89,0.94974,0.8702
90,0.94884,0.879
91,0.95028,0.8785
92,0.95052,0.8783
93,0.94862,0.878
94,0.9514,0.8597
95,0.951,0.8797
96,0.95028,0.8501
97,0.95052,0.8773
98,0.95022,0.8605
99,0.95046,0.8744
100,0.95176,0.859
101,0.95236,0.8825
102,0.95046,0.8831
103,0.95224,0.8768
104,0.95364,0.8758
105,0.9514,0.8787
106,0.95734,0.8786
107,0.95144,0.8672
108,0.9546,0.8718
109,0.9533,0.8571
110,0.95408,0.8865
111,0.95292,0.8841
112,0.9541,0.8668
113,0.95384,0.8813
114,0.95588,0.8819
115,0.95362,0.8774
116,0.95642,0.8783
117,0.95606,0.8837
118,0.95512,0.8794
119,0.95524,0.8634
120,0.95486,0.8726
121,0.98036,0.9131
122,0.9888,0.912
123,0.99096,0.9173
124,0.99296,0.916
125,0.99272,0.9167
126,0.99456,0.9177
127,0.9951,0.9148
128,0.99496,0.9167
129,0.99562,0.9181
130,0.99586,0.9185
131,0.9963,0.9199
132,0.99648,0.9171
133,0.99626,0.9171
134,0.9965,0.9161
135,0.99688,0.9163
136,0.99706,0.9177
137,0.99722,0.9177
138,0.99742,0.9171
139,0.99774,0.9174
140,0.99752,0.9182
141,0.9972,0.9179
142,0.99748,0.9189
143,0.99768,0.9173
144,0.99738,0.9145
145,0.99776,0.9186
146,0.9982,0.9192
147,0.99834,0.9191
148,0.99832,0.9149
149,0.99796,0.9174
150,0.99838,0.9179
151,0.9983,0.9168
152,0.99784,0.9152
153,0.99766,0.9161
154,0.9983,0.9169
155,0.99802,0.9138
156,0.99816,0.9185
157,0.99722,0.9164
158,0.99766,0.9157
159,0.99808,0.9158
160,0.99764,0.918
161,0.99852,0.9203
162,0.99892,0.9184
163,0.99948,0.9199
164,0.99916,0.9211
165,0.99922,0.9209
166,0.99944,0.9211
167,0.99916,0.9205
168,0.99958,0.9193
169,0.99948,0.9201
170,0.99958,0.9188
171,0.99956,0.9201
172,0.99968,0.9192
173,0.99946,0.9186
174,0.99968,0.9206
175,0.9995,0.9195
176,0.99962,0.9202
177,0.99976,0.9213
178,0.9997,0.9202
179,0.99972,0.9208
180,0.9997,0.9207
181,0.99974,0.9199
182,0.99968,0.92
183,0.99968,0.9214
184,0.99964,0.9208
185,0.99986,0.9202
186,0.99976,0.9203
187,0.99982,0.9201
188,0.99978,0.9198
189,0.99986,0.9211
190,0.99976,0.9201
191,0.99986,0.9201
192,0.99976,0.9202
193,0.99986,0.9208
194,0.99982,0.9211
195,0.99966,0.9202
196,0.99962,0.9203
197,0.99986,0.921
198,0.99988,0.9209
199,0.9998,0.9209
200,0.99976,0.9199
""
epoch,train_acc,test_acc
1,0.12858,0.1935
2,0.2521,0.3299
3,0.4209,0.471
4,0.56122,0.6332
5,0.65254,0.6588
6,0.70406,0.7212
7,0.73682,0.7077
8,0.76162,0.7108
9,0.77296,0.7269
10,0.7853,0.7698
11,0.79514,0.7737
12,0.80226,0.7743
13,0.8054,0.776
14,0.8144,0.7301
15,0.81694,0.7921
16,0.82248,0.773
17,0.82444,0.7631
18,0.8264,0.8009
19,0.82968,0.7173
20,0.83208,0.8046
21,0.8354,0.7481
22,0.83242,0.7653
23,0.83766,0.7676
24,0.8393,0.8098
25,0.84074,0.8033
26,0.84378,0.8052
27,0.844,0.7693
28,0.84404,0.7914
29,0.8472,0.7886
30,0.84638,0.7928
31,0.84826,0.7902
32,0.84626,0.7752
33,0.84904,0.8125
34,0.8493,0.7758
35,0.84928,0.7851
36,0.84724,0.8105
37,0.84982,0.768
38,0.85122,0.8143
39,0.85258,0.7852
40,0.8497,0.7843
41,0.8533,0.8057
42,0.85238,0.8197
43,0.85278,0.7937
44,0.85516,0.7999
45,0.85228,0.7939
46,0.85506,0.8011
47,0.85318,0.8078
48,0.8567,0.8296
49,0.85488,0.7922
50,0.85622,0.8211
51,0.85274,0.8014
52,0.85662,0.7401
53,0.85752,0.7784
54,0.8569,0.8241
55,0.85542,0.7861
56,0.85618,0.815
57,0.85722,0.8094
58,0.8565,0.8127
59,0.85564,0.7521
60,0.86044,0.8025
61,0.91698,0.893
62,0.93142,0.8918
63,0.93922,0.8954
64,0.94232,0.8936
65,0.94676,0.8954
66,0.94628,0.8897
67,0.94732,0.8916
68,0.94912,0.8868
69,0.94854,0.8775
70,0.94868,0.8854
71,0.95004,0.8879
72,0.94762,0.8776
73,0.94958,0.8703
74,0.94798,0.8736
75,0.9487,0.8742
76,0.94736,0.8671
77,0.94646,0.8839
78,0.94984,0.8775
79,0.9472,0.8834
80,0.94808,0.8684
81,0.94666,0.8836
82,0.94864,0.8895
83,0.94952,0.8778
84,0.94748,0.8784
85,0.94886,0.8773
86,0.94924,0.8831
87,0.94754,0.8693
88,0.94928,0.879
89,0.94758,0.8783
90,0.95062,0.8644
91,0.95022,0.8752
92,0.9514,0.8786
93,0.94936,0.8851
94,0.9505,0.8712
95,0.95142,0.8889
96,0.9501,0.8695
97,0.95304,0.8768
98,0.95014,0.8774
99,0.95218,0.8765
100,0.9522,0.8824
101,0.9522,0.8689
102,0.95538,0.8698
103,0.9536,0.8805
104,0.95026,0.8828
105,0.95278,0.8779
106,0.95456,0.8782
107,0.95316,0.8675
108,0.95496,0.865
109,0.9519,0.8754
110,0.9533,0.8793
111,0.95456,0.8746
112,0.95432,0.868
113,0.95506,0.8731
114,0.95588,0.8667
115,0.95434,0.8833
116,0.95678,0.8875
117,0.95466,0.8686
118,0.95534,0.8738
119,0.95624,0.871
120,0.95652,0.8854
121,0.98078,0.9142
122,0.98946,0.9118
123,0.99096,0.9132
124,0.99346,0.9179
125,0.99418,0.9201
126,0.9941,0.9187
127,0.99492,0.9169
128,0.99544,0.9187
129,0.9954,0.9184
130,0.99546,0.92
131,0.99682,0.9196
132,0.99748,0.9188
133,0.99664,0.9176
134,0.99734,0.9207
135,0.99708,0.9171
136,0.99726,0.9209
137,0.99732,0.9188
138,0.99742,0.9201
139,0.99786,0.9159
140,0.99762,0.9189
141,0.99746,0.9175
142,0.99722,0.9185
143,0.99796,0.9199
144,0.99796,0.9195
145,0.99824,0.9207
146,0.99808,0.9192
147,0.99764,0.9158
148,0.9975,0.9179
149,0.99738,0.9167
150,0.99808,0.9191
151,0.99778,0.9185
152,0.99776,0.9173
153,0.99794,0.9161
154,0.99834,0.9149
155,0.99832,0.9144
156,0.99802,0.917
157,0.99832,0.9166
158,0.99818,0.9151
159,0.99734,0.9132
160,0.99712,0.9161
161,0.99858,0.9178
162,0.99906,0.9187
163,0.99888,0.9182
164,0.9992,0.9192
165,0.99946,0.9199
166,0.99934,0.9184
167,0.99936,0.9184
168,0.99972,0.9209
169,0.99946,0.9202
170,0.9995,0.9211
171,0.99938,0.9209
172,0.99954,0.9208
173,0.9996,0.92
174,0.99966,0.9206
175,0.9996,0.9215
176,0.99968,0.9215
177,0.99962,0.9205
178,0.99986,0.921
179,0.99982,0.9219
180,0.99958,0.9218
181,0.99978,0.9215
182,0.9997,0.9217
183,0.99976,0.9229
184,0.9998,0.9221
185,0.99988,0.9219
186,0.99964,0.9217
187,0.99972,0.9213
188,0.99978,0.9224
189,0.99978,0.923
190,0.99976,0.9224
191,0.9999,0.922
192,0.99968,0.9229
193,0.99984,0.9238
194,0.99984,0.9228
195,0.99986,0.9224
196,0.99978,0.9225
197,0.99976,0.9234
198,0.99974,0.9213
199,0.99988,0.923
200,0.99974,0.9219
""
epoch,train_acc,test_acc
1,0.16114,0.2239
2,0.29504,0.3582
3,0.44842,0.5222
4,0.58434,0.6404
5,0.66592,0.6958
6,0.7128,0.6256
7,0.74324,0.7439
8,0.7644,0.7543
9,0.7743,0.7522
10,0.78586,0.7734
11,0.79618,0.7374
12,0.80198,0.7293
13,0.80888,0.7781
14,0.81116,0.7862
15,0.81746,0.7803
16,0.81974,0.7623
17,0.82398,0.7814
18,0.82872,0.7972
19,0.82922,0.7831
20,0.83074,0.7945
21,0.83444,0.7784
22,0.83688,0.7874
23,0.83674,0.8161
24,0.84058,0.7757
25,0.83892,0.784
26,0.8407,0.8224
27,0.84342,0.8034
28,0.8435,0.8051
29,0.84542,0.8073
30,0.84616,0.7904
31,0.8481,0.7831
32,0.8459,0.6916
33,0.84814,0.8111
34,0.84852,0.7666
35,0.84888,0.792
36,0.8483,0.8206
37,0.85002,0.7591
38,0.85106,0.7676
39,0.85308,0.8031
40,0.85254,0.7488
41,0.85304,0.7946
42,0.85132,0.8106
43,0.8549,0.7716
44,0.855,0.8179
45,0.85268,0.8281
46,0.85578,0.7725
47,0.85224,0.8103
48,0.85758,0.8017
49,0.85666,0.8053
50,0.85588,0.7869
51,0.85724,0.772
52,0.85702,0.8248
53,0.85568,0.8161
54,0.85598,0.8134
55,0.85582,0.8006
56,0.85686,0.8207
57,0.85816,0.8088
58,0.85672,0.8164
59,0.85834,0.7883
60,0.85724,0.8216
61,0.91524,0.8892
62,0.93206,0.8901
63,0.93714,0.8961
64,0.94324,0.8956
65,0.94566,0.8932
66,0.94646,0.8953
67,0.94806,0.8884
68,0.94758,0.8955
69,0.94872,0.8899
70,0.94952,0.8856
71,0.94592,0.8838
72,0.94766,0.8786
73,0.94726,0.8669
74,0.94956,0.8774
75,0.9464,0.8762
76,0.94794,0.8775
77,0.9472,0.8795
78,0.94764,0.8714
79,0.94654,0.8603
80,0.94664,0.8697
81,0.94624,0.8812
82,0.94888,0.8733
83,0.94822,0.8773
84,0.94768,0.8784
85,0.94888,0.8855
86,0.94804,0.8777
87,0.9482,0.8697
88,0.94986,0.8765
89,0.95008,0.8793
90,0.94906,0.875
91,0.95056,0.8756
92,0.9502,0.8791
93,0.95124,0.8661
94,0.95258,0.8806
95,0.9503,0.8792
96,0.95018,0.8757
97,0.9522,0.8667
98,0.95194,0.8779
99,0.95188,0.8825
100,0.9518,0.8782
101,0.95018,0.8682
102,0.95284,0.874
103,0.95266,0.8672
104,0.9515,0.8808
105,0.95512,0.8781
106,0.951,0.8813
107,0.95224,0.8744
108,0.95548,0.8712
109,0.9533,0.8644
110,0.95284,0.8743
111,0.95474,0.8748
112,0.95288,0.8645
113,0.95144,0.8688
114,0.95462,0.8765
115,0.9529,0.8778
116,0.95638,0.8707
117,0.95502,0.883
118,0.95556,0.877
119,0.95514,0.8784
120,0.95426,0.8716
121,0.98044,0.9125
122,0.98896,0.9115
123,0.99194,0.9153
124,0.99294,0.9136
125,0.99276,0.9147
126,0.99414,0.9127
127,0.99462,0.9125
128,0.99536,0.9143
129,0.99542,0.9134
130,0.99684,0.9152
131,0.99636,0.9155
132,0.99622,0.9146
133,0.99706,0.915
134,0.99716,0.9162
135,0.99734,0.9172
136,0.99694,0.9161
137,0.99792,0.9163
138,0.9974,0.9161
139,0.9979,0.9135
140,0.99778,0.9169
141,0.99782,0.9163
142,0.99744,0.9173
143,0.99808,0.915
144,0.99712,0.9168
145,0.99798,0.9154
146,0.99752,0.9139
147,0.99804,0.9154
148,0.99796,0.917
149,0.9976,0.9121
150,0.99728,0.9152
151,0.99796,0.9155
152,0.9982,0.9139
153,0.99816,0.9132
154,0.99812,0.9172
155,0.99786,0.9158
156,0.9978,0.9122
157,0.99828,0.9128
158,0.99754,0.9098
159,0.99754,0.9139
160,0.9973,0.9131
161,0.9985,0.9165
162,0.99876,0.918
163,0.99908,0.9184
164,0.99914,0.9198
165,0.99952,0.9207
166,0.99958,0.9215
167,0.9994,0.9203
168,0.99942,0.9213
169,0.9995,0.9204
170,0.99952,0.9208
171,0.99954,0.9202
172,0.99958,0.9209
173,0.9996,0.921
174,0.99956,0.9209
175,0.99958,0.9202
176,0.99966,0.9211
177,0.99962,0.9218
178,0.9997,0.9225
179,0.99968,0.9222
180,0.99974,0.9224
181,0.99958,0.9215
182,0.99962,0.9226
183,0.99982,0.9218
184,0.9998,0.9223
185,0.99972,0.921
186,0.99976,0.9227
187,0.9998,0.9222
188,0.99976,0.9223
189,0.99978,0.9233
190,0.99988,0.9223
191,0.9998,0.9229
192,0.99986,0.9222
193,0.9998,0.9236
194,0.99984,0.921
195,0.99974,0.9238
196,0.9998,0.9222
197,0.99976,0.9228
198,0.99976,0.923
199,0.99986,0.9232
200,0.99974,0.9233
""
epoch,train_acc,test_acc
1,0.17756,0.2313
2,0.3223,0.3592
3,0.4694,0.5365
4,0.59182,0.609
5,0.67082,0.6644
6,0.7175,0.6784
7,0.74646,0.7316
8,0.76602,0.7237
9,0.77948,0.7543
10,0.78772,0.7759
11,0.79586,0.737
12,0.80306,0.7448
13,0.80942,0.7607
14,0.8131,0.7781
15,0.81714,0.7845
16,0.82174,0.7538
17,0.82578,0.7648
18,0.8271,0.8049
19,0.82894,0.7849
20,0.83196,0.8017
21,0.83498,0.7329
22,0.8363,0.7662
23,0.83772,0.79
24,0.839,0.7902
25,0.83968,0.7922
26,0.84136,0.7839
27,0.8438,0.7897
28,0.84462,0.7688
29,0.84346,0.7997
30,0.8484,0.7811
31,0.84504,0.8203
32,0.84696,0.8019
33,0.84772,0.8076
34,0.84908,0.7785
35,0.84858,0.821
36,0.84988,0.7987
37,0.85062,0.7327
38,0.8509,0.7732
39,0.85476,0.791
40,0.85212,0.8038
41,0.85268,0.7475
42,0.85218,0.778
43,0.8561,0.7559
44,0.85344,0.7914
45,0.85314,0.8244
46,0.85494,0.7981
47,0.85356,0.7809
48,0.858,0.7923
49,0.85542,0.7613
50,0.85642,0.8009
51,0.85696,0.8312
52,0.85614,0.8155
53,0.85506,0.7975
54,0.85618,0.7955
55,0.85704,0.7914
56,0.8568,0.7838
57,0.85866,0.8142
58,0.85626,0.8272
59,0.85964,0.8013
60,0.85902,0.8139
61,0.9172,0.8906
62,0.93208,0.8859
63,0.93912,0.8964
64,0.94414,0.8888
65,0.94388,0.8996
66,0.94672,0.8965
67,0.94868,0.8856
68,0.94758,0.8828
69,0.94986,0.8796
70,0.94944,0.8867
71,0.94912,0.8864
72,0.95028,0.8749
73,0.94838,0.8839
74,0.94968,0.8766
75,0.94806,0.8882
76,0.9479,0.861
77,0.94588,0.8774
78,0.94878,0.8834
79,0.94732,0.8792
80,0.94858,0.8893
81,0.94796,0.8809
82,0.9469,0.8845
83,0.949,0.8694
84,0.94904,0.8796
85,0.94818,0.8772
86,0.94796,0.875
87,0.94888,0.8665
88,0.9518,0.8846
89,0.9516,0.8712
90,0.95156,0.8745
91,0.94918,0.8843
92,0.94998,0.8758
93,0.95136,0.8836
94,0.94958,0.8791
95,0.94944,0.8686
96,0.94994,0.8656
97,0.9524,0.8734
98,0.95282,0.879
99,0.95298,0.8877
100,0.95264,0.886
101,0.95256,0.8874
102,0.95398,0.8808
103,0.95172,0.8875
104,0.95472,0.8747
105,0.95296,0.8804
106,0.95204,0.8787
107,0.95538,0.8858
108,0.95402,0.8855
109,0.95468,0.8682
110,0.95472,0.8765
111,0.9555,0.866
112,0.95184,0.8818
113,0.95416,0.8855
114,0.95368,0.8825
115,0.95622,0.8737
116,0.95458,0.8547
117,0.95362,0.8847
118,0.95668,0.8675
119,0.95494,0.8863
120,0.95598,0.8766
121,0.98034,0.9129
122,0.98924,0.9159
123,0.9917,0.9163
124,0.99342,0.9195
125,0.99354,0.9198
126,0.99482,0.9187
127,0.99532,0.9191
128,0.99574,0.9168
129,0.99566,0.9193
130,0.99636,0.9193
131,0.9959,0.9175
132,0.99662,0.9176
133,0.99708,0.9165
134,0.99748,0.917
135,0.99738,0.9165
136,0.99724,0.9159
