""
epoch,train_acc,test_acc
1,0.16988,0.2097
2,0.27824,0.3082
3,0.41372,0.4899
4,0.56708,0.5459
5,0.6645,0.6248
6,0.72582,0.6149
7,0.76772,0.7024
8,0.79392,0.7582
9,0.81394,0.7556
10,0.8307,0.7058
11,0.84018,0.7755
12,0.85202,0.7673
13,0.86528,0.7532
14,0.86816,0.7613
15,0.87478,0.772
16,0.88204,0.7436
17,0.88588,0.7597
18,0.89232,0.7592
19,0.89656,0.7995
20,0.8977,0.7601
21,0.89864,0.7629
22,0.9054,0.7952
23,0.90588,0.7506
24,0.90814,0.7772
25,0.91218,0.791
26,0.90996,0.7598
27,0.91414,0.7506
28,0.91276,0.7547
29,0.91314,0.751
30,0.91692,0.7814
31,0.9168,0.7733
32,0.92084,0.7724
33,0.91912,0.796
34,0.92202,0.779
35,0.92136,0.7836
36,0.91982,0.7665
37,0.92448,0.7805
38,0.92282,0.7573
39,0.92374,0.7677
40,0.92432,0.7837
41,0.92362,0.7839
42,0.926,0.7539
43,0.92398,0.7176
44,0.92452,0.7264
45,0.92726,0.7834
46,0.92778,0.7904
47,0.92454,0.7652
48,0.9277,0.7722
49,0.92758,0.7627
50,0.92918,0.7768
51,0.92954,0.7986
52,0.92612,0.7529
53,0.929,0.8019
54,0.93082,0.8077
55,0.929,0.7625
56,0.9307,0.7593
57,0.92874,0.8005
58,0.93068,0.6925
59,0.93068,0.777
60,0.9304,0.7475
61,0.987,0.8547
62,0.9995,0.8597
63,0.99996,0.8628
64,0.99998,0.8621
65,1.0,0.8625
66,1.0,0.8628
67,1.0,0.8623
68,1.0,0.8637
69,1.0,0.8634
70,1.0,0.8631
71,1.0,0.8634
72,1.0,0.863
73,1.0,0.8634
74,1.0,0.8647
75,1.0,0.8646
76,1.0,0.8651
77,1.0,0.8656
78,1.0,0.8652
79,1.0,0.8657
80,1.0,0.8663
81,1.0,0.8657
82,1.0,0.8674
83,1.0,0.8673
84,1.0,0.8668
85,1.0,0.8678
86,1.0,0.8681
87,1.0,0.867
88,1.0,0.8672
89,1.0,0.8684
90,1.0,0.8689
91,1.0,0.8692
92,1.0,0.8687
93,1.0,0.8673
94,1.0,0.8681
95,1.0,0.8687
96,1.0,0.8685
97,1.0,0.8676
98,1.0,0.8685
99,1.0,0.8706
