""
epoch,train_acc,test_acc
1,0.16838,0.2162
2,0.2605,0.3427
3,0.3761,0.4636
4,0.47278,0.532
5,0.54648,0.5546
6,0.59498,0.5889
7,0.63322,0.6839
8,0.66036,0.6943
9,0.67984,0.7305
10,0.69512,0.7071
11,0.7053,0.6555
12,0.71444,0.675
13,0.72056,0.7743
14,0.72554,0.7351
15,0.73072,0.7671
16,0.73554,0.7641
17,0.73948,0.7298
18,0.74248,0.7657
19,0.74576,0.7245
20,0.74588,0.7371
21,0.74928,0.7528
22,0.75298,0.7596
23,0.75616,0.7946
24,0.75536,0.7793
25,0.75502,0.7689
26,0.76024,0.7909
27,0.75958,0.7715
28,0.76362,0.8046
29,0.764,0.7736
30,0.76576,0.7822
31,0.76444,0.8057
32,0.76668,0.7777
33,0.76802,0.804
34,0.76844,0.7942
35,0.76928,0.8052
36,0.76906,0.7627
37,0.76952,0.727
38,0.77126,0.7948
39,0.771,0.7947
40,0.77104,0.7712
41,0.77526,0.7939
42,0.77578,0.7784
43,0.77546,0.7438
44,0.77294,0.771
45,0.77582,0.8146
46,0.77536,0.799
47,0.77706,0.7796
48,0.7768,0.7647
49,0.77952,0.763
50,0.77736,0.8066
51,0.7802,0.7927
52,0.7789,0.8131
53,0.778,0.7507
54,0.77956,0.778
55,0.77786,0.8007
56,0.77966,0.7868
57,0.78102,0.8061
58,0.7783,0.8216
59,0.7797,0.7802
60,0.7809,0.7947
61,0.8423,0.8719
62,0.85606,0.8815
63,0.86328,0.8774
64,0.86632,0.8891
65,0.87042,0.8857
66,0.87232,0.8914
67,0.87152,0.8791
68,0.87556,0.8813
69,0.87348,0.8759
70,0.8727,0.8913
71,0.8732,0.8864
72,0.87382,0.8786
73,0.87334,0.8761
74,0.8745,0.8728
75,0.87486,0.8858
76,0.8756,0.8776
77,0.87232,0.8772
78,0.87366,0.8851
79,0.87308,0.8692
80,0.87538,0.8741
81,0.87728,0.8728
82,0.87442,0.8801
83,0.87732,0.8723
84,0.87476,0.8788
85,0.87796,0.8872
86,0.87628,0.8815
87,0.8759,0.882
88,0.87868,0.8765
89,0.87686,0.8818
90,0.87842,0.8573
91,0.88258,0.8757
92,0.87946,0.8802
93,0.87882,0.8808
94,0.88018,0.8829
95,0.87936,0.8785
96,0.8823,0.8712
97,0.88376,0.8901
98,0.88098,0.879
99,0.88164,0.8832
100,0.88204,0.8781
101,0.88254,0.8714
102,0.88376,0.8869
103,0.88358,0.8725
104,0.88504,0.8757
105,0.88248,0.8784
106,0.8849,0.8883
107,0.88278,0.88
108,0.88388,0.8776
109,0.88314,0.8895
110,0.88654,0.88
111,0.8865,0.8887
112,0.88484,0.8818
113,0.88676,0.8897
114,0.88656,0.8875
115,0.88722,0.8812
116,0.88758,0.8818
117,0.8877,0.881
118,0.88778,0.8895
119,0.88778,0.8895
120,0.88842,0.8826
121,0.92328,0.9176
122,0.93074,0.9166
123,0.9375,0.9187
124,0.94126,0.9168
125,0.94056,0.919
126,0.94306,0.9206
127,0.94476,0.9176
128,0.94384,0.92
129,0.94846,0.9228
130,0.9473,0.9202
131,0.94828,0.9236
132,0.95,0.921
133,0.94924,0.9185
134,0.95146,0.9211
135,0.95092,0.9223
136,0.9518,0.9196
137,0.9512,0.9189
138,0.95254,0.9194
139,0.95288,0.9224
140,0.95262,0.918
141,0.95414,0.9245
142,0.95296,0.9232
143,0.9559,0.9159
144,0.95422,0.9202
145,0.95484,0.9198
146,0.95426,0.9197
147,0.95626,0.9193
148,0.95518,0.9194
149,0.95634,0.9185
150,0.95666,0.9213
151,0.95612,0.921
152,0.95694,0.9167
153,0.9568,0.9195
154,0.95448,0.921
155,0.95466,0.92
156,0.95662,0.9191
157,0.95754,0.9143
158,0.95682,0.918
159,0.95484,0.9174
160,0.95502,0.9203
161,0.96626,0.9272
162,0.97048,0.9282
163,0.97026,0.9273
164,0.97212,0.9264
165,0.97156,0.9293
166,0.97342,0.9303
167,0.97422,0.9291
168,0.97282,0.9298
169,0.97394,0.9293
170,0.97528,0.931
171,0.97594,0.9303
172,0.97652,0.9288
173,0.97438,0.9298
174,0.97462,0.9282
175,0.97638,0.9293
176,0.97616,0.9299
177,0.97628,0.9306
178,0.97672,0.9291
179,0.97636,0.9271
180,0.97772,0.9286
181,0.97734,0.9288
182,0.97632,0.9287
183,0.97762,0.928
184,0.97852,0.9312
185,0.97756,0.9298
186,0.97942,0.9308
187,0.97796,0.9306
188,0.97788,0.9312
189,0.97776,0.9305
190,0.97932,0.9296
191,0.9791,0.9307
192,0.97978,0.9286
193,0.978,0.9299
194,0.97846,0.9272
195,0.97902,0.9309
196,0.97976,0.9293
197,0.9805,0.9298
198,0.98102,0.9301
199,0.98016,0.9291
200,0.9806,0.9295
""
epoch,train_acc,test_acc
1,0.13782,0.1656
2,0.23256,0.2838
3,0.29128,0.3578
4,0.39942,0.4567
5,0.49692,0.5375
6,0.56944,0.5708
7,0.60874,0.5547
8,0.63908,0.6863
9,0.66428,0.7228
10,0.68008,0.6223
11,0.69624,0.7384
12,0.70454,0.7042
13,0.70902,0.7417
14,0.7161,0.7369
15,0.72324,0.6909
16,0.73164,0.7419
17,0.7341,0.7196
18,0.73604,0.7556
19,0.73794,0.7561
20,0.74498,0.7835
21,0.74654,0.7507
22,0.74934,0.709
23,0.75072,0.7642
24,0.753,0.7644
25,0.75344,0.7796
26,0.75712,0.771
27,0.7592,0.7495
28,0.76046,0.7886
29,0.76182,0.789
30,0.76112,0.7579
31,0.76484,0.7981
32,0.7633,0.7613
33,0.76642,0.8003
34,0.76744,0.7312
35,0.7694,0.7808
36,0.76468,0.7936
37,0.77058,0.7948
38,0.76864,0.7882
39,0.77256,0.8077
40,0.76918,0.7846
41,0.77094,0.7398
42,0.76944,0.7533
43,0.77324,0.7699
44,0.77672,0.8092
45,0.77224,0.8074
46,0.7737,0.8021
47,0.77418,0.8002
48,0.77778,0.8052
49,0.77284,0.7621
50,0.77622,0.7773
51,0.7772,0.7923
52,0.77968,0.8147
53,0.77864,0.7718
54,0.77658,0.8049
55,0.77566,0.7715
56,0.78024,0.805
57,0.78014,0.8051
58,0.77772,0.8124
59,0.78,0.7928
60,0.78238,0.813
61,0.84184,0.8763
